ctg,patente,dia_egreso,puntos_capturados,ingreso,preingreso,calada,balanza_ingreso,balanza_egreso,celda16_descarga
10132849381,AE029PX,2026-06-12,2,NO,NO,SI,SI,NO,NO
10132849403,AI131ZI,2026-06-12,0,NO,NO,NO,NO,NO,NO
10132849471,AB137AL,2026-06-12,0,NO,NO,NO,NO,NO,NO
10132853310,AC081DZ,2026-06-12,0,NO,NO,NO,NO,NO,NO
10132853694,AD815RB,2026-06-12,1,NO,NO,NO,SI,NO,NO
10132863955,JEL526,2026-06-12,1,NO,NO,SI,NO,NO,NO
10132864171,AG886XP,2026-06-12,1,NO,NO,SI,NO,NO,NO
10132864782,AA764XO,2026-06-12,1,NO,NO,NO,SI,NO,NO
10132865399,PKR720,2026-06-12,3,SI,SI,SI,NO,NO,NO
10132865445,MPU090,2026-06-12,3,SI,SI,SI,NO,NO,NO
10132865519,KQM919,2026-06-12,2,NO,NO,SI,SI,NO,NO
10132865826,ACL381,2026-06-12,0,NO,NO,NO,NO,NO,NO
10132865884,GOI730,2026-06-12,2,NO,NO,SI,SI,NO,NO
10132866116,FYC780,2026-06-12,1,NO,NO,SI,NO,NO,NO
10132866148,AD972HM,2026-06-12,0,NO,NO,NO,NO,NO,NO
10132866852,TYI129,2026-06-12,1,NO,NO,SI,NO,NO,NO
10132867902,JNJ032,2026-06-12,2,NO,NO,SI,SI,NO,NO
10132868108,JRD973,2026-06-12,0,NO,NO,NO,NO,NO,NO
10132868944,AH083YJ,2026-06-12,3,SI,SI,SI,NO,NO,NO
10132868993,BGD244,2026-06-12,1,NO,NO,SI,NO,NO,NO
10132869537,LFH522,2026-06-12,2,NO,NO,SI,SI,NO,NO
10132870046,AA944SQ,2026-06-12,1,NO,NO,SI,NO,NO,NO
10132871045,AC457ZE,2026-06-12,1,NO,NO,SI,NO,NO,NO
10132871979,MQP888,2026-06-12,2,NO,NO,SI,SI,NO,NO
10132873043,AE977GF,2026-06-12,2,NO,NO,SI,SI,NO,NO
10132873184,AC954PF,2026-06-12,1,NO,NO,SI,NO,NO,NO
10132873424,AA737CA,2026-06-12,2,NO,NO,SI,SI,NO,NO
10132873538,MXO391,2026-06-12,2,NO,NO,SI,SI,NO,NO
10232851904,AE193KA,2026-06-12,2,NO,NO,SI,NO,NO,SI
10232854493,AG606AV,2026-06-12,2,NO,NO,SI,SI,NO,NO
10232856449,EVU853,2026-06-12,0,NO,NO,NO,NO,NO,NO
10232860691,RZR383,2026-06-12,0,NO,NO,NO,NO,NO,NO
10232863530,NZZ339,2026-06-12,0,NO,NO,NO,NO,NO,NO
10232864694,AE020TJ,2026-06-12,0,NO,NO,NO,NO,NO,NO
10232864990,HIN545,2026-06-12,0,NO,NO,NO,NO,NO,NO
10232865675,JWQ470,2026-06-12,0,NO,NO,NO,NO,NO,NO
10232865863,ULB899,2026-06-12,0,NO,NO,NO,NO,NO,NO
10232865988,AF581CK,2026-06-12,0,NO,NO,NO,NO,NO,NO
10232866302,AG538IY,2026-06-12,0,NO,NO,NO,NO,NO,NO
10232866679,NUW682,2026-06-12,0,NO,NO,NO,NO,NO,NO
10232867067,GMJ013,2026-06-12,0,NO,NO,NO,NO,NO,NO
10232867156,EFE404,2026-06-12,0,NO,NO,NO,NO,NO,NO
10232867158,NPF889,2026-06-12,0,NO,NO,NO,NO,NO,NO
10232868324,PPT952,2026-06-12,0,NO,NO,NO,NO,NO,NO
10232868449,AE302ZZ,2026-06-12,3,SI,SI,SI,NO,NO,NO
10232868879,CVP964,2026-06-12,2,NO,NO,SI,SI,NO,NO
10232868888,AC088TE,2026-06-12,0,NO,NO,NO,NO,NO,NO
10232868891,AD604NQ,2026-06-12,0,NO,NO,NO,NO,NO,NO
