ctg,patente,dia_egreso,puntos_capturados,ingreso,preingreso,calada,balanza_ingreso,balanza_egreso,volcable
10132863060,LPG333,2026-06-12,3,NO,NO,SI,SI,NO,SI
10232849431,LWQ186,2026-06-12,0,NO,NO,NO,NO,NO,NO
10232856811,JLB950,2026-06-12,2,NO,NO,SI,SI,NO,NO
10232863611,ETW020,2026-06-12,1,NO,NO,SI,NO,NO,NO
10232864417,KGH430,2026-06-12,3,NO,NO,SI,SI,NO,SI
10232877200,GTS763,2026-06-12,5,SI,SI,SI,SI,NO,SI
10232877214,AD707QT,2026-06-12,4,SI,SI,SI,NO,NO,SI
10232878613,VSN194,2026-06-12,4,SI,SI,SI,SI,NO,NO
10232878828,RNA350,2026-06-12,3,SI,SI,NO,SI,NO,NO
10232879120,VVC494,2026-06-12,4,SI,SI,NO,SI,NO,SI
10232879540,ANV363,2026-06-12,3,SI,NO,SI,SI,NO,NO
10232879665,BJL896,2026-06-12,5,SI,SI,SI,SI,NO,SI
10232880281,MDV127,2026-06-12,5,SI,SI,SI,SI,NO,SI
10232881036,SFN197,2026-06-12,0,NO,NO,NO,NO,NO,NO
10232881501,AB290FT,2026-06-12,4,SI,NO,SI,SI,NO,SI
10132873584,JBA946,2026-06-13,2,SI,NO,SI,NO,NO,NO
10132882976,AD702LZ,2026-06-13,5,SI,SI,SI,SI,NO,SI
10132883081,AG252GR,2026-06-13,0,NO,NO,NO,NO,NO,NO
10132889104,RGS867,2026-06-13,0,NO,NO,NO,NO,NO,NO
10132892434,AE220HV,2026-06-13,5,SI,SI,SI,SI,NO,SI
10132892496,AD761IY,2026-06-13,5,SI,SI,SI,SI,NO,SI
10132894429,CMB876,2026-06-13,5,SI,SI,SI,SI,NO,SI
10132894462,HMU554,2026-06-13,4,SI,SI,SI,SI,NO,NO
10132894493,GCG666,2026-06-13,3,SI,NO,SI,SI,NO,NO
10232887113,ILN788,2026-06-13,2,SI,SI,NO,NO,NO,NO
10232887776,MNP287,2026-06-13,5,SI,SI,SI,SI,NO,SI
10232891280,AH107VC,2026-06-13,5,SI,SI,SI,SI,NO,SI
10232892278,AA988AM,2026-06-13,0,NO,NO,NO,NO,NO,NO
10232892620,AD949LZ,2026-06-13,4,SI,NO,SI,SI,NO,SI
