ctg,patente,dia_egreso,puntos_capturados,ingreso,preingreso,calada,egreso,ingreso_slz,balanza_ingreso_slz,balanza_egreso_slz,salida_slz
10232863236,KHW680,2026-06-12,0,NO,NO,NO,NO,NO,NO,NO,NO
10232859572,AC177GE,2026-06-12,0,NO,NO,NO,NO,NO,NO,NO,NO
10132842164,KTH978,2026-06-12,0,NO,NO,NO,NO,NO,NO,NO,NO
10232858755,TFF539,2026-06-12,0,NO,NO,NO,NO,NO,NO,NO,NO
10232859530,AC177GM,2026-06-12,0,NO,NO,NO,NO,NO,NO,NO,NO
10232870700,NFT229,2026-06-12,0,NO,NO,NO,NO,NO,NO,NO,NO
10232865662,RYQ702,2026-06-12,0,NO,NO,NO,NO,NO,NO,NO,NO
10132849011,AI233BA,2026-06-12,0,NO,NO,NO,NO,NO,NO,NO,NO
10232870285,JPW863,2026-06-12,0,NO,NO,NO,NO,NO,NO,NO,NO
10132861429,ONH321,2026-06-12,0,NO,NO,NO,NO,NO,NO,NO,NO
10232859000,FMN234,2026-06-12,2,NO,NO,NO,NO,NO,SI,NO,SI
10232865247,HJR209,2026-06-12,1,NO,NO,NO,NO,NO,NO,NO,SI
10232872172,EJW129,2026-06-12,1,NO,NO,NO,NO,NO,NO,NO,SI
10132874233,OYQ711,2026-06-12,1,NO,NO,NO,NO,NO,NO,NO,SI
10232869770,BAS919,2026-06-12,4,NO,NO,SI,SI,SI,NO,NO,SI
10232873508,RGC102,2026-06-12,2,NO,NO,NO,NO,SI,NO,NO,SI
10232873344,SBQ148,2026-06-12,5,NO,NO,SI,SI,SI,SI,NO,SI
10232868922,AD985HR,2026-06-12,4,NO,NO,SI,SI,SI,NO,NO,SI
10232868574,OIL710,2026-06-12,4,NO,NO,SI,SI,SI,SI,NO,NO
10232872058,NJB401,2026-06-12,5,NO,NO,SI,SI,SI,SI,NO,SI
10132869917,AH827AX,2026-06-12,4,NO,NO,SI,SI,SI,NO,NO,SI
10232872640,TOP028,2026-06-12,4,NO,NO,SI,SI,SI,NO,NO,SI
10132873229,LRT697,2026-06-12,5,NO,NO,SI,SI,SI,SI,NO,SI
10132666481,GBX829,2026-06-12,5,NO,NO,SI,SI,SI,SI,NO,SI
10232870959,AH014FD,2026-06-12,5,NO,NO,SI,SI,SI,SI,NO,SI
10132858528,OUE808,2026-06-12,5,NO,NO,SI,SI,SI,SI,NO,SI
10132862446,AH730WC,2026-06-12,5,NO,NO,SI,SI,SI,SI,NO,SI
10232868650,LHK385,2026-06-12,5,NO,NO,SI,SI,SI,SI,NO,SI
10232859607,AC177GJ,2026-06-12,4,NO,NO,SI,SI,SI,NO,NO,SI
10232869637,AG795PP,2026-06-12,5,NO,NO,SI,SI,SI,SI,NO,SI
10232872881,EUX026,2026-06-12,5,NO,NO,SI,SI,SI,SI,NO,SI
10232867273,AF634EY,2026-06-12,5,NO,NO,SI,SI,SI,SI,NO,SI
10232872861,AA115CR,2026-06-12,5,NO,NO,SI,SI,SI,SI,NO,SI
10232873755,EYI229,2026-06-12,3,NO,NO,NO,SI,SI,NO,NO,SI
10232871121,NHB130,2026-06-12,5,NO,NO,SI,SI,SI,SI,NO,SI
