external_operation_id,plate,circuit,analysis_ready_for_scatter,device_code,slot_id,logical_code,slot_label,raw_in_excel_window,raw_anytime_plate,raw_count_in_window,raw_best_instant,pipeline_has_logical_point,gap_class,notes
CTG_10232853626,LQJ817,R7,true,,S1,SL_BALANZA_INGRESO,Balanza ingreso San Lorenzo,true,true,1,2026-06-10T23:46:59.17732-03:00,false,raw_no_pipeline,S1 crudo en ventana Excel; merge sin punto SL_BALANZA_INGRESO
CTG_10232837280,OTS748,R7,true,,S0,SL_INGRESO,Ingreso San Lorenzo,true,true,1,2026-06-10T23:32:23.943603-03:00,false,raw_no_pipeline,S0 crudo en ventana Excel; merge sin punto SL_INGRESO
CTG_10232837280,OTS748,R7,true,,S1,SL_BALANZA_INGRESO,Balanza ingreso San Lorenzo,true,true,1,2026-06-11T00:31:18.543724-03:00,false,raw_no_pipeline,S1 crudo en ventana Excel; merge sin punto SL_BALANZA_INGRESO
CTG_10232855383,AB930VC,R7,true,,S0,SL_INGRESO,Ingreso San Lorenzo,true,true,1,2026-06-11T00:18:08.8573-03:00,false,raw_no_pipeline,S0 crudo en ventana Excel; merge sin punto SL_INGRESO
CTG_10232855383,AB930VC,R7,true,,S7,SL_EGRESO,Egreso San Lorenzo C1,true,true,1,2026-06-11T01:06:17.891461-03:00,false,raw_no_pipeline,S7 crudo en ventana Excel; merge sin punto SL_EGRESO
CTG_10232841865,FGU279,R7,true,,S0,SL_INGRESO,Ingreso San Lorenzo,false,true,0,,false,raw_outside_window_only,Lecturas S0 para patente fuera de ventana ingreso/salida Excel
CTG_10232841865,FGU279,R7,true,,S7,SL_EGRESO,Egreso San Lorenzo C1,true,true,1,2026-06-11T01:10:12.904917-03:00,false,raw_no_pipeline,S7 crudo en ventana Excel; merge sin punto SL_EGRESO
CTG_10232852987,AF634EY,R7,true,,S0,SL_INGRESO,Ingreso San Lorenzo,true,true,1,2026-06-11T00:18:58.849972-03:00,false,raw_no_pipeline,S0 crudo en ventana Excel; merge sin punto SL_INGRESO
CTG_10232852987,AF634EY,R7,true,,S1,SL_BALANZA_INGRESO,Balanza ingreso San Lorenzo,true,true,1,2026-06-11T00:42:33.285719-03:00,false,raw_no_pipeline,S1 crudo en ventana Excel; merge sin punto SL_BALANZA_INGRESO
CTG_10232852987,AF634EY,R7,true,,S7,SL_EGRESO,Egreso San Lorenzo C1,true,true,1,2026-06-11T01:09:17.849932-03:00,false,raw_no_pipeline,S7 crudo en ventana Excel; merge sin punto SL_EGRESO
CTG_10232840832,LZH220,R7,true,,S0,SL_INGRESO,Ingreso San Lorenzo,true,true,1,2026-06-11T00:27:48.857891-03:00,false,raw_no_pipeline,S0 crudo en ventana Excel; merge sin punto SL_INGRESO
CTG_10232840832,LZH220,R7,true,,S7,SL_EGRESO,Egreso San Lorenzo C1,true,true,1,2026-06-11T01:17:57.925482-03:00,false,raw_no_pipeline,S7 crudo en ventana Excel; merge sin punto SL_EGRESO
CTG_10232852017,AE477OP,R7,true,,S0,SL_INGRESO,Ingreso San Lorenzo,true,true,1,2026-06-11T00:42:18.94839-03:00,false,raw_no_pipeline,S0 crudo en ventana Excel; merge sin punto SL_INGRESO
CTG_10232852017,AE477OP,R7,true,,S1,SL_BALANZA_INGRESO,Balanza ingreso San Lorenzo,true,true,1,2026-06-11T00:47:23.268737-03:00,false,raw_no_pipeline,S1 crudo en ventana Excel; merge sin punto SL_BALANZA_INGRESO
CTG_10232852017,AE477OP,R7,true,,S5,SL_BALANZA_SALIDA,Balanza salida SC1,true,true,1,2026-06-11T01:20:20.031891-03:00,false,raw_no_pipeline,S5 crudo en ventana Excel; merge sin punto SL_BALANZA_SALIDA
CTG_10232852017,AE477OP,R7,true,,S7,SL_EGRESO,Egreso San Lorenzo C1,true,true,1,2026-06-11T01:24:17.860292-03:00,false,raw_no_pipeline,S7 crudo en ventana Excel; merge sin punto SL_EGRESO
CTG_10232847266,KPY495,R7,true,,S0,SL_INGRESO,Ingreso San Lorenzo,true,true,1,2026-06-11T00:29:53.901658-03:00,false,raw_no_pipeline,S0 crudo en ventana Excel; merge sin punto SL_INGRESO
CTG_10232847266,KPY495,R7,true,,S1,SL_BALANZA_INGRESO,Balanza ingreso San Lorenzo,true,true,2,2026-06-11T00:49:08.182551-03:00,false,raw_no_pipeline,S1 crudo en ventana Excel; merge sin punto SL_BALANZA_INGRESO
CTG_10232847266,KPY495,R7,true,,S7,SL_EGRESO,Egreso San Lorenzo C1,true,true,2,2026-06-11T01:36:47.96327-03:00,false,raw_no_pipeline,S7 crudo en ventana Excel; merge sin punto SL_EGRESO
CTG_10232840861,AB582RB,R7,true,,S0,SL_INGRESO,Ingreso San Lorenzo,true,true,1,2026-06-11T00:35:48.85397-03:00,false,raw_no_pipeline,S0 crudo en ventana Excel; merge sin punto SL_INGRESO
CTG_10232840861,AB582RB,R7,true,,S1,SL_BALANZA_INGRESO,Balanza ingreso San Lorenzo,true,true,3,2026-06-11T00:57:23.093913-03:00,false,raw_no_pipeline,S1 crudo en ventana Excel; merge sin punto SL_BALANZA_INGRESO
CTG_10232840861,AB582RB,R7,true,,S5,SL_BALANZA_SALIDA,Balanza salida SC1,true,true,1,2026-06-11T01:58:38.975568-03:00,false,raw_no_pipeline,S5 crudo en ventana Excel; merge sin punto SL_BALANZA_SALIDA
CTG_10232840861,AB582RB,R7,true,,S7,SL_EGRESO,Egreso San Lorenzo C1,true,true,1,2026-06-11T02:03:32.94568-03:00,false,raw_no_pipeline,S7 crudo en ventana Excel; merge sin punto SL_EGRESO
CTG_10232848615,SEU256,R7,true,,S0,SL_INGRESO,Ingreso San Lorenzo,true,true,1,2026-06-11T00:31:58.971136-03:00,false,raw_no_pipeline,S0 crudo en ventana Excel; merge sin punto SL_INGRESO
CTG_10232848615,SEU256,R7,true,,S7,SL_EGRESO,Egreso San Lorenzo C1,true,true,1,2026-06-11T02:04:53.105634-03:00,false,raw_no_pipeline,S7 crudo en ventana Excel; merge sin punto SL_EGRESO
CTG_10132839675,AE941NK,R7,true,,S0,SL_INGRESO,Ingreso San Lorenzo,true,true,1,2026-06-11T00:10:58.939072-03:00,false,raw_no_pipeline,S0 crudo en ventana Excel; merge sin punto SL_INGRESO
CTG_10132839675,AE941NK,R7,true,,S1,SL_BALANZA_INGRESO,Balanza ingreso San Lorenzo,false,true,0,,false,raw_outside_window_only,Lecturas S1 para patente fuera de ventana ingreso/salida Excel
CTG_10132839675,AE941NK,R7,true,,S7,SL_EGRESO,Egreso San Lorenzo C1,true,true,1,2026-06-11T02:07:17.95882-03:00,false,raw_no_pipeline,S7 crudo en ventana Excel; merge sin punto SL_EGRESO
CTG_10132852274,LKQ185,R7,true,,S0,SL_INGRESO,Ingreso San Lorenzo,true,true,1,2026-06-11T00:13:24.26428-03:00,false,raw_no_pipeline,S0 crudo en ventana Excel; merge sin punto SL_INGRESO
