external_operation_id,journey_uid,plate_normalized,product_normalized,platform_normalized,resolved_circuit_family,resolved_operational_point,segment_order_global,segment_order_journey,segment_name,segment_from,segment_to,segment_start_time,segment_end_time,segment_duration_min,segment_plant,segment_leg,truckflow_circuit_code,resolved_executive_circuit_code,truckflow_executive_status,truckflow_valid_detail,match_quality,route_quality,analysis_ready_for_scatter,analysis_warning,external_ingreso_at,external_salida_at,external_calado_at
CTG_10132845719,,KGN883,GIRASOL,VOLCABLE_2,VOLCABLE,VOLCABLE_2,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-11T12:34:00,2026-06-11T18:45:00,371,RIC,RIC,R6,R6,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-11T12:34:00,2026-06-11T18:45:00,2026-06-11T17:35:00
CTG_10132862956,,TRP648,GIRASOL,VOLCABLE_2,VOLCABLE,VOLCABLE_2,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-11T16:52:00,2026-06-11T19:30:00,158,RIC,RIC,R6,R6,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-11T16:52:00,2026-06-11T19:30:00,2026-06-11T17:37:00
CTG_10132860670,,DIM316,GIRASOL,VOLCABLE_2,VOLCABLE,VOLCABLE_2,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-11T16:51:00,2026-06-11T19:52:00,181,RIC,RIC,R6,R6,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-11T16:51:00,2026-06-11T19:52:00,2026-06-11T17:40:00
CTG_10232863882,,SEJ168,GIRASOL,VOLCABLE_2,VOLCABLE,VOLCABLE_2,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-11T12:27:00,2026-06-11T20:27:00,480,RIC,RIC,R6,R6,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-11T12:27:00,2026-06-11T20:27:00,2026-06-11T17:29:00
CTG_10232861853,merged_9cd93a89-f1d__9f08826e-ded,AB097MV,SOJA,CELDA_16,CELDA16,CELDA_16,1,1,egreso san lorenzo → ingreso,SL_EGRESO,INGRESO,2026-06-12T03:36:00.240745-03:00,2026-06-12T09:21:03.583001-03:00,345.06,MIXTO,SL,R7,R1,VALIDO,,EXTERNAL_MATCH_WIDE_WINDOW,ROUTE_COMPLETE,true,WIDE_WINDOW_MATCH,2026-06-11T15:01:00,2026-06-11T21:10:00,2026-06-11T20:14:00
CTG_10232861853,merged_9cd93a89-f1d__9f08826e-ded,AB097MV,SOJA,CELDA_16,CELDA16,CELDA_16,2,2,ingreso → preingreso,INGRESO,PREINGRESO,2026-06-12T09:21:03.583001-03:00,2026-06-12T09:22:58.456503-03:00,1.91,MIXTO,,R7,R1,VALIDO,,EXTERNAL_MATCH_WIDE_WINDOW,ROUTE_COMPLETE,true,WIDE_WINDOW_MATCH,2026-06-11T15:01:00,2026-06-11T21:10:00,2026-06-11T20:14:00
CTG_10232861853,merged_9cd93a89-f1d__9f08826e-ded,AB097MV,SOJA,CELDA_16,CELDA16,CELDA_16,3,3,preingreso → calada,PREINGRESO,CALADA,2026-06-12T09:22:58.456503-03:00,2026-06-12T12:50:33.431169-03:00,207.58,MIXTO,,R7,R1,VALIDO,,EXTERNAL_MATCH_WIDE_WINDOW,ROUTE_COMPLETE,true,WIDE_WINDOW_MATCH,2026-06-11T15:01:00,2026-06-11T21:10:00,2026-06-11T20:14:00
CTG_10232861853,merged_9cd93a89-f1d__9f08826e-ded,AB097MV,SOJA,CELDA_16,CELDA16,CELDA_16,4,4,calada → egreso,CALADA,EGRESO,2026-06-12T12:50:33.431169-03:00,2026-06-12T13:01:19.74092-03:00,10.77,MIXTO,,R7,R1,VALIDO,,EXTERNAL_MATCH_WIDE_WINDOW,ROUTE_COMPLETE,true,WIDE_WINDOW_MATCH,2026-06-11T15:01:00,2026-06-11T21:10:00,2026-06-11T20:14:00
CTG_10232861853,merged_9cd93a89-f1d__9f08826e-ded,AB097MV,SOJA,CELDA_16,CELDA16,CELDA_16,5,5,egreso → san lorenzo ingreso,EGRESO,SL_INGRESO,2026-06-12T13:01:19.74092-03:00,2026-06-12T13:16:25.498936-03:00,15.1,MIXTO,,R7,R1,VALIDO,,EXTERNAL_MATCH_WIDE_WINDOW,ROUTE_COMPLETE,true,WIDE_WINDOW_MATCH,2026-06-11T15:01:00,2026-06-11T21:10:00,2026-06-11T20:14:00
CTG_10232861853,merged_9cd93a89-f1d__9f08826e-ded,AB097MV,SOJA,CELDA_16,CELDA16,CELDA_16,6,6,san lorenzo ingreso → balanza de entrada,SL_INGRESO,SL_BALANZA_INGRESO,2026-06-12T13:16:25.498936-03:00,2026-06-12T15:50:06.092216-03:00,153.68,MIXTO,SL,R7,R1,VALIDO,,EXTERNAL_MATCH_WIDE_WINDOW,ROUTE_COMPLETE,true,WIDE_WINDOW_MATCH,2026-06-11T15:01:00,2026-06-11T21:10:00,2026-06-11T20:14:00
