dia,patente,regla,regla_detalle
2026-07-29,AH559TZ,SL_LUEGO_RIC_MISMO_DIA_NO_PELLET,R2 San Lorenzo y luego Ricardone mismo dia (no pellet)
2026-07-29,BIM121,SL_LUEGO_RIC_MISMO_DIA_NO_PELLET,R2 San Lorenzo y luego Ricardone mismo dia (no pellet)
2026-07-29,NKU970,SL_LUEGO_RIC_MISMO_DIA_NO_PELLET,R2 San Lorenzo y luego Ricardone mismo dia (no pellet)
2026-07-30,HMD525,RUTA_BALANZA_PLAYA_C16_BALANZA,R4 Balanza->Playa3->Celda16->Balanza
2026-07-30,JXQ163,RUTA_BALANZA_PLAYA_C16_BALANZA,R4 Balanza->Playa3->Celda16->Balanza
2026-07-31,AB158RI,CARGA_LUEGO_DESCARGA,R5 punto de carga y luego descarga
2026-07-31,AC761CI,RUTA_BALANZA_PLAYA_C16_BALANZA,R4 Balanza->Playa3->Celda16->Balanza
2026-07-31,AC775UB,RUTA_BALANZA_PLAYA_C16_BALANZA,R4 Balanza->Playa3->Celda16->Balanza
2026-07-31,AD587JO,RUTA_BALANZA_PLAYA_C16_BALANZA,R4 Balanza->Playa3->Celda16->Balanza
2026-07-31,AD654MK,RUTA_BALANZA_PLAYA_C16_BALANZA,R4 Balanza->Playa3->Celda16->Balanza
2026-07-31,AE041NV,RUTA_BALANZA_PLAYA_C16_BALANZA,R4 Balanza->Playa3->Celda16->Balanza
2026-07-31,AE218JV,RUTA_BALANZA_PLAYA_C16_BALANZA,R4 Balanza->Playa3->Celda16->Balanza
2026-07-31,AE578PN,RUTA_BALANZA_PLAYA_C16_BALANZA,R4 Balanza->Playa3->Celda16->Balanza
2026-07-31,AE788CX,CARGA_LUEGO_DESCARGA,R5 punto de carga y luego descarga
2026-07-31,AF011AQ,RUTA_BALANZA_PLAYA_C16_BALANZA,R4 Balanza->Playa3->Celda16->Balanza
2026-07-31,AG630DV,RUTA_BALANZA_PLAYA_C16_BALANZA,R4 Balanza->Playa3->Celda16->Balanza
2026-07-31,AH467DT,RUTA_BALANZA_PLAYA_C16_BALANZA,R4 Balanza->Playa3->Celda16->Balanza
2026-07-31,AI080BF,RUTA_BALANZA_PLAYA_C16_BALANZA,R4 Balanza->Playa3->Celda16->Balanza
2026-07-31,DXK216,RUTA_BALANZA_PLAYA_C16_BALANZA,R4 Balanza->Playa3->Celda16->Balanza
2026-07-31,EUJ805,CARGA_LUEGO_DESCARGA,R5 punto de carga y luego descarga
2026-07-31,HJD542,RUTA_BALANZA_PLAYA_C16_BALANZA,R4 Balanza->Playa3->Celda16->Balanza
2026-07-31,KUB085,CARGA_LUEGO_DESCARGA,R5 punto de carga y luego descarga
2026-07-31,NHE294,RUTA_BALANZA_PLAYA_C16_BALANZA,R4 Balanza->Playa3->Celda16->Balanza
2026-07-31,TDU360,SL_LUEGO_RIC_MISMO_DIA_NO_PELLET,R2 San Lorenzo y luego Ricardone mismo dia (no pellet)
2026-07-31,TQV755,RUTA_BALANZA_PLAYA_C16_BALANZA,R4 Balanza->Playa3->Celda16->Balanza
