"alert_code","sector_code","device_code","alert_count","first_alert_at","last_alert_at"
"INVALID_JOURNEY_START","PUERTO_SAN_LORENZO_INGRESO_CAMIONES","SLZIngCamFrente","1025","2026-05-12T03:06:53.477Z","2026-05-17T02:58:34.453Z"
"LPR_MALFUNCTION","RICARDONE_INGRESO_CAMIONES","RicIngCamFrente","534","2026-05-12T03:05:43.644Z","2026-05-17T02:56:54.396Z"
"INVALID_ROUTE","RICARDONE_BALANZA","RicB1Ingreso","473","2026-05-12T03:19:09.937Z","2026-05-17T02:54:04.946Z"
"LPR_MALFUNCTION","RICARDONE_CELDA_16","RicC16Descarga2","460","2026-05-13T15:49:24.651Z","2026-05-17T02:55:10.061Z"
"INVALID_JOURNEY_START","RICARDONE_PREINGRESO","RicPreIngInFr","440","2026-05-12T03:01:48.794Z","2026-05-17T02:58:34.482Z"
"LPR_MALFUNCTION","RICARDONE_BALANZA","RicB1Ingreso","427","2026-05-12T03:12:59.902Z","2026-05-17T02:57:59.884Z"
"INVALID_ROUTE","RICARDONE_CALADA","RicCal02","357","2026-05-14T13:12:56.651Z","2026-05-17T02:37:15.888Z"
"INVALID_ROUTE","RICARDONE_EGRESO_CAMIONES","RicEgrCamFrente","352","2026-05-12T03:00:43.923Z","2026-05-17T00:58:04.575Z"
"LPR_MALFUNCTION","RICARDONE_PREINGRESO","RicPreIngInFr","347","2026-05-12T03:10:08.684Z","2026-05-17T02:56:14.395Z"
"INVALID_ROUTE","RICARDONE_CALADA","RicCal03","345","2026-05-14T13:56:56.807Z","2026-05-17T02:29:46.989Z"
"LPR_MALFUNCTION","RICARDONE_BALANZA","RicB2Egreso","336","2026-05-12T03:48:38.520Z","2026-05-17T02:54:09.454Z"
"INVALID_ROUTE","RICARDONE_CALADA","RicCal04","325","2026-05-14T13:35:01.462Z","2026-05-17T02:40:41.374Z"
"INVALID_JOURNEY_START","RICARDONE_BALANZA","RicB1Ingreso","319","2026-05-12T03:40:29.972Z","2026-05-17T02:54:04.942Z"
"INVALID_ROUTE","RICARDONE_CALADA","RicCal01","311","2026-05-14T13:15:59.010Z","2026-05-17T02:39:02.737Z"
"LPR_MALFUNCTION","RICARDONE_EGRESO_CAMIONES","RicEgrCamFrente","265","2026-05-12T03:02:08.833Z","2026-05-17T02:56:49.441Z"
"INVALID_ROUTE","RICARDONE_BALANZA","RicB2Egreso","240","2026-05-12T03:40:23.591Z","2026-05-17T02:52:19.059Z"
"INVALID_ROUTE","RICARDONE_CELDA_16","RicC16Descarga2","238","2026-05-13T15:49:19.685Z","2026-05-17T02:55:20.124Z"
"INVALID_JOURNEY_START","RICARDONE_EGRESO_CAMIONES","RicEgrCamFrente","228","2026-05-12T03:00:43.894Z","2026-05-17T00:58:04.570Z"
"INVALID_JOURNEY_START","RICARDONE_CELDA_16","RicC16Descarga2","226","2026-05-13T15:49:29.722Z","2026-05-17T02:55:20.120Z"
"INVALID_JOURNEY_START","RICARDONE_BALANZA","RicB2Egreso","218","2026-05-12T03:40:23.586Z","2026-05-17T02:52:19.054Z"
"LPR_MALFUNCTION","PUERTO_SAN_LORENZO_INGRESO_CAMIONES","SLZIngCamFrente","191","2026-05-12T03:14:03.332Z","2026-05-17T02:47:39.392Z"
"INVALID_ROUTE","PUERTO_SAN_LORENZO_INGRESO_CAMIONES","SLZIngCamFrente","179","2026-05-12T05:45:54.841Z","2026-05-16T19:16:19.437Z"
"LPR_MALFUNCTION","RICARDONE_CELDA_16","RicC16Descarga1","164","2026-05-13T16:01:29.660Z","2026-05-17T01:29:30.411Z"
"INVALID_ROUTE","RICARDONE_CELDA_16","RicC16Descarga1","162","2026-05-13T16:22:44.742Z","2026-05-17T02:28:00.499Z"
"LPR_MALFUNCTION","RICARDONE_PREINGRESO","RicPreIngEgFr","151","2026-05-12T04:34:38.644Z","2026-05-17T02:52:29.430Z"
"INVALID_JOURNEY_START","RICARDONE_CELDA_16","RicC16Descarga1","142","2026-05-13T16:22:44.736Z","2026-05-17T02:28:00.494Z"
"INVALID_JOURNEY_START","RICARDONE_CALADA","RicCal02","113","2026-05-14T13:17:41.412Z","2026-05-17T02:37:15.879Z"
"INVALID_JOURNEY_START","RICARDONE_CALADA","RicCal03","107","2026-05-14T13:56:56.802Z","2026-05-17T02:23:57.148Z"
"INVALID_JOURNEY_START","RICARDONE_CALADA","RicCal04","99","2026-05-14T13:56:10.993Z","2026-05-17T02:31:46.657Z"
"LPR_MALFUNCTION","RICARDONE_CALADA","RicCal01","93","2026-05-14T13:32:13.728Z","2026-05-17T02:21:48.060Z"
"LPR_MALFUNCTION","RICARDONE_CALADA","RicCal03","87","2026-05-14T13:41:02.087Z","2026-05-17T02:38:31.782Z"
"INVALID_JOURNEY_START","RICARDONE_CALADA","RicCal01","85","2026-05-14T13:48:18.546Z","2026-05-17T02:38:57.773Z"
"LPR_MALFUNCTION","RICARDONE_CALADA","RicCal04","80","2026-05-14T14:23:24.359Z","2026-05-17T02:36:06.472Z"
"LPR_MALFUNCTION","RICARDONE_VOLCABLE","RicVolcable2","71","2026-05-13T15:35:25.671Z","2026-05-17T02:20:24.520Z"
"LPR_MALFUNCTION","RICARDONE_CALADA","RicCal02","59","2026-05-14T13:56:05.340Z","2026-05-17T00:12:00.863Z"
"LPR_MALFUNCTION","RICARDONE_VOLCABLE","RicVolcable1","56","2026-05-13T16:15:59.809Z","2026-05-17T02:33:54.502Z"
"INVALID_ROUTE","RICARDONE_BALANZA","RicB3Ingreso","56","2026-05-12T11:44:43.367Z","2026-05-15T16:59:22.990Z"
"INVALID_JOURNEY_START","RICARDONE_BALANZA","RicB3Ingreso","56","2026-05-12T11:44:43.361Z","2026-05-15T16:59:22.986Z"
"LPR_MALFUNCTION","RICARDONE_BALANZA","RicB3Egreso","43","2026-05-12T10:45:48.798Z","2026-05-17T02:16:54.444Z"
"LPR_MALFUNCTION","RICARDONE_BALANZA","RicB3Ingreso","37","2026-05-12T10:39:28.312Z","2026-05-15T17:50:37.939Z"
"INVALID_ROUTE","RICARDONE_BALANZA","RicB3Egreso","28","2026-05-12T12:35:13.876Z","2026-05-17T02:17:19.532Z"
