"device_code","sector_code","event_count","alert_count","visible_event_count","lpr_alert_count","lpr_per_100_events","events_last_10_min_of_window","alerts_last_10_min_of_window","last_valid_plate","last_invalid_reading","latest_kind","latest_at","suggested_status","recommended_action"
"RicB1Egreso","RICARDONE_BALANZA","16","44","16","19","119","0","0","FJY164","TOA5881","alert","2026-05-16T21:18:53.805859-03:00","Revisar zona de captura","Alta carga LPR por evento; revisar iluminación, encuadre y zona de disparo."
"RicB1Ingreso","RICARDONE_BALANZA","1710","1219","1710","427","25","5","0","LZV033","SEW2389","event","2026-05-17T06:22:49.911Z","OK","Cámara operativa dentro de los umbrales iniciales."
"RicB2Egreso","RICARDONE_BALANZA","1729","794","1729","336","19","4","0","AD636IZ","FDS1270","event","2026-05-17T06:19:29.427Z","OK","Cámara operativa dentro de los umbrales iniciales."
"RicB3Egreso","RICARDONE_BALANZA","137","97","137","43","31","0","0","IWH787","AE29717","alert","2026-05-16T23:17:19.532449-03:00","OK","Cámara operativa dentro de los umbrales iniciales."
"RicB3Ingreso","RICARDONE_BALANZA","140","149","140","37","26","0","0","IMH787","DDN01","event","2026-05-17T02:13:34.426Z","OK","Cámara operativa dentro de los umbrales iniciales."
"RicC16Carga1","RICARDONE_CELDA_16","4","10","4","8","200","0","0","HCY279","DRF12","event","2026-05-16T20:54:29.942Z","Revisar zona de captura","Alta carga LPR por evento; revisar iluminación, encuadre y zona de disparo."
"RicC16Carga2","RICARDONE_CELDA_16","6","17","6","13","217","0","0","NLR442","924KHA","event","2026-05-16T18:52:30.449Z","Revisar zona de captura","Alta carga LPR por evento; revisar iluminación, encuadre y zona de disparo."
"RicC16Descarga1","RICARDONE_CELDA_16","352","468","352","164","47","0","0","AE479EV","AG6120","event","2026-05-17T05:11:15.877Z","OK","Cámara operativa dentro de los umbrales iniciales."
"RicC16Descarga2","RICARDONE_CELDA_16","450","925","450","460","102","0","0","III111","AMC61","event","2026-05-17T05:58:40.172Z","Revisar zona de captura","Alta carga LPR por evento; revisar iluminación, encuadre y zona de disparo."
"RicCal01","RICARDONE_CALADA","469","489","469","93","20","1","0","GBP207","CU7752","event","2026-05-17T06:16:43.102Z","OK","Cámara operativa dentro de los umbrales iniciales."
"RicCal02","RICARDONE_CALADA","530","529","530","59","11","2","0","AA407NG","AA9500","event","2026-05-17T06:19:42.748Z","OK","Cámara operativa dentro de los umbrales iniciales."
"RicCal03","RICARDONE_CALADA","592","539","592","87","15","2","0","BNL618","AVI40","event","2026-05-17T06:22:02.016Z","OK","Cámara operativa dentro de los umbrales iniciales."
"RicCal04","RICARDONE_CALADA","480","504","480","80","17","1","0","EIN941","AD65106","event","2026-05-17T06:20:01.254Z","OK","Cámara operativa dentro de los umbrales iniciales."
"RicCal05","RICARDONE_CALADA","2","3","2","0","0","0","0","AE923NR","HJJ9669","alert","2026-05-14T10:33:45.79168-03:00","Revisar LPR","Muchos eventos tienen patente inválida; calibrar OCR/LPR."
"RicCal06","RICARDONE_CALADA","5","4","5","2","40","0","0","AH733KN","—","event","2026-05-15T12:54:46.690Z","OK","Cámara operativa dentro de los umbrales iniciales."
"RicCalLiq","RICARDONE_CALADA","60","36","60","2","3","0","0","CSB958","LLFT141","event","2026-05-16T14:00:56.169Z","OK","Cámara operativa dentro de los umbrales iniciales."
"RicEgrCamFrente","RICARDONE_EGRESO_CAMIONES","1063","845","1063","265","25","0","0","ECV128","BPS33","event","2026-05-17T06:05:54.578Z","OK","Cámara operativa dentro de los umbrales iniciales."
"RicIngCamFrente","RICARDONE_INGRESO_CAMIONES","2738","534","2738","534","20","0","0","IHV073","UCK07","event","2026-05-17T06:09:34.479Z","OK","Cámara operativa dentro de los umbrales iniciales."
"RicPreIngEgFr","RICARDONE_PREINGRESO","34","169","34","151","444","0","0","AA550UF","EPI21","alert","2026-05-16T23:52:29.430144-03:00","Revisar zona de captura","Alta carga LPR por evento; revisar iluminación, encuadre y zona de disparo."
"RicPreIngEgTr","RICARDONE_PREINGRESO","5","2","5","1","20","0","0","EJH868","—","event","2026-05-15T01:57:29.513Z","OK","Cámara operativa dentro de los umbrales iniciales."
"RicPreIngInFr","RICARDONE_PREINGRESO","1977","788","1977","347","18","0","0","IHV073","EA8003","event","2026-05-17T06:12:04.450Z","OK","Cámara operativa dentro de los umbrales iniciales."
"RicVolcable1","RICARDONE_VOLCABLE","74","97","74","56","76","0","0","NLR442","LPV20","event","2026-05-17T06:12:09.521Z","Revisar zona de captura","Alta carga LPR por evento; revisar iluminación, encuadre y zona de disparo."
"RicVolcable2","RICARDONE_VOLCABLE","42","98","42","71","169","0","0","AH614YT","AC84910","event","2026-05-17T02:34:49.534Z","Revisar zona de captura","Alta carga LPR por evento; revisar iluminación, encuadre y zona de disparo."
"SLZIngCamFrente","PUERTO_SAN_LORENZO_INGRESO_CAMIONES","0","1395","0","191","100","0","0","—","CIT13","alert","2026-05-16T23:58:34.453845-03:00","Revisar integración","Hay alertas sin eventos visibles; revisar integración journey-event/list o asociación por cámara."
