reconstructed_journey_id,normalized_plate,score_raw,bonuses,penalties,logical_order_ok,loop_bonus,illogical,time_penalty,circuit_status,matrix_circuit_type,observed_logical,expected_sequence
"rv2_ricardone_xu2ez3_1778554924348_0_wlywqc","EJF000","45","45","0","true","false","false","false","INCOMPLETO_RECUPERABLE","RICARDONE_CELDA16_RECEPCION","INGRESO>EGRESO","S0>S1>S2>S4>S5>S6>S7>S4>S10"
"rv2_ricardone_sjdhbp_1778555015997_0_bz74pr","WSA077","35","35","0","true","false","false","false","INCOMPLETO_RECUPERABLE","RICARDONE_CELDA16_RECEPCION","BALANZA_EGRESO","S0>S1>S2>S4>S5>S6>S7>S4>S10"
"rv2_ricardone_wzvgxj_1778555093552_0_jsj1j","NFD159","35","35","0","true","false","false","false","INCOMPLETO_RECUPERABLE","RICARDONE_CELDA16_RECEPCION","BALANZA_INGRESO","S0>S1>S2>S4>S5>S6>S7>S4>S10"
"rv2_ricardone_wkid76_1778555094879_0_biztn2","OCB815","35","35","0","true","false","false","false","INCOMPLETO_RECUPERABLE","RICARDONE_CELDA16_RECEPCION","BALANZA_EGRESO","S0>S1>S2>S4>S5>S6>S7>S4>S10"
"rv2_ricardone_z6xnm8_1778555115989_0_sb8a60","HFB532","30","30","0","true","false","false","false","INCOMPLETO_NO_RECUPERABLE","RICARDONE_CELDA16_RECEPCION","EGRESO","S0>S1>S2>S4>S5>S6>S7>S4>S10"
"rv2_ricardone_x6dtxl_1778555125924_0_laz4h8","MYI026","35","35","0","true","false","false","false","INCOMPLETO_RECUPERABLE","RICARDONE_CELDA16_RECEPCION","BALANZA_EGRESO","S0>S1>S2>S4>S5>S6>S7>S4>S10"
"rv2_ricardone_xe4p9o_1778555143668_0_r8qjbm","MKF826","30","30","0","true","false","false","false","INCOMPLETO_NO_RECUPERABLE","RICARDONE_CELDA16_RECEPCION","EGRESO","S0>S1>S2>S4>S5>S6>S7>S4>S10"
"rv2_ricardone_w5c65y_1778555158274_0_6ub7u1","AWW326","35","35","0","true","false","false","false","INCOMPLETO_RECUPERABLE","RICARDONE_CELDA16_RECEPCION","BALANZA_INGRESO","S0>S1>S2>S4>S5>S6>S7>S4>S10"
"rv2_ricardone_wfkq6q_1778555166152_0_6evcex","BKK983","30","30","0","true","false","false","false","INCOMPLETO_NO_RECUPERABLE","RICARDONE_CELDA16_RECEPCION","EGRESO","S0>S1>S2>S4>S5>S6>S7>S4>S10"
"rv2_ricardone_vyn88f_1778555222359_0_kh8lk4","PKZ044","35","35","0","true","false","false","false","INCOMPLETO_RECUPERABLE","RICARDONE_CELDA16_RECEPCION","BALANZA_INGRESO","S0>S1>S2>S4>S5>S6>S7>S4>S10"
"rv2_ricardone_yec969_1778555301402_0_8zg882","FPB081","35","35","0","true","false","false","false","INCOMPLETO_RECUPERABLE","RICARDONE_CELDA16_RECEPCION","BALANZA_INGRESO","S0>S1>S2>S4>S5>S6>S7>S4>S10"
"rv2_ricardone_swjwk0_1778555492982_0_3m3mdf","VZB086","35","35","0","true","false","false","false","INCOMPLETO_RECUPERABLE","RICARDONE_CELDA16_RECEPCION","BALANZA_EGRESO","S0>S1>S2>S4>S5>S6>S7>S4>S10"
"rv2_ricardone_6wl9xu_1778555523020_0_5jzpk5","AE398PP","45","45","0","true","false","false","false","INCOMPLETO_RECUPERABLE","RICARDONE_CELDA16_RECEPCION","INGRESO>EGRESO","S0>S1>S2>S4>S5>S6>S7>S4>S10"
"rv2_ricardone_5ff55j_1778555638590_0_cznjdf","AH700RK","45","45","0","true","false","false","false","INCOMPLETO_RECUPERABLE","RICARDONE_CELDA16_RECEPCION","PREINGRESO>EGRESO","S0>S1>S2>S4>S5>S6>S7>S4>S10"
"rv2_ricardone_6wlaih_1778555694194_0_j3ha1x","AE39892","35","35","0","true","false","false","false","INCOMPLETO_NO_RECUPERABLE","RICARDONE_CELDA16_RECEPCION","PREINGRESO","S0>S1>S2>S4>S5>S6>S7>S4>S10"
"rv2_ricardone_x06u82_1778555775947_0_kdpg2c","NEQ767","30","30","0","true","false","false","false","INCOMPLETO_NO_RECUPERABLE","RICARDONE_CELDA16_RECEPCION","EGRESO","S0>S1>S2>S4>S5>S6>S7>S4>S10"
"rv2_ricardone_6ydxc0_1778555799148_0_2txnmh","AE010YN","30","30","0","true","false","false","false","INCOMPLETO_NO_RECUPERABLE","RICARDONE_CELDA16_RECEPCION","EGRESO","S0>S1>S2>S4>S5>S6>S7>S4>S10"
"rv2_ricardone_y7j7fd_1778555980531_0_xfkbme","FCU793","35","35","0","true","false","false","false","INCOMPLETO_RECUPERABLE","RICARDONE_CELDA16_RECEPCION","BALANZA_EGRESO","S0>S1>S2>S4>S5>S6>S7>S4>S10"
"rv2_ricardone_ybvyfc_1778556004760_0_espj0u","KKY155","30","30","0","true","false","false","false","INCOMPLETO_NO_RECUPERABLE","RICARDONE_CELDA16_RECEPCION","EGRESO","S0>S1>S2>S4>S5>S6>S7>S4>S10"
"rv2_ricardone_xemx8y_1778556042777_0_nqgnqc","DMD151","35","35","0","true","false","false","false","INCOMPLETO_RECUPERABLE","RICARDONE_CELDA16_RECEPCION","BALANZA_EGRESO","S0>S1>S2>S4>S5>S6>S7>S4>S10"
