"alert_id","created_at","modified_at","journey_uid","truck_plate","normalized_plate","sector_code","device_code","alert_code","severity","status","description","payload_plate","payload_normalized_plate","payload_event_id","payload_device_code","has_related_event","related_event_id","related_journey_uid","etl_status","etl_reason"
"30758","2026-05-16T23:58:34.48265-03:00","2026-05-16T23:58:34.48265-03:00","a1396937-7572-4d38-9c92-5a7182b8dfed","FSH816","FSH816","RICARDONE_PREINGRESO","RicPreIngInFr","INVALID_JOURNEY_START","2","open","Truck <FSH816> started journey at sector <RICARDONE_PREINGRESO>, which is not configured as an entry sector.","","","","","true","28771","a1396937-7572-4d38-9c92-5a7182b8dfed","committee_operational_aligned",""
"30757","2026-05-16T23:58:34.453845-03:00","2026-05-16T23:58:34.453845-03:00","2572ba51-3ae0-4ca9-b41b-47e1345ecf2a","JPX521","JPX521","PUERTO_SAN_LORENZO_INGRESO_CAMIONES","SLZIngCamFrente","INVALID_JOURNEY_START","2","open","Truck <JPX521> started journey at sector <PUERTO_SAN_LORENZO_INGRESO_CAMIONES>, which is not configured as an entry sector.","","","","","false","","","standalone_alert_no_event_match","NO_SEGMENT_EVENTS_FOR_JOURNEY"
"30756","2026-05-16T23:57:59.884784-03:00","2026-05-16T23:57:59.884784-03:00","","","","RICARDONE_BALANZA","RicB1Ingreso","LPR_MALFUNCTION","1","open","Camera <RicB1Ingreso> detected invalid plate <AB140Y>.","AB140Y","AB140Y","RicB1Ingreso-16825","RicB1Ingreso","false","","","standalone_alert_no_event_match","NO_SEGMENT_EVENTS_FOR_JOURNEY"
"30751","2026-05-16T23:56:54.39642-03:00","2026-05-16T23:56:54.39642-03:00","","","","RICARDONE_INGRESO_CAMIONES","RicIngCamFrente","LPR_MALFUNCTION","1","open","Camera <RicIngCamFrente> detected invalid plate <D69>.","D69","D69","RicIngCamFrente-27601","RicIngCamFrente","false","","","standalone_alert_no_event_match","NO_SEGMENT_EVENTS_FOR_JOURNEY"
"30750","2026-05-16T23:56:49.441889-03:00","2026-05-16T23:56:49.441889-03:00","","","","RICARDONE_EGRESO_CAMIONES","RicEgrCamFrente","LPR_MALFUNCTION","1","open","Camera <RicEgrCamFrente> detected invalid plate <505HR>.","505HR","505HR","RicEgrCamFrente-12721","RicEgrCamFrente","false","","","standalone_alert_no_event_match","NO_SEGMENT_EVENTS_FOR_JOURNEY"
"30746","2026-05-16T23:56:14.395994-03:00","2026-05-16T23:56:14.395994-03:00","","","","RICARDONE_PREINGRESO","RicPreIngInFr","LPR_MALFUNCTION","1","open","Camera <RicPreIngInFr> detected invalid plate <DL190>.","DL190","DL190","RicPreIngInFr-22769","RicPreIngInFr","false","","","standalone_alert_no_event_match","NO_SEGMENT_EVENTS_FOR_JOURNEY"
"30745","2026-05-16T23:56:14.393121-03:00","2026-05-16T23:56:14.393121-03:00","","","","RICARDONE_INGRESO_CAMIONES","RicIngCamFrente","LPR_MALFUNCTION","1","open","Camera <RicIngCamFrente> detected invalid plate <E016>.","E016","E016","RicIngCamFrente-27585","RicIngCamFrente","false","","","standalone_alert_no_event_match","NO_SEGMENT_EVENTS_FOR_JOURNEY"
"30744","2026-05-16T23:55:54.445305-03:00","2026-05-16T23:55:54.445305-03:00","","","","RICARDONE_EGRESO_CAMIONES","RicEgrCamFrente","LPR_MALFUNCTION","1","open","Camera <RicEgrCamFrente> detected invalid plate <VE6>.","VE6","VE6","RicEgrCamFrente-12705","RicEgrCamFrente","false","","","standalone_alert_no_event_match","NO_SEGMENT_EVENTS_FOR_JOURNEY"
"30743","2026-05-16T23:55:20.124563-03:00","2026-05-16T23:55:20.124563-03:00","b0474969-9c65-4d70-855c-2ab632960eac","SLQ94","SLQ94","RICARDONE_CELDA_16","RicC16Descarga2","INVALID_ROUTE","2","open","Truck <SLQ94> reached sector <RICARDONE_CELDA_16> following a path that does not match any configured route.","","","","","true","28763","b0474969-9c65-4d70-855c-2ab632960eac","committee_operational_aligned",""
"30742","2026-05-16T23:55:20.120161-03:00","2026-05-16T23:55:20.120161-03:00","b0474969-9c65-4d70-855c-2ab632960eac","SLQ94","SLQ94","RICARDONE_CELDA_16","RicC16Descarga2","INVALID_JOURNEY_START","2","open","Truck <SLQ94> started journey at sector <RICARDONE_CELDA_16>, which is not configured as an entry sector.","","","","","true","28763","b0474969-9c65-4d70-855c-2ab632960eac","committee_operational_aligned",""
"30740","2026-05-16T23:55:10.061987-03:00","2026-05-16T23:55:10.061987-03:00","","","","RICARDONE_CELDA_16","RicC16Descarga2","LPR_MALFUNCTION","1","open","Camera <RicC16Descarga2> detected invalid plate <CI9C2>.","CI9C2","CI9C2","RicC16Descarga2-17537","RicC16Descarga2","false","","","standalone_alert_no_event_match","NO_SEGMENT_EVENTS_FOR_JOURNEY"
