"journey_uid","plate","started_at","ended_at","duration_minutes","preliminary_circuit_code","preliminary_circuit_name","preliminary_circuit_confidence","site_id","event_count","logical_code_sequence_joined","raw_sector_sequence_joined","quality_flags_joined","is_complete_minimal","is_suspicious_long","feeds_operational_analytics","committee_source_journey_uid","committee_segment_index","committee_temporal_bucket","committee_operational_circuit","committee_etl_hint","committee_etl_reason","included_in_clean_layer"
"902a2b26-f74c-441e-bbb8-6df6ecd9f9b2","EJF000","2026-05-12T00:02:04.348-03:00","2026-05-12T01:35:37.183-03:00","94","CIRCUITO_SAN_LORENZO","Circuito Ricardone → San Lorenzo","media","ricardone","2","INGRESO|EGRESO","RICARDONE_INGRESO_CAMIONES|RICARDONE_EGRESO_CAMIONES","VIAJE_COMPLETO_MINIMO|CON_INGRESO|CON_EGRESO","true","false","true","902a2b26-f74c-441e-bbb8-6df6ecd9f9b2","0","normal","CIRCUITO_SAN_LORENZO","included","COMMITTEE_CIRCUITO_OPERATIVO_CLARO","false"
"a29670c6-528b-4407-ba14-58c5a531d21e","WSA077","2026-05-12T00:03:35.997-03:00","2026-05-12T00:03:35.997-03:00","0","REGISTRO_INCOMPLETO","Registro incompleto","baja","ricardone","1","BALANZA_EGRESO","RICARDONE_BALANZA","VIAJE_INCOMPLETO|SIN_INGRESO|SIN_EGRESO|JOURNEY_REPETICION_MISMO_SECTOR","false","false","true","a29670c6-528b-4407-ba14-58c5a531d21e","0","normal","REGISTRO_INCOMPLETO_COMITE","review_required","COMMITTEE_REGISTRO_INCOMPLETO","false"
"d0efb456-893c-48df-9945-73efe614b091__committee_seg_0","NFD159","2026-05-12T00:04:53.552-03:00","2026-05-12T04:24:11.149-03:00","259","DESPACHO_SIN_PUNTO_INSTRUMENTADO","Despacho / descarga sin punto instrumentado","baja","ricardone","2","BALANZA_INGRESO|BALANZA_EGRESO","RICARDONE_BALANZA|RICARDONE_BALANZA","VIAJE_INCOMPLETO|SIN_INGRESO|SIN_EGRESO|JOURNEY_REPETICION_MISMO_SECTOR","false","false","true","d0efb456-893c-48df-9945-73efe614b091","0","split","REGISTRO_INCOMPLETO_COMITE","review_required","COMMITTEE_REGISTRO_INCOMPLETO","false"
"dc4c3ff2-7e6e-4a00-be7c-77242bff6d48__committee_seg_0","OCB815","2026-05-12T00:04:54.879-03:00","2026-05-12T00:04:54.879-03:00","0","REGISTRO_INCOMPLETO","Registro incompleto","baja","ricardone","1","BALANZA_EGRESO","RICARDONE_BALANZA","VIAJE_INCOMPLETO|SIN_INGRESO|SIN_EGRESO|JOURNEY_REPETICION_MISMO_SECTOR","false","false","true","dc4c3ff2-7e6e-4a00-be7c-77242bff6d48","0","split","REGISTRO_INCOMPLETO_COMITE","review_required","COMMITTEE_REGISTRO_INCOMPLETO","true"
"ae22c50a-928f-495b-813a-761ac4312188","HFB532","2026-05-12T00:05:15.989-03:00","2026-05-12T00:05:15.989-03:00","0","REGISTRO_INCOMPLETO","Registro incompleto","baja","ricardone","1","EGRESO","RICARDONE_EGRESO_CAMIONES","VIAJE_INCOMPLETO|SIN_INGRESO|CON_EGRESO|SOLO_EGRESO|JOURNEY_REPETICION_MISMO_SECTOR","false","false","true","ae22c50a-928f-495b-813a-761ac4312188","0","normal","REGISTRO_INCOMPLETO_COMITE","review_required","COMMITTEE_REGISTRO_INCOMPLETO","false"
"4e619a5f-0a10-40e1-a2f9-eb0c8a107ac4","MYI026","2026-05-12T00:05:25.924-03:00","2026-05-12T00:05:25.924-03:00","0","REGISTRO_INCOMPLETO","Registro incompleto","baja","ricardone","1","BALANZA_EGRESO","RICARDONE_BALANZA","VIAJE_INCOMPLETO|SIN_INGRESO|SIN_EGRESO|JOURNEY_REPETICION_MISMO_SECTOR","false","false","true","4e619a5f-0a10-40e1-a2f9-eb0c8a107ac4","0","normal","REGISTRO_INCOMPLETO_COMITE","review_required","COMMITTEE_REGISTRO_INCOMPLETO","false"
"1504cf5b-5d59-42b7-a6f7-8986bfc7e8c5","MKF826","2026-05-12T00:05:43.668-03:00","2026-05-12T00:05:43.668-03:00","0","REGISTRO_INCOMPLETO","Registro incompleto","baja","ricardone","1","EGRESO","RICARDONE_EGRESO_CAMIONES","VIAJE_INCOMPLETO|SIN_INGRESO|CON_EGRESO|SOLO_EGRESO|JOURNEY_REPETICION_MISMO_SECTOR","false","false","true","1504cf5b-5d59-42b7-a6f7-8986bfc7e8c5","0","normal","REGISTRO_INCOMPLETO_COMITE","review_required","COMMITTEE_REGISTRO_INCOMPLETO","false"
"ddf682cb-e5e3-4f79-8ff1-ce607b83b02e","AWW326","2026-05-12T00:05:58.274-03:00","2026-05-12T04:29:12.204-03:00","263","DESPACHO_SIN_PUNTO_INSTRUMENTADO","Despacho / descarga sin punto instrumentado","baja","ricardone","2","BALANZA_INGRESO|BALANZA_EGRESO","RICARDONE_BALANZA|RICARDONE_BALANZA","VIAJE_INCOMPLETO|SIN_INGRESO|SIN_EGRESO|JOURNEY_REPETICION_MISMO_SECTOR","false","false","true","ddf682cb-e5e3-4f79-8ff1-ce607b83b02e","0","normal","REGISTRO_INCOMPLETO_COMITE","review_required","COMMITTEE_REGISTRO_INCOMPLETO","true"
"1247a87d-3dbd-485e-810f-610fb2e75ac1","BKK983","2026-05-12T00:06:06.152-03:00","2026-05-12T00:06:06.152-03:00","0","REGISTRO_INCOMPLETO","Registro incompleto","baja","ricardone","1","EGRESO","RICARDONE_EGRESO_CAMIONES","VIAJE_INCOMPLETO|SIN_INGRESO|CON_EGRESO|SOLO_EGRESO|JOURNEY_REPETICION_MISMO_SECTOR","false","false","true","1247a87d-3dbd-485e-810f-610fb2e75ac1","0","normal","REGISTRO_INCOMPLETO_COMITE","review_required","COMMITTEE_REGISTRO_INCOMPLETO","false"
"7a11d809-f01b-4c64-a5a6-ee4375a10326","PKZ044","2026-05-12T00:07:02.359-03:00","2026-05-12T04:39:04.001-03:00","272","DESPACHO_SIN_PUNTO_INSTRUMENTADO","Despacho / descarga sin punto instrumentado","baja","ricardone","2","BALANZA_INGRESO|BALANZA_EGRESO","RICARDONE_BALANZA|RICARDONE_BALANZA","VIAJE_INCOMPLETO|SIN_INGRESO|SIN_EGRESO|JOURNEY_REPETICION_MISMO_SECTOR","false","false","true","7a11d809-f01b-4c64-a5a6-ee4375a10326","0","normal","REGISTRO_INCOMPLETO_COMITE","review_required","COMMITTEE_REGISTRO_INCOMPLETO","true"
