reconstructed_journey_id,source_journey_uids,source_journey_count,plate,normalized_plate,site_id,started_at,ended_at,duration_minutes,observed_sequence,expected_sequence,circuit_type,circuit_status,confidence,missing_points,missing_points_count,reconstructed,reconstruction_reason,event_count,score_raw,etl_reason
"rv2_ricardone_xu2ez3_1778554924348_0_wlywqc","902a2b26-f74c-441e-bbb8-6df6ecd9f9b2","1","EJF000","EJF000","ricardone","2026-05-12T00:02:04.348-03:00","2026-05-12T01:35:37.183-03:00","94","S1>S10","S0>S1>S2>S4>S5>S6>S7>S4>S10","RICARDONE_CELDA16_RECEPCION","INCOMPLETO_RECUPERABLE","45","S2|S4|S5|S6|S7","5","false","FRAGMENTOS_UTILES_REVISION","2","45","FRAGMENTOS_UTILES_REVISION|INCOMPLETO_RECUPERABLE"
"rv2_ricardone_sjdhbp_1778555015997_0_bz74pr","a29670c6-528b-4407-ba14-58c5a531d21e","1","WSA077","WSA077","ricardone","2026-05-12T00:03:35.997-03:00","2026-05-12T00:03:35.997-03:00","1","S4","S0>S1>S2>S4>S5>S6>S7>S4>S10","RICARDONE_CELDA16_RECEPCION","INCOMPLETO_RECUPERABLE","35","S2|S4|S5|S6|S7","5","false","CERCA_MINIMO_MATRIZ_BALANZA","1","35","CERCA_MINIMO_MATRIZ_BALANZA|INCOMPLETO_RECUPERABLE"
"rv2_ricardone_wzvgxj_1778555093552_0_jsj1j","d0efb456-893c-48df-9945-73efe614b091__committee_seg_0","1","NFD159","NFD159","ricardone","2026-05-12T00:04:53.552-03:00","2026-05-12T00:04:53.552-03:00","1","S4","S0>S1>S2>S4>S5>S6>S7>S4>S10","RICARDONE_CELDA16_RECEPCION","INCOMPLETO_RECUPERABLE","35","S2|S4|S5|S6|S7","5","false","CERCA_MINIMO_MATRIZ_BALANZA","1","35","CERCA_MINIMO_MATRIZ_BALANZA|INCOMPLETO_RECUPERABLE"
"rv2_ricardone_wkid76_1778555094879_0_biztn2","dc4c3ff2-7e6e-4a00-be7c-77242bff6d48__committee_seg_0","1","OCB815","OCB815","ricardone","2026-05-12T00:04:54.879-03:00","2026-05-12T00:04:54.879-03:00","1","S4","S0>S1>S2>S4>S5>S6>S7>S4>S10","RICARDONE_CELDA16_RECEPCION","INCOMPLETO_RECUPERABLE","35","S2|S4|S5|S6|S7","5","false","CERCA_MINIMO_MATRIZ_BALANZA","1","35","CERCA_MINIMO_MATRIZ_BALANZA|INCOMPLETO_RECUPERABLE"
"rv2_ricardone_z6xnm8_1778555115989_0_sb8a60","ae22c50a-928f-495b-813a-761ac4312188","1","HFB532","HFB532","ricardone","2026-05-12T00:05:15.989-03:00","2026-05-12T00:05:15.989-03:00","1","S10","S0>S1>S2>S4>S5>S6>S7>S4>S10","RICARDONE_CELDA16_RECEPCION","INCOMPLETO_NO_RECUPERABLE","30","S2|S4|S5|S6|S7","5","false","EVENTOS_AISLADOS","1","30","EVENTOS_AISLADOS|INCOMPLETO_NO_RECUPERABLE"
"rv2_ricardone_x6dtxl_1778555125924_0_laz4h8","4e619a5f-0a10-40e1-a2f9-eb0c8a107ac4","1","MYI026","MYI026","ricardone","2026-05-12T00:05:25.924-03:00","2026-05-12T00:05:25.924-03:00","1","S4","S0>S1>S2>S4>S5>S6>S7>S4>S10","RICARDONE_CELDA16_RECEPCION","INCOMPLETO_RECUPERABLE","35","S2|S4|S5|S6|S7","5","false","CERCA_MINIMO_MATRIZ_BALANZA","1","35","CERCA_MINIMO_MATRIZ_BALANZA|INCOMPLETO_RECUPERABLE"
"rv2_ricardone_xe4p9o_1778555143668_0_r8qjbm","1504cf5b-5d59-42b7-a6f7-8986bfc7e8c5","1","MKF826","MKF826","ricardone","2026-05-12T00:05:43.668-03:00","2026-05-12T00:05:43.668-03:00","1","S10","S0>S1>S2>S4>S5>S6>S7>S4>S10","RICARDONE_CELDA16_RECEPCION","INCOMPLETO_NO_RECUPERABLE","30","S2|S4|S5|S6|S7","5","false","EVENTOS_AISLADOS","1","30","EVENTOS_AISLADOS|INCOMPLETO_NO_RECUPERABLE"
"rv2_ricardone_w5c65y_1778555158274_0_6ub7u1","ddf682cb-e5e3-4f79-8ff1-ce607b83b02e","1","AWW326","AWW326","ricardone","2026-05-12T00:05:58.274-03:00","2026-05-12T00:05:58.274-03:00","1","S4","S0>S1>S2>S4>S5>S6>S7>S4>S10","RICARDONE_CELDA16_RECEPCION","INCOMPLETO_RECUPERABLE","35","S2|S4|S5|S6|S7","5","false","CERCA_MINIMO_MATRIZ_BALANZA","1","35","CERCA_MINIMO_MATRIZ_BALANZA|INCOMPLETO_RECUPERABLE"
"rv2_ricardone_wfkq6q_1778555166152_0_6evcex","1247a87d-3dbd-485e-810f-610fb2e75ac1","1","BKK983","BKK983","ricardone","2026-05-12T00:06:06.152-03:00","2026-05-12T00:06:06.152-03:00","1","S10","S0>S1>S2>S4>S5>S6>S7>S4>S10","RICARDONE_CELDA16_RECEPCION","INCOMPLETO_NO_RECUPERABLE","30","S2|S4|S5|S6|S7","5","false","EVENTOS_AISLADOS","1","30","EVENTOS_AISLADOS|INCOMPLETO_NO_RECUPERABLE"
"rv2_ricardone_vyn88f_1778555222359_0_kh8lk4","7a11d809-f01b-4c64-a5a6-ee4375a10326","1","PKZ044","PKZ044","ricardone","2026-05-12T00:07:02.359-03:00","2026-05-12T00:07:02.359-03:00","1","S4","S0>S1>S2>S4>S5>S6>S7>S4>S10","RICARDONE_CELDA16_RECEPCION","INCOMPLETO_RECUPERABLE","35","S2|S4|S5|S6|S7","5","false","CERCA_MINIMO_MATRIZ_BALANZA","1","35","CERCA_MINIMO_MATRIZ_BALANZA|INCOMPLETO_RECUPERABLE"
"rv2_ricardone_yec969_1778555301402_0_8zg882","5a792a9d-c8f6-4d86-81b6-e1c8c4514f42","1","FPB081","FPB081","ricardone","2026-05-12T00:08:21.402-03:00","2026-05-12T00:08:21.402-03:00","1","S4","S0>S1>S2>S4>S5>S6>S7>S4>S10","RICARDONE_CELDA16_RECEPCION","INCOMPLETO_RECUPERABLE","35","S2|S4|S5|S6|S7","5","false","CERCA_MINIMO_MATRIZ_BALANZA","1","35","CERCA_MINIMO_MATRIZ_BALANZA|INCOMPLETO_RECUPERABLE"
