"event_id","journey_uid","sequence_number","event_category","event_type","occurred_at","recorded_at","truck_plate","normalized_plate","is_valid_plate","sector_code","device_code","alert_level","committee_source_journey_uid","committee_segment_index","committee_temporal_bucket","committee_operational_circuit","committee_flags","related_alert_count","related_alert_ids"
"28629","3bdfc3ba-e238-4f3d-a1b6-fc0ed8c89633","1","physical","sector_entered","2026-05-16T19:51:30.212-03:00","2026-05-16T19:51:30.212-03:00","LZV033","LZV033","true","RICARDONE_INGRESO_CAMIONES","RicIngCamFrente","0","3bdfc3ba-e238-4f3d-a1b6-fc0ed8c89633","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"28642","3bdfc3ba-e238-4f3d-a1b6-fc0ed8c89633","2","physical","sector_entered","2026-05-16T19:55:29.896-03:00","2026-05-16T19:55:29.896-03:00","LZV033","LZV033","true","RICARDONE_PREINGRESO","RicPreIngInFr","0","3bdfc3ba-e238-4f3d-a1b6-fc0ed8c89633","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"29195","3bdfc3ba-e238-4f3d-a1b6-fc0ed8c89633","3","physical","sector_entered","2026-05-16T23:46:52.126-03:00","2026-05-16T23:46:52.126-03:00","LZV033","LZV033","true","RICARDONE_CALADA","RicCal01","0","3bdfc3ba-e238-4f3d-a1b6-fc0ed8c89633","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"29218","3bdfc3ba-e238-4f3d-a1b6-fc0ed8c89633","4","physical","sector_entered","2026-05-16T23:59:32.752-03:00","2026-05-16T23:59:32.752-03:00","LZV033","LZV033","true","RICARDONE_BALANZA","RicB1Ingreso","0","3bdfc3ba-e238-4f3d-a1b6-fc0ed8c89633","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"28667","759aa424-9494-4278-add3-4d8d93a99688__committee_seg_1","4","physical","sector_entered","2026-05-16T20:02:42.559-03:00","2026-05-16T20:02:42.559-03:00","BNL618","BNL618","true","RICARDONE_PREINGRESO","RicPreIngInFr","0","759aa424-9494-4278-add3-4d8d93a99688","1","split","REGISTRO_INCOMPLETO_COMITE","","0",""
"29217","759aa424-9494-4278-add3-4d8d93a99688__committee_seg_1","5","physical","sector_entered","2026-05-16T23:58:43.154-03:00","2026-05-16T23:58:43.154-03:00","BNL618","BNL618","true","RICARDONE_CALADA","RicCal03","0","759aa424-9494-4278-add3-4d8d93a99688","1","split","REGISTRO_INCOMPLETO_COMITE","","0",""
"28576","bd67f419-4aee-4063-8d32-d8595555cc28","1","physical","sector_entered","2026-05-16T19:32:19.508-03:00","2026-05-16T19:32:19.508-03:00","AG085YQ","AG085YQ","true","RICARDONE_INGRESO_CAMIONES","RicIngCamFrente","0","bd67f419-4aee-4063-8d32-d8595555cc28","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"28582","bd67f419-4aee-4063-8d32-d8595555cc28","2","physical","sector_entered","2026-05-16T19:36:13.986-03:00","2026-05-16T19:36:13.986-03:00","AG085YQ","AG085YQ","true","RICARDONE_PREINGRESO","RicPreIngInFr","0","bd67f419-4aee-4063-8d32-d8595555cc28","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"29153","bd67f419-4aee-4063-8d32-d8595555cc28","3","physical","sector_entered","2026-05-16T23:27:11.099-03:00","2026-05-16T23:27:11.099-03:00","AG085YQ","AG085YQ","true","RICARDONE_CALADA","RicCal03","0","bd67f419-4aee-4063-8d32-d8595555cc28","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"29156","bd67f419-4aee-4063-8d32-d8595555cc28","4","physical","sector_entered","2026-05-16T23:27:35.561-03:00","2026-05-16T23:27:35.561-03:00","AG085YQ","AG085YQ","true","RICARDONE_CALADA","RicCal03","0","bd67f419-4aee-4063-8d32-d8595555cc28","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
