event_id,reconstructed_journey_id,source_journey_uid,plate,normalized_plate,occurred_at,sector_code,device_code,logical_point,event_order,is_valid_plate
"12977","rv2_ricardone_xu2ez3_1778554924348_0_wlywqc","902a2b26-f74c-441e-bbb8-6df6ecd9f9b2","EJF000","EJF000","2026-05-12T00:02:04.348-03:00","RICARDONE_INGRESO_CAMIONES","RicIngCamFrente","INGRESO","1","true"
"13080","rv2_ricardone_xu2ez3_1778554924348_0_wlywqc","902a2b26-f74c-441e-bbb8-6df6ecd9f9b2","EJF000","EJF000","2026-05-12T01:35:37.183-03:00","RICARDONE_EGRESO_CAMIONES","RicEgrCamFrente","EGRESO","2","true"
"12980","rv2_ricardone_sjdhbp_1778555015997_0_bz74pr","a29670c6-528b-4407-ba14-58c5a531d21e","WSA077","WSA077","2026-05-12T00:03:35.997-03:00","RICARDONE_BALANZA","RicB2Egreso","BALANZA_EGRESO","1","true"
"12982","rv2_ricardone_wzvgxj_1778555093552_0_jsj1j","d0efb456-893c-48df-9945-73efe614b091__committee_seg_0","NFD159","NFD159","2026-05-12T00:04:53.552-03:00","RICARDONE_BALANZA","RicB1Ingreso","BALANZA_INGRESO","1","true"
"12983","rv2_ricardone_wkid76_1778555094879_0_biztn2","dc4c3ff2-7e6e-4a00-be7c-77242bff6d48__committee_seg_0","OCB815","OCB815","2026-05-12T00:04:54.879-03:00","RICARDONE_BALANZA","RicB2Egreso","BALANZA_EGRESO","1","true"
"12984","rv2_ricardone_z6xnm8_1778555115989_0_sb8a60","ae22c50a-928f-495b-813a-761ac4312188","HFB532","HFB532","2026-05-12T00:05:15.989-03:00","RICARDONE_EGRESO_CAMIONES","RicEgrCamFrente","EGRESO","1","true"
"12985","rv2_ricardone_x6dtxl_1778555125924_0_laz4h8","4e619a5f-0a10-40e1-a2f9-eb0c8a107ac4","MYI026","MYI026","2026-05-12T00:05:25.924-03:00","RICARDONE_BALANZA","RicB2Egreso","BALANZA_EGRESO","1","true"
"12986","rv2_ricardone_xe4p9o_1778555143668_0_r8qjbm","1504cf5b-5d59-42b7-a6f7-8986bfc7e8c5","MKF826","MKF826","2026-05-12T00:05:43.668-03:00","RICARDONE_EGRESO_CAMIONES","RicEgrCamFrente","EGRESO","1","true"
"12987","rv2_ricardone_w5c65y_1778555158274_0_6ub7u1","ddf682cb-e5e3-4f79-8ff1-ce607b83b02e","AWW326","AWW326","2026-05-12T00:05:58.274-03:00","RICARDONE_BALANZA","RicB1Ingreso","BALANZA_INGRESO","1","true"
"12989","rv2_ricardone_wfkq6q_1778555166152_0_6evcex","1247a87d-3dbd-485e-810f-610fb2e75ac1","BKK983","BKK983","2026-05-12T00:06:06.152-03:00","RICARDONE_EGRESO_CAMIONES","RicEgrCamFrente","EGRESO","1","true"
"12991","rv2_ricardone_vyn88f_1778555222359_0_kh8lk4","7a11d809-f01b-4c64-a5a6-ee4375a10326","PKZ044","PKZ044","2026-05-12T00:07:02.359-03:00","RICARDONE_BALANZA","RicB1Ingreso","BALANZA_INGRESO","1","true"
"12992","rv2_ricardone_yec969_1778555301402_0_8zg882","5a792a9d-c8f6-4d86-81b6-e1c8c4514f42","FPB081","FPB081","2026-05-12T00:08:21.402-03:00","RICARDONE_BALANZA","RicB1Ingreso","BALANZA_INGRESO","1","true"
"12997","rv2_ricardone_swjwk0_1778555492982_0_3m3mdf","014da129-f00b-4fc7-8346-ec2806e1aa3e","VZB086","VZB086","2026-05-12T00:11:32.982-03:00","RICARDONE_BALANZA","RicB2Egreso","BALANZA_EGRESO","1","true"
"12998","rv2_ricardone_6wl9xu_1778555523020_0_5jzpk5","1d18c611-5cb7-4300-8dbc-ac2ce4634873","AE398PP","AE398PP","2026-05-12T00:12:03.02-03:00","RICARDONE_INGRESO_CAMIONES","RicIngCamFrente","INGRESO","1","true"
