"id","journey_uid","sequence_number","event_category","event_type","occurred_at","recorded_at","created_at","modified_at","truck_plate","normalized_plate","is_valid_plate","sector_code","device_code","alert_level"
"29218","3bdfc3ba-e238-4f3d-a1b6-fc0ed8c89633","4","physical","sector_entered","2026-05-16T23:59:32.752-03:00","2026-05-16T23:59:32.752-03:00","2026-05-17T03:22:49.911676-03:00","2026-05-17T03:22:49.911676-03:00","LZV033","LZV033","true","RICARDONE_BALANZA","RicB1Ingreso","0"
"29217","759aa424-9494-4278-add3-4d8d93a99688","5","physical","sector_entered","2026-05-16T23:58:43.154-03:00","2026-05-16T23:58:43.154-03:00","2026-05-17T03:22:02.016358-03:00","2026-05-17T03:22:02.016358-03:00","BNL618","BNL618","true","RICARDONE_CALADA","RicCal03","0"
"29216","bd67f419-4aee-4063-8d32-d8595555cc28","5","physical","sector_entered","2026-05-16T23:58:28.354-03:00","2026-05-16T23:58:28.354-03:00","2026-05-17T03:21:44.907971-03:00","2026-05-17T03:21:44.907971-03:00","AG085YQ","AG085YQ","true","RICARDONE_BALANZA","RicB1Ingreso","0"
"29215","275b23b9-22c2-4fe1-b872-631abf2b812d","7","physical","sector_entered","2026-05-16T23:57:18.349-03:00","2026-05-16T23:57:18.349-03:00","2026-05-17T03:20:34.908133-03:00","2026-05-17T03:20:34.908133-03:00","TRJ739","TRJ739","true","RICARDONE_BALANZA","RicB1Ingreso","0"
"29214","b9bc99b9-03b4-4f7b-9510-4a7dd075f787","2","physical","sector_entered","2026-05-16T23:56:43.765-03:00","2026-05-16T23:56:43.765-03:00","2026-05-17T03:20:01.254904-03:00","2026-05-17T03:20:01.254904-03:00","EIN941","EIN941","true","RICARDONE_CALADA","RicCal04","0"
"29213","a8d7f46d-6116-4c79-88c7-53657430f22e","2","physical","sector_entered","2026-05-16T23:56:26.538-03:00","2026-05-16T23:56:26.538-03:00","2026-05-17T03:19:42.748182-03:00","2026-05-17T03:19:42.748182-03:00","AA407NG","AA407NG","true","RICARDONE_CALADA","RicCal02","0"
"29212","b62bcbda-42d1-40c4-b3d8-dfd873efc958","5","physical","sector_entered","2026-05-16T23:56:14.839-03:00","2026-05-16T23:56:14.839-03:00","2026-05-17T03:19:29.427521-03:00","2026-05-17T03:19:29.427521-03:00","AD636IZ","AD636IZ","true","RICARDONE_BALANZA","RicB2Egreso","0"
"29211","e191c920-1e93-4958-80f5-47cb6ec660fb","3","physical","sector_entered","2026-05-16T23:56:03.145-03:00","2026-05-16T23:56:03.145-03:00","2026-05-17T03:19:19.910233-03:00","2026-05-17T03:19:19.910233-03:00","RPH439","RPH439","true","RICARDONE_BALANZA","RicB1Ingreso","0"
"29210","21889325-fd55-436a-b601-2617b69ad92f","6","physical","sector_entered","2026-05-16T23:54:53.877-03:00","2026-05-16T23:54:53.877-03:00","2026-05-17T03:18:09.429034-03:00","2026-05-17T03:18:09.429034-03:00","NSU773","NSU773","true","RICARDONE_BALANZA","RicB2Egreso","0"
"29209","4aae6aab-ffbb-40b1-a588-f4884354f98f","3","physical","sector_entered","2026-05-16T23:53:23.593-03:00","2026-05-16T23:53:23.593-03:00","2026-05-17T03:16:43.102031-03:00","2026-05-17T03:16:43.102031-03:00","GBP207","GBP207","true","RICARDONE_CALADA","RicCal01","0"
