"device_code","sector_code","event_count","alert_count","visible_event_count","lpr_alert_count","lpr_per_100_events","events_last_10_min_of_window","alerts_last_10_min_of_window","last_valid_plate","last_invalid_reading","latest_kind","latest_at","suggested_status","recommended_action"
"RicB1Egreso","RICARDONE_BALANZA","1","4","1","2","200","0","0","OWW814","—","alert","2026-05-17T10:33:44.558807-03:00","Revisar integración","Predominan alertas sin evento asociado; revisar reglas y payload de cámara."
"RicB1Ingreso","RICARDONE_BALANZA","203","123","203","60","30","8","0","PES636","RQA5111","event","2026-05-17T18:58:49.930Z","OK","Cámara operativa dentro de los umbrales iniciales."
"RicB2Egreso","RICARDONE_BALANZA","224","114","224","62","28","2","0","RQR568","ENG60","event","2026-05-17T18:53:59.443Z","OK","Cámara operativa dentro de los umbrales iniciales."
"RicC16Carga1","RICARDONE_CELDA_16","1","3","1","1","100","0","0","—","LTA00","alert","2026-05-17T09:10:00.184078-03:00","Revisar LPR","Muchos eventos tienen patente inválida; calibrar OCR/LPR."
"RicC16Carga2","RICARDONE_CELDA_16","1","3","1","1","100","0","0","—","TF1140","alert","2026-05-17T09:10:01.059065-03:00","Revisar LPR","Muchos eventos tienen patente inválida; calibrar OCR/LPR."
"RicC16Descarga1","RICARDONE_CELDA_16","18","50","18","26","144","0","0","OFW988","CXCY10","alert","2026-05-17T14:44:00.73394-03:00","Revisar zona de captura","Alta carga LPR por evento; revisar iluminación, encuadre y zona de disparo."
"RicC16Descarga2","RICARDONE_CELDA_16","64","188","64","84","131","0","0","HWQ033","CPY28","alert","2026-05-17T14:39:15.151722-03:00","Revisar zona de captura","Alta carga LPR por evento; revisar iluminación, encuadre y zona de disparo."
"RicCal01","RICARDONE_CALADA","0","40","0","8","100","0","0","—","TIG68","alert","2026-05-17T03:16:43.211457-03:00","Revisar integración","Hay alertas sin eventos visibles; revisar integración journey-event/list o asociación por cámara."
"RicCal02","RICARDONE_CALADA","0","37","0","7","100","0","0","—","—","alert","2026-05-17T03:15:42.853607-03:00","Revisar integración","Hay alertas sin eventos visibles; revisar integración journey-event/list o asociación por cámara."
"RicCal03","RICARDONE_CALADA","97","117","97","13","13","1","1","GJU077","RENA011","alert","2026-05-17T15:52:50.048647-03:00","OK","Cámara operativa dentro de los umbrales iniciales."
"RicCal04","RICARDONE_CALADA","86","116","86","11","13","3","1","SQC823","MATL197","event","2026-05-17T18:59:08.360Z","OK","Cámara operativa dentro de los umbrales iniciales."
"RicCal05","RICARDONE_CALADA","96","70","96","7","7","6","0","ULU993","LCJ58","event","2026-05-17T19:00:10.772Z","OK","Cámara operativa dentro de los umbrales iniciales."
"RicCal06","RICARDONE_CALADA","77","61","77","7","9","2","0","ABW677","—","event","2026-05-17T18:57:30.912Z","OK","Cámara operativa dentro de los umbrales iniciales."
"RicEgrCamFrente","RICARDONE_EGRESO_CAMIONES","87","42","87","19","22","2","0","RRR202","SWX86","event","2026-05-17T18:58:29.472Z","OK","Cámara operativa dentro de los umbrales iniciales."
"RicIngCamFrente","RICARDONE_INGRESO_CAMIONES","231","31","231","31","13","5","0","KTQ582","MES7763","event","2026-05-17T18:58:59.450Z","OK","Cámara operativa dentro de los umbrales iniciales."
"RicPreIngEgFr","RICARDONE_PREINGRESO","1","20","1","19","1900","1","1","—","MTN55","alert","2026-05-17T15:55:39.387984-03:00","Revisar zona de captura","Alta carga LPR por evento; revisar iluminación, encuadre y zona de disparo."
"RicPreIngInFr","RICARDONE_PREINGRESO","162","54","162","27","17","5","1","TAC024","AA2003","event","2026-05-17T19:00:04.359Z","OK","Cámara operativa dentro de los umbrales iniciales."
"RicVolcable1","RICARDONE_VOLCABLE","16","27","16","13","81","1","0","AYM824","VT0111","event","2026-05-17T18:52:44.477Z","Revisar zona de captura","Alta carga LPR por evento; revisar iluminación, encuadre y zona de disparo."
"RicVolcable2","RICARDONE_VOLCABLE","10","32","10","14","140","0","1","LTT141","II0141","alert","2026-05-17T15:52:19.472182-03:00","Revisar zona de captura","Alta carga LPR por evento; revisar iluminación, encuadre y zona de disparo."
"SLZIngCamFrente","PUERTO_SAN_LORENZO_INGRESO_CAMIONES","0","120","0","17","100","0","1","—","IML13","alert","2026-05-17T16:00:44.340073-03:00","Revisar integración","Hay alertas sin eventos visibles; revisar integración journey-event/list o asociación por cámara."
"SLZIngCamTrasera","PUERTO_SAN_LORENZO_INGRESO_CAMIONES","0","2","0","2","100","0","0","—","—","alert","2026-05-17T10:18:14.335588-03:00","Revisar integración","Hay alertas sin eventos visibles; revisar integración journey-event/list o asociación por cámara."
