"journey_uid","plate","started_at","ended_at","duration_minutes","preliminary_circuit_code","preliminary_circuit_name","preliminary_circuit_confidence","site_id","event_count","logical_code_sequence_joined","raw_sector_sequence_joined","quality_flags_joined","is_complete_minimal","is_suspicious_long","feeds_operational_analytics","committee_source_journey_uid","committee_segment_index","committee_temporal_bucket","committee_operational_circuit","committee_etl_hint","committee_etl_reason","included_in_clean_layer"
"6ddeeeaa-01eb-47db-9112-db1d8f3d8e6a","NSX320","2026-05-17T00:00:36.356-03:00","2026-05-17T01:48:51.075-03:00","108","DESPACHO_SIN_PUNTO_INSTRUMENTADO","Despacho / descarga sin punto instrumentado","baja","ricardone","2","BALANZA_INGRESO|BALANZA_EGRESO","RICARDONE_BALANZA|RICARDONE_BALANZA","VIAJE_INCOMPLETO|SIN_INGRESO|SIN_EGRESO|JOURNEY_REPETICION_MISMO_SECTOR","false","false","true","6ddeeeaa-01eb-47db-9112-db1d8f3d8e6a","0","normal","REGISTRO_INCOMPLETO_COMITE","review_required","COMMITTEE_REGISTRO_INCOMPLETO","false"
"c4c1301b-b4de-463a-89d6-04d463cf5dd0","OUD963","2026-05-17T00:01:01.292-03:00","2026-05-17T00:14:45.572-03:00","14","DESPACHO_SIN_PUNTO_INSTRUMENTADO","Despacho / descarga sin punto instrumentado","baja","ricardone","2","CALADA|EGRESO","RICARDONE_CALADA|RICARDONE_EGRESO_CAMIONES","VIAJE_INCOMPLETO|SIN_INGRESO|CON_EGRESO|SOLO_EGRESO","false","false","true","c4c1301b-b4de-463a-89d6-04d463cf5dd0","0","normal","REGISTRO_INCOMPLETO_COMITE","review_required","COMMITTEE_REGISTRO_INCOMPLETO","false"
"4d52defd-2ca3-456d-8a72-a0421d071a1b","AH298ZD","2026-05-17T00:01:07.166-03:00","2026-05-17T06:28:12.191-03:00","387","CIRCUITO_CELDA16_DESCARGA","Descarga Celda 16","media","ricardone","6","INGRESO|PREINGRESO|CALADA|BALANZA_INGRESO|CELDA16_DESCARGA|BALANZA_EGRESO","RICARDONE_INGRESO_CAMIONES|RICARDONE_PREINGRESO|RICARDONE_CALADA|RICARDONE_BALANZA|RICARDONE_CELDA_16|RICARDONE_BALANZA","VIAJE_INCOMPLETO|CON_INGRESO|SIN_EGRESO","false","false","true","4d52defd-2ca3-456d-8a72-a0421d071a1b","0","normal","CIRCUITO_CELDA16_DESCARGA","included","COMMITTEE_CIRCUITO_OPERATIVO_CLARO","false"
"53d6e592-7970-43fa-918b-5c830a05827e","LUZ226","2026-05-17T00:01:46.84-03:00","2026-05-17T01:56:16.781-03:00","114","DESPACHO_SIN_PUNTO_INSTRUMENTADO","Despacho / descarga sin punto instrumentado","baja","ricardone","2","BALANZA_INGRESO|BALANZA_EGRESO","RICARDONE_BALANZA|RICARDONE_BALANZA","VIAJE_INCOMPLETO|SIN_INGRESO|SIN_EGRESO|JOURNEY_REPETICION_MISMO_SECTOR","false","false","true","53d6e592-7970-43fa-918b-5c830a05827e","0","normal","REGISTRO_INCOMPLETO_COMITE","review_required","COMMITTEE_REGISTRO_INCOMPLETO","true"
"eab56f11-0edb-4af3-a49e-3baecbf30a00","SEP522","2026-05-17T00:02:01.581-03:00","2026-05-17T00:02:01.581-03:00","0","REGISTRO_INCOMPLETO","Registro incompleto","baja","ricardone","1","BALANZA_EGRESO","RICARDONE_BALANZA","VIAJE_INCOMPLETO|SIN_INGRESO|SIN_EGRESO|JOURNEY_REPETICION_MISMO_SECTOR","false","false","true","eab56f11-0edb-4af3-a49e-3baecbf30a00","0","normal","REGISTRO_INCOMPLETO_COMITE","review_required","COMMITTEE_REGISTRO_INCOMPLETO","false"
"e7f92f68-c7af-4f36-9b36-760d569daf4d","FUV879","2026-05-17T00:02:56.543-03:00","2026-05-17T00:02:56.543-03:00","0","REGISTRO_INCOMPLETO","Registro incompleto","baja","ricardone","1","BALANZA_EGRESO","RICARDONE_BALANZA","VIAJE_INCOMPLETO|SIN_INGRESO|SIN_EGRESO|JOURNEY_REPETICION_MISMO_SECTOR","false","false","true","e7f92f68-c7af-4f36-9b36-760d569daf4d","0","normal","REGISTRO_INCOMPLETO_COMITE","review_required","COMMITTEE_REGISTRO_INCOMPLETO","false"
"86b24dc4-2a9c-430e-a2d9-ebf7464a8d3f","KWZ503","2026-05-17T00:03:04.302-03:00","2026-05-17T02:25:40.084-03:00","143","DESPACHO_SIN_PUNTO_INSTRUMENTADO","Despacho / descarga sin punto instrumentado","baja","ricardone","2","CALADA|BALANZA_EGRESO","RICARDONE_CALADA|RICARDONE_BALANZA","VIAJE_INCOMPLETO|SIN_INGRESO|SIN_EGRESO","false","false","true","86b24dc4-2a9c-430e-a2d9-ebf7464a8d3f","0","normal","REGISTRO_INCOMPLETO_COMITE","review_required","COMMITTEE_REGISTRO_INCOMPLETO","false"
"b44354f3-9f53-48ed-8619-45a7c1335bea","NOC846","2026-05-17T00:06:01.184-03:00","2026-05-17T06:47:50.502-03:00","402","DESPACHO_SIN_PUNTO_INSTRUMENTADO","Despacho / descarga sin punto instrumentado","alta","ricardone","4","INGRESO|CALADA|BALANZA_INGRESO|BALANZA_EGRESO","RICARDONE_INGRESO_CAMIONES|RICARDONE_CALADA|RICARDONE_BALANZA|RICARDONE_BALANZA","VIAJE_INCOMPLETO|CON_INGRESO|SIN_EGRESO","false","false","true","b44354f3-9f53-48ed-8619-45a7c1335bea","0","normal","REGISTRO_INCOMPLETO_COMITE","review_required","COMMITTEE_REGISTRO_INCOMPLETO","false"
"ecd93685-4b61-4ceb-8dae-d82a7fda67ee","MNC172","2026-05-17T00:06:13.161-03:00","2026-05-17T00:06:13.161-03:00","0","REGISTRO_INCOMPLETO","Registro incompleto","baja","ricardone","1","CALADA","RICARDONE_CALADA","VIAJE_INCOMPLETO|SIN_INGRESO|SIN_EGRESO|JOURNEY_REPETICION_MISMO_SECTOR","false","false","true","ecd93685-4b61-4ceb-8dae-d82a7fda67ee","0","normal","REGISTRO_INCOMPLETO_COMITE","review_required","COMMITTEE_REGISTRO_INCOMPLETO","false"
"c5bfd6ff-a480-4501-a7af-ecead8bcf331","GAP009","2026-05-17T00:07:23.36-03:00","2026-05-17T02:39:20.932-03:00","152","DESPACHO_SIN_PUNTO_INSTRUMENTADO","Despacho / descarga sin punto instrumentado","media","ricardone","3","CALADA|BALANZA_INGRESO|BALANZA_EGRESO","RICARDONE_CALADA|RICARDONE_BALANZA|RICARDONE_BALANZA","VIAJE_INCOMPLETO|SIN_INGRESO|SIN_EGRESO","false","false","true","c5bfd6ff-a480-4501-a7af-ecead8bcf331","0","normal","REGISTRO_INCOMPLETO_COMITE","review_required","COMMITTEE_REGISTRO_INCOMPLETO","true"
"4cbb2969-5f25-4f1b-83b7-fbcb81c348c7","FVO568","2026-05-17T00:08:14.243-03:00","2026-05-17T00:08:14.243-03:00","0","REGISTRO_INCOMPLETO","Registro incompleto","baja","ricardone","1","BALANZA_EGRESO","RICARDONE_BALANZA","VIAJE_INCOMPLETO|SIN_INGRESO|SIN_EGRESO|JOURNEY_REPETICION_MISMO_SECTOR","false","false","true","4cbb2969-5f25-4f1b-83b7-fbcb81c348c7","0","normal","REGISTRO_INCOMPLETO_COMITE","review_required","COMMITTEE_REGISTRO_INCOMPLETO","false"
"dc4c3ff2-7e6e-4a00-be7c-77242bff6d48","OCB815","2026-05-17T00:08:50.223-03:00","2026-05-17T00:12:05.857-03:00","3","DESPACHO_SIN_PUNTO_INSTRUMENTADO","Despacho / descarga sin punto instrumentado","baja","ricardone","2","BALANZA_INGRESO|BALANZA_EGRESO","RICARDONE_BALANZA|RICARDONE_BALANZA","VIAJE_INCOMPLETO|SIN_INGRESO|SIN_EGRESO|JOURNEY_REPETICION_MISMO_SECTOR","false","false","true","dc4c3ff2-7e6e-4a00-be7c-77242bff6d48","0","normal","REGISTRO_INCOMPLETO_COMITE","review_required","COMMITTEE_REGISTRO_INCOMPLETO","true"
"759aa424-9494-4278-add3-4d8d93a99688","BNL618","2026-05-17T00:09:26.946-03:00","2026-05-17T02:19:57.584-03:00","131","DESPACHO_SIN_PUNTO_INSTRUMENTADO","Despacho / descarga sin punto instrumentado","baja","ricardone","2","BALANZA_INGRESO|BALANZA_EGRESO","RICARDONE_BALANZA|RICARDONE_BALANZA","VIAJE_INCOMPLETO|SIN_INGRESO|SIN_EGRESO|JOURNEY_REPETICION_MISMO_SECTOR","false","false","true","759aa424-9494-4278-add3-4d8d93a99688","0","normal","REGISTRO_INCOMPLETO_COMITE","review_required","COMMITTEE_REGISTRO_INCOMPLETO","true"
