"event_id","journey_uid","sequence_number","event_category","event_type","occurred_at","recorded_at","truck_plate","normalized_plate","is_valid_plate","sector_code","device_code","alert_level","committee_source_journey_uid","committee_segment_index","committee_temporal_bucket","committee_operational_circuit","committee_flags","related_alert_count","related_alert_ids"
"30822","85100f12-d595-440c-b778-8a5ccf986463","1","physical","sector_entered","2026-05-17T12:33:59.001-03:00","2026-05-17T12:33:59.001-03:00","TAC024","TAC024","true","RICARDONE_INGRESO_CAMIONES","RicIngCamFrente","0","85100f12-d595-440c-b778-8a5ccf986463","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"30834","85100f12-d595-440c-b778-8a5ccf986463","2","physical","sector_entered","2026-05-17T12:36:45.924-03:00","2026-05-17T12:36:45.924-03:00","TAC024","TAC024","true","RICARDONE_PREINGRESO","RicPreIngInFr","0","85100f12-d595-440c-b778-8a5ccf986463","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"30821","475e775b-4947-4ae8-845f-a087edcad4d5","1","physical","sector_entered","2026-05-17T12:33:45.963-03:00","2026-05-17T12:33:45.963-03:00","SXN065","SXN065","true","RICARDONE_INGRESO_CAMIONES","RicIngCamFrente","0","475e775b-4947-4ae8-845f-a087edcad4d5","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"30833","475e775b-4947-4ae8-845f-a087edcad4d5","2","physical","sector_entered","2026-05-17T12:36:03.04-03:00","2026-05-17T12:36:03.04-03:00","SXN065","SXN065","true","RICARDONE_PREINGRESO","RicPreIngInFr","0","475e775b-4947-4ae8-845f-a087edcad4d5","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"30588","201bc5b4-f5de-41de-b94e-d7f32d26682e","5","physical","sector_entered","2026-05-17T10:26:55.439-03:00","2026-05-17T10:26:55.439-03:00","RRR202","RRR202","true","RICARDONE_INGRESO_CAMIONES","RicIngCamFrente","0","201bc5b4-f5de-41de-b94e-d7f32d26682e","0","normal","CIRCUITO_SAN_LORENZO","","0",""
"30591","201bc5b4-f5de-41de-b94e-d7f32d26682e","6","physical","sector_entered","2026-05-17T10:29:35.317-03:00","2026-05-17T10:29:35.317-03:00","RRR202","RRR202","true","RICARDONE_PREINGRESO","RicPreIngInFr","0","201bc5b4-f5de-41de-b94e-d7f32d26682e","0","normal","CIRCUITO_SAN_LORENZO","","0",""
"30768","201bc5b4-f5de-41de-b94e-d7f32d26682e","7","physical","sector_entered","2026-05-17T12:18:41.124-03:00","2026-05-17T12:18:41.124-03:00","RRR202","RRR202","true","RICARDONE_CALADA","RicCal05","0","201bc5b4-f5de-41de-b94e-d7f32d26682e","0","normal","CIRCUITO_SAN_LORENZO","","0",""
"30827","201bc5b4-f5de-41de-b94e-d7f32d26682e","8","physical","sector_entered","2026-05-17T12:35:12.184-03:00","2026-05-17T12:35:12.184-03:00","RRR202","RRR202","true","RICARDONE_EGRESO_CAMIONES","RicEgrCamFrente","0","201bc5b4-f5de-41de-b94e-d7f32d26682e","0","normal","CIRCUITO_SAN_LORENZO","","0",""
"30607","84a00d45-158f-4ebe-844c-b14997d488a1","4","physical","sector_entered","2026-05-17T10:36:36.273-03:00","2026-05-17T10:36:36.273-03:00","AE762FC","AE762FC","true","RICARDONE_INGRESO_CAMIONES","RicIngCamFrente","0","84a00d45-158f-4ebe-844c-b14997d488a1","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"30781","84a00d45-158f-4ebe-844c-b14997d488a1","5","physical","sector_entered","2026-05-17T12:23:17.418-03:00","2026-05-17T12:23:17.418-03:00","AE762FC","AE762FC","true","RICARDONE_CALADA","RicCal06","0","84a00d45-158f-4ebe-844c-b14997d488a1","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"30825","84a00d45-158f-4ebe-844c-b14997d488a1","6","physical","sector_entered","2026-05-17T12:34:29.917-03:00","2026-05-17T12:34:29.917-03:00","AE762FC","AE762FC","true","RICARDONE_BALANZA","RicB1Ingreso","0","84a00d45-158f-4ebe-844c-b14997d488a1","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"30655","ada36b04-5b70-43fd-9737-4ee4e937e588","2","physical","sector_entered","2026-05-17T11:06:14.614-03:00","2026-05-17T11:06:14.614-03:00","ABW677","ABW677","true","RICARDONE_INGRESO_CAMIONES","RicIngCamFrente","0","ada36b04-5b70-43fd-9737-4ee4e937e588","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"30659","ada36b04-5b70-43fd-9737-4ee4e937e588","3","physical","sector_entered","2026-05-17T11:07:56.731-03:00","2026-05-17T11:07:56.731-03:00","ABW677","ABW677","true","RICARDONE_PREINGRESO","RicPreIngInFr","0","ada36b04-5b70-43fd-9737-4ee4e937e588","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"30824","ada36b04-5b70-43fd-9737-4ee4e937e588","4","physical","sector_entered","2026-05-17T12:34:11.596-03:00","2026-05-17T12:34:11.596-03:00","ABW677","ABW677","true","RICARDONE_CALADA","RicCal06","0","ada36b04-5b70-43fd-9737-4ee4e937e588","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"30815","ab3ef096-cf9e-4395-bac6-74bf6bd73219","1","physical","sector_entered","2026-05-17T12:31:41.076-03:00","2026-05-17T12:31:41.076-03:00","HWW057","HWW057","true","RICARDONE_INGRESO_CAMIONES","RicIngCamFrente","0","ab3ef096-cf9e-4395-bac6-74bf6bd73219","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"30823","ab3ef096-cf9e-4395-bac6-74bf6bd73219","2","physical","sector_entered","2026-05-17T12:34:03.675-03:00","2026-05-17T12:34:03.675-03:00","HWW057","HWW057","true","RICARDONE_PREINGRESO","RicPreIngInFr","0","ab3ef096-cf9e-4395-bac6-74bf6bd73219","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"30643","b3244aad-2aff-436d-8a73-387c85f5942d","2","physical","sector_entered","2026-05-17T10:56:34.581-03:00","2026-05-17T10:56:34.581-03:00","GQU261","GQU261","true","RICARDONE_INGRESO_CAMIONES","RicIngCamFrente","0","b3244aad-2aff-436d-8a73-387c85f5942d","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"30651","b3244aad-2aff-436d-8a73-387c85f5942d","3","physical","sector_entered","2026-05-17T10:59:38.864-03:00","2026-05-17T10:59:38.864-03:00","GQU261","GQU261","true","RICARDONE_PREINGRESO","RicPreIngInFr","0","b3244aad-2aff-436d-8a73-387c85f5942d","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"30817","b3244aad-2aff-436d-8a73-387c85f5942d","4","physical","sector_entered","2026-05-17T12:32:20.677-03:00","2026-05-17T12:32:20.677-03:00","GQU261","GQU261","true","RICARDONE_CALADA","RicCal05","0","b3244aad-2aff-436d-8a73-387c85f5942d","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"30590","375bd1d7-4d7c-45ce-9c19-9ba971fd90cf","9","physical","sector_entered","2026-05-17T10:28:26.004-03:00","2026-05-17T10:28:26.004-03:00","OJV576","OJV576","true","RICARDONE_INGRESO_CAMIONES","RicIngCamFrente","0","375bd1d7-4d7c-45ce-9c19-9ba971fd90cf","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"30593","375bd1d7-4d7c-45ce-9c19-9ba971fd90cf","10","physical","sector_entered","2026-05-17T10:30:31.32-03:00","2026-05-17T10:30:31.32-03:00","OJV576","OJV576","true","RICARDONE_PREINGRESO","RicPreIngInFr","0","375bd1d7-4d7c-45ce-9c19-9ba971fd90cf","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"30770","375bd1d7-4d7c-45ce-9c19-9ba971fd90cf","11","physical","sector_entered","2026-05-17T12:20:00.144-03:00","2026-05-17T12:20:00.144-03:00","OJV576","OJV576","true","RICARDONE_CALADA","RicCal06","0","375bd1d7-4d7c-45ce-9c19-9ba971fd90cf","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"30814","375bd1d7-4d7c-45ce-9c19-9ba971fd90cf","12","physical","sector_entered","2026-05-17T12:31:35.349-03:00","2026-05-17T12:31:35.349-03:00","OJV576","OJV576","true","RICARDONE_BALANZA","RicB1Ingreso","0","375bd1d7-4d7c-45ce-9c19-9ba971fd90cf","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"30652","ac15dc6b-3e36-4309-9e68-b8b352a1cc19","5","physical","sector_entered","2026-05-17T11:00:57.558-03:00","2026-05-17T11:00:57.558-03:00","LAL352","LAL352","true","RICARDONE_INGRESO_CAMIONES","RicIngCamFrente","0","ac15dc6b-3e36-4309-9e68-b8b352a1cc19","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"30654","ac15dc6b-3e36-4309-9e68-b8b352a1cc19","6","physical","sector_entered","2026-05-17T11:02:27.995-03:00","2026-05-17T11:02:27.995-03:00","LAL352","LAL352","true","RICARDONE_PREINGRESO","RicPreIngInFr","0","ac15dc6b-3e36-4309-9e68-b8b352a1cc19","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"30813","ac15dc6b-3e36-4309-9e68-b8b352a1cc19","7","physical","sector_entered","2026-05-17T12:31:16.826-03:00","2026-05-17T12:31:16.826-03:00","LAL352","LAL352","true","RICARDONE_CALADA","RicCal04","0","ac15dc6b-3e36-4309-9e68-b8b352a1cc19","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"30642","c27604d0-4645-416c-ac1c-e30a6954de6c","2","physical","sector_entered","2026-05-17T10:56:21.222-03:00","2026-05-17T10:56:21.222-03:00","AA622WB","AA622WB","true","RICARDONE_INGRESO_CAMIONES","RicIngCamFrente","0","c27604d0-4645-416c-ac1c-e30a6954de6c","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"30648","c27604d0-4645-416c-ac1c-e30a6954de6c","3","physical","sector_entered","2026-05-17T10:58:35.581-03:00","2026-05-17T10:58:35.581-03:00","AA622WB","AA622WB","true","RICARDONE_PREINGRESO","RicPreIngInFr","0","c27604d0-4645-416c-ac1c-e30a6954de6c","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"30812","c27604d0-4645-416c-ac1c-e30a6954de6c","4","physical","sector_entered","2026-05-17T12:30:50.593-03:00","2026-05-17T12:30:50.593-03:00","AA622WB","AA622WB","true","RICARDONE_CALADA","RicCal06","0","c27604d0-4645-416c-ac1c-e30a6954de6c","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"29793","2aef9b30-da8a-46cd-879f-f73f74cbe557","1","physical","sector_entered","2026-05-17T05:52:44.397-03:00","2026-05-17T05:52:44.397-03:00","RQR568","RQR568","true","RICARDONE_INGRESO_CAMIONES","RicIngCamFrente","0","2aef9b30-da8a-46cd-879f-f73f74cbe557","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"29804","2aef9b30-da8a-46cd-879f-f73f74cbe557","2","physical","sector_entered","2026-05-17T05:54:06.413-03:00","2026-05-17T05:54:06.413-03:00","RQR568","RQR568","true","RICARDONE_PREINGRESO","RicPreIngInFr","0","2aef9b30-da8a-46cd-879f-f73f74cbe557","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"30174","2aef9b30-da8a-46cd-879f-f73f74cbe557","3","physical","sector_entered","2026-05-17T07:34:51.373-03:00","2026-05-17T07:34:51.373-03:00","RQR568","RQR568","true","RICARDONE_BALANZA","RicB1Ingreso","0","2aef9b30-da8a-46cd-879f-f73f74cbe557","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"30811","2aef9b30-da8a-46cd-879f-f73f74cbe557","4","physical","sector_entered","2026-05-17T12:30:46.159-03:00","2026-05-17T12:30:46.159-03:00","RQR568","RQR568","true","RICARDONE_BALANZA","RicB2Egreso","0","2aef9b30-da8a-46cd-879f-f73f74cbe557","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"29805","0db30e36-e323-4e78-a4c0-c0822bf2c99d","5","physical","sector_entered","2026-05-17T05:54:25.79-03:00","2026-05-17T05:54:25.79-03:00","AYM824","AYM824","true","RICARDONE_VOLCABLE","RicVolcable1","0","0db30e36-e323-4e78-a4c0-c0822bf2c99d","0","normal","CIRCUITO_VOLCABLE_1_2","","0",""
"30130","0db30e36-e323-4e78-a4c0-c0822bf2c99d","6","physical","sector_entered","2026-05-17T07:25:15.468-03:00","2026-05-17T07:25:15.468-03:00","AYM824","AYM824","true","RICARDONE_VOLCABLE","RicVolcable1","0","0db30e36-e323-4e78-a4c0-c0822bf2c99d","0","normal","CIRCUITO_VOLCABLE_1_2","","0",""
"30314","0db30e36-e323-4e78-a4c0-c0822bf2c99d","7","physical","sector_entered","2026-05-17T08:13:29.637-03:00","2026-05-17T08:13:29.637-03:00","AYM824","AYM824","true","RICARDONE_VOLCABLE","RicVolcable1","0","0db30e36-e323-4e78-a4c0-c0822bf2c99d","0","normal","CIRCUITO_VOLCABLE_1_2","","0",""
"30645","0db30e36-e323-4e78-a4c0-c0822bf2c99d","8","physical","sector_entered","2026-05-17T10:57:08.474-03:00","2026-05-17T10:57:08.474-03:00","AYM824","AYM824","true","RICARDONE_BALANZA","RicB2Egreso","0","0db30e36-e323-4e78-a4c0-c0822bf2c99d","0","normal","CIRCUITO_VOLCABLE_1_2","","0",""
"30694","0db30e36-e323-4e78-a4c0-c0822bf2c99d","9","physical","sector_entered","2026-05-17T11:28:40.911-03:00","2026-05-17T11:28:40.911-03:00","AYM824","AYM824","true","RICARDONE_BALANZA","RicB1Ingreso","0","0db30e36-e323-4e78-a4c0-c0822bf2c99d","0","normal","CIRCUITO_VOLCABLE_1_2","","0",""
"30807","0db30e36-e323-4e78-a4c0-c0822bf2c99d","10","physical","sector_entered","2026-05-17T12:29:25.733-03:00","2026-05-17T12:29:25.733-03:00","AYM824","AYM824","true","RICARDONE_VOLCABLE","RicVolcable1","0","0db30e36-e323-4e78-a4c0-c0822bf2c99d","0","normal","CIRCUITO_VOLCABLE_1_2","","0",""
"30587","40be464c-2403-4e21-a001-add60be7a7d4","2","physical","sector_entered","2026-05-17T10:26:21.996-03:00","2026-05-17T10:26:21.996-03:00","OMA837","OMA837","true","RICARDONE_INGRESO_CAMIONES","RicIngCamFrente","0","40be464c-2403-4e21-a001-add60be7a7d4","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
