"raw_id","journey_uid","plate","truck_plate","sector_code","device_code","site","alert_type","type_alt","reason","message","occurred_at","created_at","recorded_at","alert_level","payload_json"
"32713","716180a2-90ed-46fb-83fa-5093fc8cf3d3","","RNB737","PUERTO_SAN_LORENZO_INGRESO_CAMIONES","SLZIngCamFrente","","","","","","","2026-05-17T16:00:44.340073-03:00","","","{}"
"32712","","","","RICARDONE_PREINGRESO","RicPreIngInTr","","","","","","","2026-05-17T16:00:04.344359-03:00","","","{""plate"": ""ERMANN"", ""eventId"": ""RicPreIngInTr-29313"", ""deviceCode"": ""RicPreIngInTr"", ""normalizedPlate"": ""ERMANN""}"
"32711","","","","RICARDONE_INGRESO_CAMIONES","RicIngCamTrasera","","","","","","","2026-05-17T15:59:04.188689-03:00","","","{""plate"": ""VUCA4"", ""eventId"": ""RicIngCamTrasera-29513"", ""deviceCode"": ""RicIngCamTrasera"", ""normalizedPlate"": ""VUCA4""}"
"32710","db6a4179-e132-411f-8f2c-7799844d0840","","GZA009","RICARDONE_EGRESO_CAMIONES","RicEgrCamTraser","","","","","","","2026-05-17T15:58:59.520962-03:00","","","{}"
"32709","db6a4179-e132-411f-8f2c-7799844d0840","","GZA009","RICARDONE_EGRESO_CAMIONES","RicEgrCamTraser","","","","","","","2026-05-17T15:58:59.510914-03:00","","","{}"
"32708","","","","RICARDONE_PREINGRESO","RicPreIngInTr","","","","","","","2026-05-17T15:57:59.344505-03:00","","","{""plate"": ""ERMANN"", ""eventId"": ""RicPreIngInTr-29305"", ""deviceCode"": ""RicPreIngInTr"", ""normalizedPlate"": ""ERMANN""}"
"32707","","","","RICARDONE_INGRESO_CAMIONES","RicIngCamTrasera","","","","","","","2026-05-17T15:57:24.188617-03:00","","","{""plate"": ""805"", ""eventId"": ""RicIngCamTrasera-29505"", ""deviceCode"": ""RicIngCamTrasera"", ""normalizedPlate"": ""805""}"
"32706","","","","RICARDONE_PREINGRESO","RicPreIngInTr","","","","","","","2026-05-17T15:56:54.348536-03:00","","","{""plate"": ""OAJBU1"", ""eventId"": ""RicPreIngInTr-29297"", ""deviceCode"": ""RicPreIngInTr"", ""normalizedPlate"": ""OAJBU1""}"
"32705","39d18893-89a1-4ccf-8c47-86a720077636","","AE526BK","RICARDONE_PREINGRESO","RicPreIngInFr","","","","","","","2026-05-17T15:56:19.447749-03:00","","","{}"
"32704","39d18893-89a1-4ccf-8c47-86a720077636","","AE526BK","RICARDONE_PREINGRESO","RicPreIngInFr","","","","","","","2026-05-17T15:56:19.436627-03:00","","","{}"
"32703","d3414c20-4999-42f1-a439-8587710f7d62","","MTN55","RICARDONE_PREINGRESO","RicPreIngEgFr","","","","","","","2026-05-17T15:55:39.399552-03:00","","","{}"
"32702","d3414c20-4999-42f1-a439-8587710f7d62","","MTN55","RICARDONE_PREINGRESO","RicPreIngEgFr","","","","","","","2026-05-17T15:55:39.387984-03:00","","","{}"
"32701","","","","RICARDONE_PREINGRESO","RicPreIngInTr","","","","","","","2026-05-17T15:55:39.346738-03:00","","","{""plate"": ""X0S5"", ""eventId"": ""RicPreIngInTr-29289"", ""deviceCode"": ""RicPreIngInTr"", ""normalizedPlate"": ""X0S5""}"
"32700","","","","RICARDONE_INGRESO_CAMIONES","RicIngCamTrasera","","","","","","","2026-05-17T15:55:04.18642-03:00","","","{""plate"": ""HERMANN"", ""eventId"": ""RicIngCamTrasera-29481"", ""deviceCode"": ""RicIngCamTrasera"", ""normalizedPlate"": ""HERMANN""}"
"32699","","","","RICARDONE_INGRESO_CAMIONES","RicIngCamTrasera","","","","","","","2026-05-17T15:54:34.183954-03:00","","","{""plate"": ""OMBU"", ""eventId"": ""RicIngCamTrasera-29473"", ""deviceCode"": ""RicIngCamTrasera"", ""normalizedPlate"": ""OMBU""}"
"32698","08687207-9fef-47f4-b7e4-e412349537fa","","EIW010","RICARDONE_PREINGRESO","RicPreIngInTr","","","","","","","2026-05-17T15:52:59.428222-03:00","","","{}"
"32697","08687207-9fef-47f4-b7e4-e412349537fa","","EIW010","RICARDONE_PREINGRESO","RicPreIngInTr","","","","","","","2026-05-17T15:52:59.421288-03:00","","","{}"
"32696","f9154d30-ffae-415c-927f-d9a5be24c56a","","GJU077","RICARDONE_CALADA","RicCal03","","","","","","","2026-05-17T15:52:50.048647-03:00","","","{}"
"32695","","","","RICARDONE_VOLCABLE","RicVolcable2","","","","","","","2026-05-17T15:52:19.472182-03:00","","","{""plate"": ""L24"", ""eventId"": ""RicVolcable2-1585"", ""deviceCode"": ""RicVolcable2"", ""normalizedPlate"": ""L24""}"
"32694","34f9a257-4b4c-49d2-b010-4afcf185c255","","AD019PL","RICARDONE_PREINGRESO","RicPreIngInTr","","","","","","","2026-05-17T15:52:14.404593-03:00","","","{}"
"32693","34f9a257-4b4c-49d2-b010-4afcf185c255","","AD019PL","RICARDONE_PREINGRESO","RicPreIngInTr","","","","","","","2026-05-17T15:52:14.39683-03:00","","","{}"
"32692","61c32667-d0ce-412e-be74-7cf723b681fb","","MPN858","RICARDONE_INGRESO_CAMIONES","RicIngCamFrente","","","","","","","2026-05-17T15:52:09.444192-03:00","","","{}"
"32691","32027556-bd98-4586-b7e0-54a42cff3e2d","","HJI453","RICARDONE_CALADA","RicCal04","","","","","","","2026-05-17T15:51:18.611891-03:00","","","{}"
"32690","","","","RICARDONE_EGRESO_CAMIONES","RicEgrCamTraser","","","","","","","2026-05-17T15:50:39.439016-03:00","","","{""plate"": ""3Z7040"", ""eventId"": ""RicEgrCamTraser-13689"", ""deviceCode"": ""RicEgrCamTraser"", ""normalizedPlate"": ""3Z7040""}"
"32689","c9e42409-b82a-46b5-b75c-1d0a3ffd74ec","","PJN296","RICARDONE_CALADA","RicCal06","","","","","","","2026-05-17T15:49:16.078485-03:00","","","{}"
"32688","e8e9b4af-967a-47f2-b6a4-33546241ceba","","AB132NQ","RICARDONE_CALADA","RicCal03","","","","","","","2026-05-17T15:48:30.186338-03:00","","","{}"
"32687","","","","RICARDONE_INGRESO_CAMIONES","RicIngCamTrasera","","","","","","","2026-05-17T15:47:49.187505-03:00","","","{""plate"": ""AF026H026HW"", ""eventId"": ""RicIngCamTrasera-29441"", ""deviceCode"": ""RicIngCamTrasera"", ""normalizedPlate"": ""AF026H026HW""}"
"32686","2eb40c2a-2d61-4898-8b93-871666d01da9","","PES636","RICARDONE_CALADA","RicCal05","","","","","","","2026-05-17T15:47:46.140803-03:00","","","{}"
"32685","","","","RICARDONE_PREINGRESO","RicPreIngInTr","","","","","","","2026-05-17T15:46:44.344803-03:00","","","{""plate"": ""OLAYBRU"", ""eventId"": ""RicPreIngInTr-29249"", ""deviceCode"": ""RicPreIngInTr"", ""normalizedPlate"": ""OLAYBRU""}"
"32684","","","","RICARDONE_CALADA","RicCal04","","","","","","","2026-05-17T15:46:38.695494-03:00","","","{""plate"": ""IVJ6ZK"", ""eventId"": ""RicCal04-5385"", ""deviceCode"": ""RicCal04"", ""normalizedPlate"": ""IVJ6ZK""}"
"32683","","","","RICARDONE_PREINGRESO","RicPreIngInTr","","","","","","","2026-05-17T15:46:09.347114-03:00","","","{""plate"": ""O41BU"", ""eventId"": ""RicPreIngInTr-29241"", ""deviceCode"": ""RicPreIngInTr"", ""normalizedPlate"": ""O41BU""}"
"32682","","","","RICARDONE_PREINGRESO","RicPreIngInTr","","","","","","","2026-05-17T15:45:29.344751-03:00","","","{""plate"": ""EDMAM"", ""eventId"": ""RicPreIngInTr-29233"", ""deviceCode"": ""RicPreIngInTr"", ""normalizedPlate"": ""EDMAM""}"
"32681","e1d11f82-4a57-4aad-822d-496e7ca6fd13","","AH532JN","RICARDONE_CALADA","RicCal05","","","","","","","2026-05-17T15:45:06.162575-03:00","","","{}"
"32680","","","","RICARDONE_INGRESO_CAMIONES","RicIngCamTrasera","","","","","","","2026-05-17T15:44:34.186292-03:00","","","{""plate"": ""1R5S"", ""eventId"": ""RicIngCamTrasera-29425"", ""deviceCode"": ""RicIngCamTrasera"", ""normalizedPlate"": ""1R5S""}"
"32679","740fcb51-38dc-4c82-aebe-b2ab3ab4497b","","FCE913","RICARDONE_INGRESO_CAMIONES","RicIngCamFrente","","","","","","","2026-05-17T15:44:29.405306-03:00","","","{}"
"32678","9005db46-2c6e-48b9-ad6b-60e142571c51","","MPN147","RICARDONE_CALADA","RicCal03","","","","","","","2026-05-17T15:44:20.264076-03:00","","","{}"
"32677","","","","RICARDONE_INGRESO_CAMIONES","RicIngCamTrasera","","","","","","","2026-05-17T15:44:09.184119-03:00","","","{""plate"": ""OMBU"", ""eventId"": ""RicIngCamTrasera-29417"", ""deviceCode"": ""RicIngCamTrasera"", ""normalizedPlate"": ""OMBU""}"
"32676","a2ed661d-f1c3-433c-b56c-19cfc067d6d9","","AG477SM","RICARDONE_CALADA","RicCal04","","","","","","","2026-05-17T15:42:03.847203-03:00","","","{}"
"32675","","","","RICARDONE_INGRESO_CAMIONES","RicIngCamTrasera","","","","","","","2026-05-17T15:41:49.17766-03:00","","","{""plate"": ""CO333"", ""eventId"": ""RicIngCamTrasera-29409"", ""deviceCode"": ""RicIngCamTrasera"", ""normalizedPlate"": ""CO333""}"
"32674","6c927eec-6da9-4249-a151-3797cf3c1deb","","HOK792","RICARDONE_CALADA","RicCal03","","","","","","","2026-05-17T15:40:50.366647-03:00","","","{}"
