"id","journey_uid","sequence_number","event_category","event_type","occurred_at","recorded_at","created_at","modified_at","truck_plate","normalized_plate","is_valid_plate","sector_code","device_code","alert_level"
"30835","34573589-5224-4051-82fb-a77c7aa675f4","3","physical","sector_entered","2026-05-17T12:36:50.911-03:00","2026-05-17T12:36:50.911-03:00","2026-05-17T16:00:10.77216-03:00","2026-05-17T16:00:10.77216-03:00","ULU993","ULU993","true","RICARDONE_CALADA","RicCal05","0"
"30834","85100f12-d595-440c-b778-8a5ccf986463","2","physical","sector_entered","2026-05-17T12:36:45.924-03:00","2026-05-17T12:36:45.924-03:00","2026-05-17T16:00:04.359566-03:00","2026-05-17T16:00:04.359566-03:00","TAC024","TAC024","true","RICARDONE_PREINGRESO","RicPreIngInFr","0"
"30833","475e775b-4947-4ae8-845f-a087edcad4d5","2","physical","sector_entered","2026-05-17T12:36:03.04-03:00","2026-05-17T12:36:03.04-03:00","2026-05-17T15:59:19.358462-03:00","2026-05-17T15:59:19.358462-03:00","SXN065","SXN065","true","RICARDONE_PREINGRESO","RicPreIngInFr","0"
"30832","34573589-5224-4051-82fb-a77c7aa675f4","2","physical","sector_entered","2026-05-17T12:35:55.1-03:00","2026-05-17T12:35:55.1-03:00","2026-05-17T15:59:15.801304-03:00","2026-05-17T15:59:15.801304-03:00","ULU993","ULU993","true","RICARDONE_CALADA","RicCal05","0"
"30831","6a36861c-b9eb-474a-8e9a-81f8fde17cae","2","physical","sector_entered","2026-05-17T12:35:50.592-03:00","2026-05-17T12:35:50.592-03:00","2026-05-17T15:59:08.360035-03:00","2026-05-17T15:59:08.360035-03:00","SQC823","SQC823","true","RICARDONE_CALADA","RicCal04","0"
"30830","db6a4179-e132-411f-8f2c-7799844d0840","1","physical","sector_entered","2026-05-17T12:35:45.112-03:00","2026-05-17T12:35:45.112-03:00","2026-05-17T15:58:59.503861-03:00","2026-05-17T15:58:59.503861-03:00","GZA009","GZA009","true","RICARDONE_EGRESO_CAMIONES","RicEgrCamTraser","0"
"30829","4362c0cb-0343-4525-a2d4-3dc091f7d63d","1","physical","sector_entered","2026-05-17T12:35:41.807-03:00","2026-05-17T12:35:41.807-03:00","2026-05-17T15:58:59.450248-03:00","2026-05-17T15:58:59.450248-03:00","KTQ582","KTQ582","true","RICARDONE_INGRESO_CAMIONES","RicIngCamFrente","0"
"30828","2eb40c2a-2d61-4898-8b93-871666d01da9","4","physical","sector_entered","2026-05-17T12:35:32.083-03:00","2026-05-17T12:35:32.083-03:00","2026-05-17T15:58:49.930651-03:00","2026-05-17T15:58:49.930651-03:00","PES636","PES636","true","RICARDONE_BALANZA","RicB1Ingreso","0"
"30827","201bc5b4-f5de-41de-b94e-d7f32d26682e","8","physical","sector_entered","2026-05-17T12:35:12.184-03:00","2026-05-17T12:35:12.184-03:00","2026-05-17T15:58:29.472403-03:00","2026-05-17T15:58:29.472403-03:00","RRR202","RRR202","true","RICARDONE_EGRESO_CAMIONES","RicEgrCamFrente","0"
"30825","84a00d45-158f-4ebe-844c-b14997d488a1","6","physical","sector_entered","2026-05-17T12:34:29.917-03:00","2026-05-17T12:34:29.917-03:00","2026-05-17T15:57:49.92852-03:00","2026-05-17T15:57:49.92852-03:00","AE762FC","AE762FC","true","RICARDONE_BALANZA","RicB1Ingreso","0"
"30824","ada36b04-5b70-43fd-9737-4ee4e937e588","4","physical","sector_entered","2026-05-17T12:34:11.596-03:00","2026-05-17T12:34:11.596-03:00","2026-05-17T15:57:30.912155-03:00","2026-05-17T15:57:30.912155-03:00","ABW677","ABW677","true","RICARDONE_CALADA","RicCal06","0"
"30823","ab3ef096-cf9e-4395-bac6-74bf6bd73219","2","physical","sector_entered","2026-05-17T12:34:03.675-03:00","2026-05-17T12:34:03.675-03:00","2026-05-17T15:57:19.355157-03:00","2026-05-17T15:57:19.355157-03:00","HWW057","HWW057","true","RICARDONE_PREINGRESO","RicPreIngInFr","0"
"30822","85100f12-d595-440c-b778-8a5ccf986463","1","physical","sector_entered","2026-05-17T12:33:59.001-03:00","2026-05-17T12:33:59.001-03:00","2026-05-17T15:57:14.448735-03:00","2026-05-17T15:57:14.448735-03:00","TAC024","TAC024","true","RICARDONE_INGRESO_CAMIONES","RicIngCamFrente","0"
"30821","475e775b-4947-4ae8-845f-a087edcad4d5","1","physical","sector_entered","2026-05-17T12:33:45.963-03:00","2026-05-17T12:33:45.963-03:00","2026-05-17T15:57:04.453608-03:00","2026-05-17T15:57:04.453608-03:00","SXN065","SXN065","true","RICARDONE_INGRESO_CAMIONES","RicIngCamFrente","0"
"30820","9005db46-2c6e-48b9-ad6b-60e142571c51","5","physical","sector_entered","2026-05-17T12:33:30.314-03:00","2026-05-17T12:33:30.314-03:00","2026-05-17T15:56:49.926008-03:00","2026-05-17T15:56:49.926008-03:00","MPN147","MPN147","true","RICARDONE_BALANZA","RicB1Ingreso","0"
"30819","39d18893-89a1-4ccf-8c47-86a720077636","1","physical","sector_entered","2026-05-17T12:33:00.471-03:00","2026-05-17T12:33:00.471-03:00","2026-05-17T15:56:19.426778-03:00","2026-05-17T15:56:19.426778-03:00","AE526BK","AE526BK","true","RICARDONE_PREINGRESO","RicPreIngInFr","0"
"30818","e1d11f82-4a57-4aad-822d-496e7ca6fd13","3","physical","sector_entered","2026-05-17T12:32:30.874-03:00","2026-05-17T12:32:30.874-03:00","2026-05-17T15:55:49.929831-03:00","2026-05-17T15:55:49.929831-03:00","AH532JN","AH532JN","true","RICARDONE_BALANZA","RicB1Ingreso","0"
"30816","d3414c20-4999-42f1-a439-8587710f7d62","1","physical","sector_entered","2026-05-17T12:32:24.272-03:00","2026-05-17T12:32:24.272-03:00","2026-05-17T15:55:39.380792-03:00","2026-05-17T15:55:39.380792-03:00","MTN55","MTN55","false","RICARDONE_PREINGRESO","RicPreIngEgFr","0"
"30817","b3244aad-2aff-436d-8a73-387c85f5942d","4","physical","sector_entered","2026-05-17T12:32:20.677-03:00","2026-05-17T12:32:20.677-03:00","2026-05-17T15:55:40.898963-03:00","2026-05-17T15:55:40.898963-03:00","GQU261","GQU261","true","RICARDONE_CALADA","RicCal05","0"
"30815","ab3ef096-cf9e-4395-bac6-74bf6bd73219","1","physical","sector_entered","2026-05-17T12:31:41.076-03:00","2026-05-17T12:31:41.076-03:00","2026-05-17T15:54:59.472662-03:00","2026-05-17T15:54:59.472662-03:00","HWW057","HWW057","true","RICARDONE_INGRESO_CAMIONES","RicIngCamFrente","0"
"30814","375bd1d7-4d7c-45ce-9c19-9ba971fd90cf","12","physical","sector_entered","2026-05-17T12:31:35.349-03:00","2026-05-17T12:31:35.349-03:00","2026-05-17T15:54:54.931267-03:00","2026-05-17T15:54:54.931267-03:00","OJV576","OJV576","true","RICARDONE_BALANZA","RicB1Ingreso","0"
"30813","ac15dc6b-3e36-4309-9e68-b8b352a1cc19","7","physical","sector_entered","2026-05-17T12:31:16.826-03:00","2026-05-17T12:31:16.826-03:00","2026-05-17T15:54:33.483736-03:00","2026-05-17T15:54:33.483736-03:00","LAL352","LAL352","true","RICARDONE_CALADA","RicCal04","0"
"30812","c27604d0-4645-416c-ac1c-e30a6954de6c","4","physical","sector_entered","2026-05-17T12:30:50.593-03:00","2026-05-17T12:30:50.593-03:00","2026-05-17T15:54:10.9255-03:00","2026-05-17T15:54:10.9255-03:00","AA622WB","AA622WB","true","RICARDONE_CALADA","RicCal06","0"
"30811","2aef9b30-da8a-46cd-879f-f73f74cbe557","4","physical","sector_entered","2026-05-17T12:30:46.159-03:00","2026-05-17T12:30:46.159-03:00","2026-05-17T15:53:59.443037-03:00","2026-05-17T15:53:59.443037-03:00","RQR568","RQR568","true","RICARDONE_BALANZA","RicB2Egreso","0"
"30810","6c927eec-6da9-4249-a151-3797cf3c1deb","4","physical","sector_entered","2026-05-17T12:30:16.865-03:00","2026-05-17T12:30:16.865-03:00","2026-05-17T15:53:34.931639-03:00","2026-05-17T15:53:34.931639-03:00","HOK792","HOK792","true","RICARDONE_BALANZA","RicB1Ingreso","0"
"30809","08687207-9fef-47f4-b7e4-e412349537fa","1","physical","sector_entered","2026-05-17T12:29:42.72-03:00","2026-05-17T12:29:42.72-03:00","2026-05-17T15:52:59.412114-03:00","2026-05-17T15:52:59.412114-03:00","EIW010","EIW010","true","RICARDONE_PREINGRESO","RicPreIngInTr","0"
