alertId,alertCode,severity,status,createdAt,truckPlate,sectorCode,deviceCode,journeyUid,matchedEventId,matchedJourneyUid,matchedCircuitCode,matchedBucket,matchStrategy,matchConfidence
155718,INVALID_ROUTE,2,open,2026-06-22T23:59:53.111696-03:00,AIC25,2-S9,RicVolcable2,fe26c7f3-6f73-485b-8841-a67b2987cfbd,191896,fe26c7f3-6f73-485b-8841-a67b2987cfbd,CIRCUITO_VOLCABLE_1_2,INCOMPLETO,journey_uid_exact,high
155717,INVALID_JOURNEY_START,2,open,2026-06-22T23:59:53.104041-03:00,AIC25,2-S9,RicVolcable2,fe26c7f3-6f73-485b-8841-a67b2987cfbd,191896,fe26c7f3-6f73-485b-8841-a67b2987cfbd,CIRCUITO_VOLCABLE_1_2,INCOMPLETO,journey_uid_exact,high
155708,INVALID_JOURNEY_START,2,open,2026-06-22T23:55:30.877489-03:00,NKZ992,1-S0,SLZIngCamFrente,d87c8c34-b292-45cf-8c51-09f1b28f2095,,,,,none,none
155702,UNMATCHED_TAIL_OBSERVATION,1,open,2026-06-22T23:52:49.03865-03:00,AB114CN,2-S4,RicB2Egreso,,,,,,none,none
155695,INVALID_ROUTE,2,open,2026-06-22T23:51:48.245545-03:00,AF674YN,2-S2,RicCal05,52024236-357e-4641-ad6b-34882b9bf309,191865,52024236-357e-4641-ad6b-34882b9bf309,REGISTRO_INCOMPLETO,INCOMPLETO,journey_uid_exact,high
155694,INVALID_JOURNEY_START,2,open,2026-06-22T23:51:48.235818-03:00,AF674YN,2-S2,RicCal05,52024236-357e-4641-ad6b-34882b9bf309,191865,52024236-357e-4641-ad6b-34882b9bf309,REGISTRO_INCOMPLETO,INCOMPLETO,journey_uid_exact,high
155692,INVALID_ROUTE,2,open,2026-06-22T23:50:47.716028-03:00,OPQ068,1-S7,SLZSalidaC1Fte,9fa5c16f-f1b7-43ae-85d8-e32a2d4c2ca8,191843,9fa5c16f-f1b7-43ae-85d8-e32a2d4c2ca8,CIRCUITO_SAN_LORENZO,ANOMALO,journey_uid_exact,high
155688,INVALID_ROUTE,2,open,2026-06-22T23:49:45.522285-03:00,IID806,2-S1,RicPreIngInFr,fbd7d7db-85a3-4349-b46c-f3ae3f9f378e,191834,fbd7d7db-85a3-4349-b46c-f3ae3f9f378e,REGISTRO_INCOMPLETO,INCOMPLETO,journey_uid_exact,high
155687,INVALID_JOURNEY_START,2,open,2026-06-22T23:49:45.51741-03:00,IID806,2-S1,RicPreIngInFr,fbd7d7db-85a3-4349-b46c-f3ae3f9f378e,191834,fbd7d7db-85a3-4349-b46c-f3ae3f9f378e,REGISTRO_INCOMPLETO,INCOMPLETO,journey_uid_exact,high
155684,INVALID_ROUTE,2,open,2026-06-22T23:49:09.834257-03:00,BEW8240,2-S2,RicCal06,09fcdec6-87c7-4534-8565-f8dea988a7ce,191833,09fcdec6-87c7-4534-8565-f8dea988a7ce,REGISTRO_INCOMPLETO,INCOMPLETO,journey_uid_exact,high
