date,week,day_name,time_bucket,day_night,deviceCode,sectorCode,camera_type,event_count,alert_count_total,alert_lpr_count,lpr_alerts_per_100_events,first_event_at,last_event_at,first_alert_at,last_alert_at,status
2026-06-22,2026W26,lunes,20-23,noche,SLZSalidaC1Fte,1-S7,front,75,40,7,9.333,2026-06-22T20:00:40.022-03:00,2026-06-22T23:59:56.377-03:00,2026-06-22T20:15:02.464215-03:00,2026-06-22T23:59:56.377-03:00,Bajo
2026-06-22,2026W26,lunes,20-23,noche,RicCal06,2-S2,front,60,23,8,13.333,2026-06-22T20:01:40.854-03:00,2026-06-22T23:57:30.911-03:00,2026-06-22T20:02:35.009928-03:00,2026-06-22T23:59:50.449852-03:00,Medio
2026-06-22,2026W26,lunes,20-23,noche,SLZBalIngFte,1-S1,front,61,45,22,36.066,2026-06-22T21:15:33.878-03:00,2026-06-22T23:57:05.922-03:00,2026-06-22T20:00:04.035531-03:00,2026-06-22T23:57:05.922-03:00,Alto
2026-06-22,2026W26,lunes,20-23,noche,RicIngCamFrente,2-S0,front,81,21,21,25.926,2026-06-22T20:02:29.592-03:00,2026-06-22T23:56:46.971-03:00,2026-06-22T20:07:50.414818-03:00,2026-06-22T23:56:46.971-03:00,Medio
2026-06-22,2026W26,lunes,20-23,noche,SLZIngCamFrente,1-S0,front,103,41,15,14.563,2026-06-22T20:17:07.134-03:00,2026-06-22T23:53:47.638-03:00,2026-06-22T20:09:00.885896-03:00,2026-06-22T23:59:10.71081-03:00,Medio
2026-06-22,2026W26,lunes,20-23,noche,RicB1Ingreso,2-S4,front,7,4,0,0,2026-06-22T20:02:46.265-03:00,2026-06-22T23:52:26.967-03:00,2026-06-22T23:27:26.870773-03:00,2026-06-22T23:52:26.967-03:00,Bajo
2026-06-22,2026W26,lunes,20-23,noche,RicVolcable2,2-S9,front,5,5,3,60,2026-06-22T20:21:12.332-03:00,2026-06-22T23:51:19.732-03:00,2026-06-22T20:15:27.925139-03:00,2026-06-22T23:59:53.111696-03:00,Alto
2026-06-22,2026W26,lunes,20-23,noche,RicPreIngInFr,2-S1,front,88,51,12,13.636,2026-06-22T20:00:11.068-03:00,2026-06-22T23:51:00.582-03:00,2026-06-22T20:22:55.422634-03:00,2026-06-22T23:52:35.41276-03:00,Medio
2026-06-22,2026W26,lunes,20-23,noche,RicCal05,2-S2,front,79,25,6,7.595,2026-06-22T20:03:26.437-03:00,2026-06-22T23:46:35.884-03:00,2026-06-22T20:14:57.976461-03:00,2026-06-22T23:51:48.245545-03:00,Bajo
2026-06-22,2026W26,lunes,20-23,noche,RicPreIngEgFr,2-S1,front,2,13,11,550,2026-06-22T20:44:46.685-03:00,2026-06-22T23:45:59.962-03:00,2026-06-22T20:25:01.518905-03:00,2026-06-22T23:45:59.962-03:00,Crítico
2026-06-22,2026W26,lunes,20-23,noche,SLZBalSC1Fte,1-S5,front,2,2,1,50,2026-06-22T22:12:26.122-03:00,2026-06-22T23:45:54.648-03:00,2026-06-22T20:22:11.876521-03:00,2026-06-22T23:45:54.648-03:00,Alto
2026-06-22,2026W26,lunes,20-23,noche,RicEgrCamFrente,2-S3,front,94,41,18,19.149,2026-06-22T20:07:07.036-03:00,2026-06-22T23:41:53.153-03:00,2026-06-22T20:00:12.297345-03:00,2026-06-22T23:59:36.910138-03:00,Medio
2026-06-22,2026W26,lunes,20-23,noche,SLZSalidaC2Fte,1-S7,front,1,1,1,100,2026-06-22T23:40:40.406-03:00,2026-06-22T23:40:40.406-03:00,2026-06-22T23:05:48.283063-03:00,2026-06-22T23:40:40.406-03:00,Alto
2026-06-22,2026W26,lunes,20-23,noche,RicVolcable1,2-S9,front,7,4,4,57.143,2026-06-22T20:05:25.81-03:00,2026-06-22T23:02:04.226-03:00,2026-06-22T20:53:34.76209-03:00,2026-06-22T23:56:14.135446-03:00,Alto
2026-06-22,2026W26,lunes,20-23,noche,RenCargFte,1-S8,front,7,0,0,0,2026-06-22T22:59:29.564-03:00,2026-06-22T22:59:47.645-03:00,2026-06-22T22:59:47.645-03:00,2026-06-22T22:59:47.645-03:00,Bajo
2026-06-22,2026W26,lunes,20-23,noche,RenDescFte,1-S8,front,2,9,1,50,2026-06-22T22:36:57.353-03:00,2026-06-22T22:36:59.994-03:00,2026-06-22T21:59:51.481309-03:00,2026-06-22T22:53:29.077442-03:00,Alto
2026-06-22,2026W26,lunes,16-19,noche,RicCal05,2-S2,front,2,0,0,0,2026-06-22T19:56:54.484-03:00,2026-06-22T19:59:56.248-03:00,2026-06-22T19:59:56.248-03:00,2026-06-22T19:59:56.248-03:00,Bajo
2026-06-22,2026W26,lunes,16-19,noche,RicCal06,2-S2,front,2,5,0,0,2026-06-22T19:53:18.802-03:00,2026-06-22T19:59:01.19-03:00,2026-06-22T19:37:00.468633-03:00,2026-06-22T19:59:01.19-03:00,Bajo
2026-06-22,2026W26,lunes,16-19,noche,RicVolcable2,2-S9,front,1,0,0,0,2026-06-22T19:58:50.815-03:00,2026-06-22T19:58:50.815-03:00,2026-06-22T19:58:50.815-03:00,2026-06-22T19:58:50.815-03:00,Bajo
2026-06-22,2026W26,lunes,16-19,noche,RicIngCamFrente,2-S0,front,21,4,4,19.048,2026-06-22T19:04:04.346-03:00,2026-06-22T19:56:19.808-03:00,2026-06-22T19:09:50.446308-03:00,2026-06-22T19:56:19.808-03:00,Medio
2026-06-22,2026W26,lunes,16-19,noche,RicPreIngInFr,2-S1,front,21,22,2,9.524,2026-06-22T19:01:05.662-03:00,2026-06-22T19:56:04.494-03:00,2026-06-22T19:14:25.585287-03:00,2026-06-22T19:56:04.494-03:00,Bajo
2026-06-22,2026W26,lunes,16-19,noche,RicB1Ingreso,2-S4,front,1,0,0,0,2026-06-22T19:55:28.481-03:00,2026-06-22T19:55:28.481-03:00,2026-06-22T19:55:28.481-03:00,2026-06-22T19:55:28.481-03:00,Bajo
2026-06-22,2026W26,lunes,16-19,noche,SLZBalIngFte,1-S1,front,19,10,4,21.053,2026-06-22T19:16:58.544-03:00,2026-06-22T19:53:11.789-03:00,2026-06-22T19:20:40.191696-03:00,2026-06-22T19:55:24.431972-03:00,Medio
2026-06-22,2026W26,lunes,16-19,noche,SLZSalidaC1Fte,1-S7,front,11,3,0,0,2026-06-22T19:04:19.27-03:00,2026-06-22T19:50:03.608-03:00,2026-06-22T19:28:22.21778-03:00,2026-06-22T19:50:03.608-03:00,Bajo
2026-06-22,2026W26,lunes,16-19,noche,RenDescFte,1-S8,front,1,0,0,0,2026-06-22T19:28:45.821-03:00,2026-06-22T19:28:45.821-03:00,2026-06-22T19:28:45.821-03:00,2026-06-22T19:28:45.821-03:00,Bajo
2026-06-22,2026W26,lunes,16-19,noche,SLZIngCamFrente,1-S0,front,7,2,0,0,2026-06-22T19:00:13.266-03:00,2026-06-22T19:22:43.184-03:00,2026-06-22T19:22:43.184-03:00,2026-06-22T19:58:55.944842-03:00,Bajo
2026-06-22,2026W26,lunes,16-19,noche,RicVolcable1,2-S9,front,1,0,0,0,2026-06-22T19:10:59.68-03:00,2026-06-22T19:10:59.68-03:00,2026-06-22T19:10:59.68-03:00,2026-06-22T19:10:59.68-03:00,Bajo
2026-06-22,2026W26,lunes,16-19,dia,RicPreIngInFr,2-S1,front,69,13,3,4.348,2026-06-22T16:00:43.588-03:00,2026-06-22T18:59:56.535-03:00,2026-06-22T16:37:55.378192-03:00,2026-06-22T18:59:56.535-03:00,Bajo
2026-06-22,2026W26,lunes,16-19,dia,RicIngCamFrente,2-S0,front,65,4,4,6.154,2026-06-22T16:01:38.006-03:00,2026-06-22T18:59:14.491-03:00,2026-06-22T18:05:10.447977-03:00,2026-06-22T18:59:14.491-03:00,Bajo
2026-06-22,2026W26,lunes,16-19,dia,SLZIngCamFrente,1-S0,front,63,15,0,0,2026-06-22T16:32:45.95-03:00,2026-06-22T18:59:09.339-03:00,2026-06-22T16:28:10.932091-03:00,2026-06-22T18:59:09.339-03:00,Bajo
