journey_id,plate,executive_circuit_code,circuit_name,executive_status,valid_detail,start_time,end_time,total_duration_min,ric_duration_min,bridge_duration_min,sl_duration_min,leg_plant,leg_type,event_count
be107fa1-783c-4624-aee1-7352ac36b03c,,R7,Ricardone → San Lorenzo,VALIDO,,2026-06-22T03:47:05.653034-03:00,2026-06-22T07:24:21.207346-03:00,217.26,112.19,7.40,97.67,MIXTO,R7_MIXTO,6
ae8a7756-bbff-45b6-ba44-62a05553969c,,R7,Ricardone → San Lorenzo,VALIDO,DEDUCIDO,2026-06-22T03:49:20.725729-03:00,2026-06-22T05:44:27.12293-03:00,115.11,115.11,0.00,0.00,MIXTO,R7_MIXTO,3
059e04cc-5e1d-40d8-bf2d-34535569a62e,,R7,Ricardone → San Lorenzo,VALIDO,,2026-06-22T04:30:50.691731-03:00,2026-06-22T08:24:56.285539-03:00,234.09,75.19,9.73,149.17,MIXTO,R7_MIXTO,6
4b18e6ec-269d-4e0f-af37-7bbe3c94a235__cycle_1,,R7,Ricardone → San Lorenzo,VALIDO,,2026-06-22T04:43:20.666555-03:00,2026-06-22T07:59:41.18464-03:00,196.34,66.61,10.07,119.67,MIXTO,R7_MIXTO,6
ece33f1b-a40b-440f-89c7-c1b2c9ec7c59,,R7,Ricardone → San Lorenzo,VALIDO,,2026-06-22T04:53:45.580563-03:00,2026-06-22T07:55:01.188278-03:00,181.26,0.00,0.00,118.17,MIXTO,R7_MIXTO,4
c16ab023-cd81-40e2-b454-411faefa4a5c__cycle_1,,R7,Ricardone → San Lorenzo,VALIDO,,2026-06-22T05:06:00.688505-03:00,2026-06-22T08:28:56.282142-03:00,202.93,43.47,9.86,149.59,MIXTO,R7_MIXTO,6
b91b2ded-f7d5-4259-afc9-03433c2e29e1__cycle_1,,R7,Ricardone → San Lorenzo,VALIDO,,2026-06-22T05:13:05.692208-03:00,2026-06-22T08:15:41.308756-03:00,182.59,47.44,8.82,126.34,MIXTO,R7_MIXTO,6
a82f134a-e0f9-4725-965b-d4981dd4cc78,,R7,Ricardone → San Lorenzo,VALIDO,,2026-06-22T05:33:00.728298-03:00,2026-06-22T09:24:31.410323-03:00,231.51,181.02,11.31,39.17,MIXTO,R7_MIXTO,6
2213ad29-5a46-434e-a8ee-8bee8bf2278f__cycle_1,,R8,Recepción Mercadería Líquida,VALIDO,DEDUCIDO,2026-06-22T05:39:25.722292-03:00,2026-06-22T09:25:41.259538-03:00,226.26,,,,,,5
e4453f50-f6cf-46f5-bd3d-0fa092228c97__cycle_1,,R7,Ricardone → San Lorenzo,VALIDO,,2026-06-22T05:49:33.128068-03:00,2026-06-22T12:22:16.633816-03:00,392.73,160.82,9.07,222.84,MIXTO,R7_MIXTO,7
75d55282-ba1a-4536-9138-7fceb62d4908,,R7,Ricardone → San Lorenzo,VALIDO,,2026-06-22T05:56:20.705671-03:00,2026-06-22T09:57:01.410448-03:00,240.68,161.52,10.23,68.92,MIXTO,R7_MIXTO,6
e4780406-6830-41c0-828b-35f599b5bf82,,R7,Ricardone → San Lorenzo,VALIDO,,2026-06-22T06:01:15.739988-03:00,2026-06-22T09:27:16.410214-03:00,206.01,157.11,10.40,38.51,MIXTO,R7_MIXTO,6
470de8e1-b36a-4d89-9b3a-b5dc7c859a0a,,R7,Ricardone → San Lorenzo,VALIDO,DEDUCIDO,2026-06-22T06:05:30.564432-03:00,2026-06-22T08:36:42.13155-03:00,151.19,151.19,0.00,0.00,MIXTO,R7_MIXTO,3
04e873fa-88f4-4d7a-ad16-3142c32d06fe,,R7,Ricardone → San Lorenzo,VALIDO,,2026-06-22T06:06:50.643808-03:00,2026-06-22T09:23:41.42402-03:00,196.85,150.44,9.98,36.42,MIXTO,R7_MIXTO,6
