journey_uid,truck_plate,normalized_plate,first_event_at,last_event_at,duration_minutes,total_event_count_raw_uid,event_count_front_reconstruction_only,front_event_count_reconstruction,rear_event_count_historical,rear_event_ratio_historical,has_front_events,has_rear_events_historical,rear_only_excluded,rear_events_removed,devices_union_audit,device_sequence_front,sector_sequence_front,logical_sequence_front,logical_sequence_before_rear_removed,starts_at_valid_entry,ends_at_valid_exit,preliminary_code,preliminary_name,preliminary_confidence,tier_circuit_user,circuit_classification,refinement_note,reliability_score,reliability_explanation,expected_points_count,matched_points_count,missing_points_count,extra_points_hint,missing_expected_points_join,is_discarded_operational
bb723e52-fbaf-421b-b8c8-194713378cdf__cycle_1,,,2026-06-22T03:28:36.307127-03:00,2026-06-22T08:23:09.894192-03:00,295,5,5,5,0,,true,false,false,false,,RicVolcable1>RicVolcable2>RicVolcable1>RicVolcable2>RicVolcable1,2-S9>2-S9>2-S9>2-S9>2-S9,VOLCABLE,,false,false,CIRCUITO_VOLCABLE_1_2,Circuito a Volcable 1/2,media,circuito_detectado,circuito_detectado,incompleto_revision+punto_fuerte,14.3,"Coinciden 1 de 7 puntos esperados. Faltan ingreso, preingreso, calada, balanza ingreso, balanza egreso, egreso.",7,1,6,,INGRESO|PREINGRESO|CALADA|BALANZA_INGRESO|BALANZA_EGRESO|EGRESO,false
be107fa1-783c-4624-aee1-7352ac36b03c,,,2026-06-22T03:47:05.653034-03:00,2026-06-22T07:24:21.207346-03:00,217,6,6,6,0,0,true,false,false,false,RicCal05|RicEgrCamFrente|RicIngCamFrente|RicPreIngInFr|SLZIngCamFrente|SLZSalidaC1Fte,RicIngCamFrente>RicPreIngInFr>RicCal05>RicEgrCamFrente>SLZIngCamFrente>SLZSalidaC1Fte,2-S0>2-S1>2-S2>2-S3>1-S0>1-S7,INGRESO>PREINGRESO>CALADA>EGRESO>SL_INGRESO>SL_EGRESO,INGRESO>PREINGRESO>CALADA>EGRESO>SL_INGRESO>SL_EGRESO,true,false,CIRCUITO_SAN_LORENZO,Circuito Ricardone → San Lorenzo,alta,circuito_detectado,circuito_detectado,ok,100,Coinciden 4 de 4 puntos esperados del circuito.,4,4,0,,,false
dfcad225-02da-4740-b004-2614f6c10ff1__cycle_1,,,2026-06-22T03:47:14.985724-03:00,2026-06-22T03:47:14.985724-03:00,0,1,1,1,0,,true,false,false,false,,RicVolcable1,2-S9,VOLCABLE,,false,false,CIRCUITO_VOLCABLE_1_2,Circuito a Volcable 1/2,media,circuito_detectado,circuito_detectado,incompleto_revision+punto_fuerte,14.3,"Coinciden 1 de 7 puntos esperados. Faltan ingreso, preingreso, calada, balanza ingreso, balanza egreso, egreso.",7,1,6,,INGRESO|PREINGRESO|CALADA|BALANZA_INGRESO|BALANZA_EGRESO|EGRESO,false
ae8a7756-bbff-45b6-ba44-62a05553969c,,,2026-06-22T03:49:20.725729-03:00,2026-06-22T05:44:27.12293-03:00,115,3,3,3,0,0,true,false,false,false,RicEgrCamFrente|RicIngCamFrente|RicPreIngInFr,RicIngCamFrente>RicPreIngInFr>RicEgrCamFrente,2-S0>2-S1>2-S3,INGRESO>PREINGRESO>EGRESO,INGRESO>PREINGRESO>EGRESO,true,true,CIRCUITO_SAN_LORENZO,Circuito Ricardone → San Lorenzo,media,circuito_detectado,circuito_detectado,circuito_probable,75,Coinciden 3 de 4 puntos esperados. Falta calada.,4,3,1,,CALADA,false
16a33a85-61fd-42e9-846b-d567c5c50a50__cycle_1,,,2026-06-22T04:00:08.154215-03:00,2026-06-22T12:22:44.877851-03:00,503,9,9,9,0,,true,false,false,false,,RicVolcable2>RicVolcable1>RicVolcable1>RicVolcable1>RicVolcable2>RicVolcable1>RicVolcable1>RicVolcable1>RicVolcable1,2-S9>2-S9>2-S9>2-S9>2-S9>2-S9>2-S9>2-S9>2-S9,VOLCABLE,,false,false,CIRCUITO_VOLCABLE_1_2,Circuito a Volcable 1/2,media,circuito_detectado,circuito_detectado,incompleto_revision+punto_fuerte,14.3,"Coinciden 1 de 7 puntos esperados. Faltan ingreso, preingreso, calada, balanza ingreso, balanza egreso, egreso.",7,1,6,,INGRESO|PREINGRESO|CALADA|BALANZA_INGRESO|BALANZA_EGRESO|EGRESO,false
059e04cc-5e1d-40d8-bf2d-34535569a62e,,,2026-06-22T04:30:50.691731-03:00,2026-06-22T08:24:56.285539-03:00,234,6,6,6,0,0,true,false,false,false,RicCal05|RicEgrCamFrente|RicIngCamFrente|RicPreIngInFr|SLZIngCamFrente|SLZSalidaC1Fte,RicIngCamFrente>RicPreIngInFr>RicCal05>RicEgrCamFrente>SLZIngCamFrente>SLZSalidaC1Fte,2-S0>2-S1>2-S2>2-S3>1-S0>1-S7,INGRESO>PREINGRESO>CALADA>EGRESO>SL_INGRESO>SL_EGRESO,INGRESO>PREINGRESO>CALADA>EGRESO>SL_INGRESO>SL_EGRESO,true,false,CIRCUITO_SAN_LORENZO,Circuito Ricardone → San Lorenzo,alta,circuito_detectado,circuito_detectado,ok,100,Coinciden 4 de 4 puntos esperados del circuito.,4,4,0,,,false
4b18e6ec-269d-4e0f-af37-7bbe3c94a235__cycle_1,,,2026-06-22T04:43:20.666555-03:00,2026-06-22T07:59:41.18464-03:00,196,6,6,6,0,,true,false,false,false,,RicIngCamFrente>RicPreIngInFr>RicCal05>RicEgrCamFrente>SLZIngCamFrente>SLZSalidaC1Fte,2-S0>2-S1>2-S2>2-S3>1-S0>1-S7,INGRESO>PREINGRESO>CALADA>EGRESO>SL_INGRESO>SL_EGRESO,,true,false,CIRCUITO_SAN_LORENZO,Circuito Ricardone → San Lorenzo,alta,circuito_detectado,circuito_detectado,ok,100,Coinciden 4 de 4 puntos esperados del circuito.,4,4,0,,,false
42871225-5eb1-47f3-9fc3-7181afd7c154,,,2026-06-22T04:52:55.228699-03:00,2026-06-22T05:02:02.109373-03:00,9,9,9,9,0,0,true,false,false,false,RicCal05|RicEgrCamFrente,RicCal05>RicCal05>RicCal05>RicCal05>RicCal05>RicCal05>RicCal05>RicCal05>RicEgrCamFrente,2-S2>2-S2>2-S2>2-S2>2-S2>2-S2>2-S2>2-S2>2-S3,CALADA>EGRESO,CALADA>EGRESO,false,true,DESPACHO_SIN_PUNTO_INSTRUMENTADO,Despacho / descarga sin punto instrumentado,baja,circuito_detectado,circuito_detectado,circuito_probable_sin_ingreso,33.3,"Coinciden 2 de 6 puntos esperados. Faltan ingreso, preingreso, balanza ingreso, balanza egreso.",6,2,4,,INGRESO|PREINGRESO|BALANZA_INGRESO|BALANZA_EGRESO,false
ece33f1b-a40b-440f-89c7-c1b2c9ec7c59,,,2026-06-22T04:53:45.580563-03:00,2026-06-22T07:55:01.188278-03:00,181,4,4,4,0,0,true,false,false,false,RicCal06|RicPreIngInFr|SLZIngCamFrente|SLZSalidaC1Fte,RicPreIngInFr>RicCal06>SLZIngCamFrente>SLZSalidaC1Fte,2-S1>2-S2>1-S0>1-S7,PREINGRESO>CALADA>SL_INGRESO>SL_EGRESO,PREINGRESO>CALADA>SL_INGRESO>SL_EGRESO,true,false,CIRCUITO_SAN_LORENZO,Circuito Ricardone → San Lorenzo,alta,circuito_detectado,circuito_detectado,circuito_probable_sin_egreso+punto_fuerte,50,"Coinciden 2 de 4 puntos esperados. Faltan ingreso, egreso.",4,2,2,,INGRESO|EGRESO,false
09abdc94-51f0-46cd-9182-ab400da59575,,,2026-06-22T05:02:48.947263-03:00,2026-06-22T06:02:06.089376-03:00,59,4,4,4,0,0,true,false,false,false,RicCal06|RicEgrCamFrente|SLZIngCamFrente|SLZSalidaC1Fte,RicCal06>RicEgrCamFrente>SLZIngCamFrente>SLZSalidaC1Fte,2-S2>2-S3>1-S0>1-S7,CALADA>EGRESO>SL_INGRESO>SL_EGRESO,CALADA>EGRESO>SL_INGRESO>SL_EGRESO,false,false,DESPACHO_SIN_PUNTO_INSTRUMENTADO,Despacho / descarga sin punto instrumentado,baja,circuito_detectado,circuito_detectado,circuito_probable_sin_ingreso+punto_fuerte,33.3,"Coinciden 2 de 6 puntos esperados. Faltan ingreso, preingreso, balanza ingreso, balanza egreso.",6,2,4,,INGRESO|PREINGRESO|BALANZA_INGRESO|BALANZA_EGRESO,false
83d7a9bc-cc1b-4842-8550-4af5c85dca67,,,2026-06-22T05:04:24.965624-03:00,2026-06-22T05:12:27.113676-03:00,8,2,2,2,0,0,true,false,false,false,RicCal05|RicEgrCamFrente,RicCal05>RicEgrCamFrente,2-S2>2-S3,CALADA>EGRESO,CALADA>EGRESO,false,true,DESPACHO_SIN_PUNTO_INSTRUMENTADO,Despacho / descarga sin punto instrumentado,baja,circuito_detectado,circuito_detectado,circuito_probable_sin_ingreso,33.3,"Coinciden 2 de 6 puntos esperados. Faltan ingreso, preingreso, balanza ingreso, balanza egreso.",6,2,4,,INGRESO|PREINGRESO|BALANZA_INGRESO|BALANZA_EGRESO,false
6f591011-f692-4335-88e6-ba6d191a5614,,,2026-06-22T05:05:38.82759-03:00,2026-06-22T05:20:27.131254-03:00,15,2,2,2,0,0,true,false,false,false,RicCal06|RicEgrCamFrente,RicCal06>RicEgrCamFrente,2-S2>2-S3,CALADA>EGRESO,CALADA>EGRESO,false,true,DESPACHO_SIN_PUNTO_INSTRUMENTADO,Despacho / descarga sin punto instrumentado,baja,circuito_detectado,circuito_detectado,circuito_probable_sin_ingreso,33.3,"Coinciden 2 de 6 puntos esperados. Faltan ingreso, preingreso, balanza ingreso, balanza egreso.",6,2,4,,INGRESO|PREINGRESO|BALANZA_INGRESO|BALANZA_EGRESO,false
c16ab023-cd81-40e2-b454-411faefa4a5c__cycle_1,,,2026-06-22T05:06:00.688505-03:00,2026-06-22T08:28:56.282142-03:00,203,6,6,6,0,,true,false,false,false,,RicIngCamFrente>RicPreIngInFr>RicCal05>RicEgrCamFrente>SLZIngCamFrente>SLZSalidaC1Fte,2-S0>2-S1>2-S2>2-S3>1-S0>1-S7,INGRESO>PREINGRESO>CALADA>EGRESO>SL_INGRESO>SL_EGRESO,,true,false,CIRCUITO_SAN_LORENZO,Circuito Ricardone → San Lorenzo,alta,circuito_detectado,circuito_detectado,ok,100,Coinciden 4 de 4 puntos esperados del circuito.,4,4,0,,,false
4b223535-fb02-4779-9ca1-342b3cb47574__cycle_1,,,2026-06-22T05:07:44.894192-03:00,2026-06-22T06:11:36.083006-03:00,64,5,5,5,0,,true,false,false,false,,RicCal05>RicEgrCamFrente>SLZIngCamFrente>SLZSalidaC1Fte>SLZSalidaC1Fte,2-S2>2-S3>1-S0>1-S7>1-S7,CALADA>EGRESO>SL_INGRESO>SL_EGRESO,,false,false,DESPACHO_SIN_PUNTO_INSTRUMENTADO,Despacho / descarga sin punto instrumentado,baja,circuito_detectado,circuito_detectado,circuito_probable_sin_ingreso+punto_fuerte,33.3,"Coinciden 2 de 6 puntos esperados. Faltan ingreso, preingreso, balanza ingreso, balanza egreso.",6,2,4,,INGRESO|PREINGRESO|BALANZA_INGRESO|BALANZA_EGRESO,false
76371de7-4769-4803-a6c4-7fe1bc954155,,,2026-06-22T05:09:04.753234-03:00,2026-06-22T05:17:32.090644-03:00,8,2,2,2,0,0,true,false,false,false,RicCal06|RicEgrCamFrente,RicCal06>RicEgrCamFrente,2-S2>2-S3,CALADA>EGRESO,CALADA>EGRESO,false,true,DESPACHO_SIN_PUNTO_INSTRUMENTADO,Despacho / descarga sin punto instrumentado,baja,circuito_detectado,circuito_detectado,circuito_probable_sin_ingreso,33.3,"Coinciden 2 de 6 puntos esperados. Faltan ingreso, preingreso, balanza ingreso, balanza egreso.",6,2,4,,INGRESO|PREINGRESO|BALANZA_INGRESO|BALANZA_EGRESO,false
f5a785a0-c030-4a65-8a60-8c0649d98a24,,,2026-06-22T05:10:39.785519-03:00,2026-06-22T06:40:21.075479-03:00,90,4,4,4,0,0,true,false,false,false,RicCal05|RicEgrCamFrente|SLZIngCamFrente|SLZSalidaC1Fte,RicCal05>RicEgrCamFrente>SLZIngCamFrente>SLZSalidaC1Fte,2-S2>2-S3>1-S0>1-S7,CALADA>EGRESO>SL_INGRESO>SL_EGRESO,CALADA>EGRESO>SL_INGRESO>SL_EGRESO,false,false,DESPACHO_SIN_PUNTO_INSTRUMENTADO,Despacho / descarga sin punto instrumentado,baja,circuito_detectado,circuito_detectado,circuito_probable_sin_ingreso+punto_fuerte,33.3,"Coinciden 2 de 6 puntos esperados. Faltan ingreso, preingreso, balanza ingreso, balanza egreso.",6,2,4,,INGRESO|PREINGRESO|BALANZA_INGRESO|BALANZA_EGRESO,false
