journey_uid,truck_plate,normalized_plate,first_event_at,last_event_at,duration_minutes,total_event_count_raw_uid,event_count_front_reconstruction_only,front_event_count_reconstruction,rear_event_count_historical,rear_event_ratio_historical,has_front_events,has_rear_events_historical,rear_only_excluded,rear_events_removed,devices_union_audit,device_sequence_front,sector_sequence_front,logical_sequence_front,logical_sequence_before_rear_removed,starts_at_valid_entry,ends_at_valid_exit,preliminary_code,preliminary_name,preliminary_confidence
d6bebb4a-b661-4866-8f43-9a86f49132ab,,,2026-06-22T03:26:55.835013-03:00,2026-06-22T03:26:55.835013-03:00,0,1,1,1,0,0,true,false,false,false,SLZSalidaC1Fte,SLZSalidaC1Fte,1-S7,SL_EGRESO,SL_EGRESO,false,false,REGISTRO_INCOMPLETO,Registro incompleto,baja
bb723e52-fbaf-421b-b8c8-194713378cdf__cycle_1,,,2026-06-22T03:28:36.307127-03:00,2026-06-22T08:23:09.894192-03:00,295,5,5,5,0,,true,false,false,false,,RicVolcable1>RicVolcable2>RicVolcable1>RicVolcable2>RicVolcable1,2-S9>2-S9>2-S9>2-S9>2-S9,VOLCABLE,,false,false,CIRCUITO_VOLCABLE_1_2,Circuito a Volcable 1/2,media
9685a9bb-6273-4088-8514-a98778c3605d__cycle_1,,,2026-06-22T03:30:01.752783-03:00,2026-06-22T03:30:01.752783-03:00,0,1,1,1,0,,true,false,false,false,,RicB1Ingreso,2-S4,BALANZA_INGRESO,,false,false,REGISTRO_INCOMPLETO,Registro incompleto,baja
91a4b22f-bcb6-446a-bd8d-d06c509f92a9,,,2026-06-22T03:32:40.84681-03:00,2026-06-22T03:32:40.84681-03:00,0,1,1,1,0,0,true,false,false,false,SLZSalidaC1Fte,SLZSalidaC1Fte,1-S7,SL_EGRESO,SL_EGRESO,false,false,REGISTRO_INCOMPLETO,Registro incompleto,baja
f66a5c20-e4e8-492e-a61c-d49cec0d7d42,,,2026-06-22T03:36:20.869549-03:00,2026-06-22T03:36:20.869549-03:00,0,1,1,1,0,0,true,false,false,false,SLZSalidaC1Fte,SLZSalidaC1Fte,1-S7,SL_EGRESO,SL_EGRESO,false,false,REGISTRO_INCOMPLETO,Registro incompleto,baja
33d5b3dc-d422-438c-8928-b73014b4eac6,,,2026-06-22T03:38:49.114626-03:00,2026-06-22T03:38:49.114626-03:00,0,1,1,1,0,0,true,false,false,false,SLZSalidaC1Fte,SLZSalidaC1Fte,1-S7,SL_EGRESO,SL_EGRESO,false,false,REGISTRO_INCOMPLETO,Registro incompleto,baja
bfb7b7ba-7ec0-4419-b84e-e815ad635fd4,,,2026-06-22T03:40:16.04759-03:00,2026-06-22T03:40:16.04759-03:00,0,1,1,1,0,0,true,false,false,false,SLZSalidaC1Fte,SLZSalidaC1Fte,1-S7,SL_EGRESO,SL_EGRESO,false,false,REGISTRO_INCOMPLETO,Registro incompleto,baja
ecbfc2ed-f045-47e1-b404-c6ef4c248917,,,2026-06-22T03:45:55.921384-03:00,2026-06-22T03:45:55.921384-03:00,0,1,1,1,0,0,true,false,false,false,SLZSalidaC1Fte,SLZSalidaC1Fte,1-S7,SL_EGRESO,SL_EGRESO,false,false,REGISTRO_INCOMPLETO,Registro incompleto,baja
28ecafb2-6d56-40ae-8a32-44d68ab0e4a7,,,2026-06-22T03:46:25.862652-03:00,2026-06-22T03:46:25.862652-03:00,0,1,1,1,0,0,true,false,false,false,SLZSalidaC1Fte,SLZSalidaC1Fte,1-S7,SL_EGRESO,SL_EGRESO,false,false,REGISTRO_INCOMPLETO,Registro incompleto,baja
0ec3cf46-f1a9-44c8-b54d-8d7188e0ed87__cycle_1,,,2026-06-22T03:46:50.856183-03:00,2026-06-22T03:46:50.856183-03:00,0,1,1,1,0,,true,false,false,false,,SLZSalidaC1Fte,1-S7,SL_EGRESO,,false,false,REGISTRO_INCOMPLETO,Registro incompleto,baja
be107fa1-783c-4624-aee1-7352ac36b03c,,,2026-06-22T03:47:05.653034-03:00,2026-06-22T07:24:21.207346-03:00,217,6,6,6,0,0,true,false,false,false,RicCal05|RicEgrCamFrente|RicIngCamFrente|RicPreIngInFr|SLZIngCamFrente|SLZSalidaC1Fte,RicIngCamFrente>RicPreIngInFr>RicCal05>RicEgrCamFrente>SLZIngCamFrente>SLZSalidaC1Fte,2-S0>2-S1>2-S2>2-S3>1-S0>1-S7,INGRESO>PREINGRESO>CALADA>EGRESO>SL_INGRESO>SL_EGRESO,INGRESO>PREINGRESO>CALADA>EGRESO>SL_INGRESO>SL_EGRESO,true,false,CIRCUITO_SAN_LORENZO,Circuito Ricardone → San Lorenzo,alta
dfcad225-02da-4740-b004-2614f6c10ff1__cycle_1,,,2026-06-22T03:47:14.985724-03:00,2026-06-22T03:47:14.985724-03:00,0,1,1,1,0,,true,false,false,false,,RicVolcable1,2-S9,VOLCABLE,,false,false,CIRCUITO_VOLCABLE_1_2,Circuito a Volcable 1/2,media
ae8a7756-bbff-45b6-ba44-62a05553969c,,,2026-06-22T03:49:20.725729-03:00,2026-06-22T05:44:27.12293-03:00,115,3,3,3,0,0,true,false,false,false,RicEgrCamFrente|RicIngCamFrente|RicPreIngInFr,RicIngCamFrente>RicPreIngInFr>RicEgrCamFrente,2-S0>2-S1>2-S3,INGRESO>PREINGRESO>EGRESO,INGRESO>PREINGRESO>EGRESO,true,true,CIRCUITO_SAN_LORENZO,Circuito Ricardone → San Lorenzo,media
36757a0b-433d-49da-aae7-df7b87ae22dc__cycle_1,,,2026-06-22T03:52:25.854989-03:00,2026-06-22T03:52:25.854989-03:00,0,1,1,1,0,,true,false,false,false,,SLZSalidaC1Fte,1-S7,SL_EGRESO,,false,false,REGISTRO_INCOMPLETO,Registro incompleto,baja
fec0e62d-cbac-4ade-a049-25e451885b8b__cycle_1,,,2026-06-22T03:53:40.945865-03:00,2026-06-22T03:53:40.945865-03:00,0,1,1,1,0,,true,false,false,false,,SLZSalidaC1Fte,1-S7,SL_EGRESO,,false,false,REGISTRO_INCOMPLETO,Registro incompleto,baja
60353adf-ee25-4abb-ac3c-26e95d85bdba__cycle_1,,,2026-06-22T03:55:45.862166-03:00,2026-06-22T03:55:45.862166-03:00,0,1,1,1,0,,true,false,false,false,,SLZSalidaC1Fte,1-S7,SL_EGRESO,,false,false,REGISTRO_INCOMPLETO,Registro incompleto,baja
53b6b506-9ec7-4317-808e-d184949a7225,,,2026-06-22T03:58:56.135962-03:00,2026-06-22T03:58:56.135962-03:00,0,1,1,1,0,0,true,false,false,false,SLZIngCamFrente,SLZIngCamFrente,1-S0,SL_INGRESO,SL_INGRESO,false,false,REGISTRO_INCOMPLETO,Registro incompleto,baja
16a33a85-61fd-42e9-846b-d567c5c50a50__cycle_1,,,2026-06-22T04:00:08.154215-03:00,2026-06-22T12:22:44.877851-03:00,503,9,9,9,0,,true,false,false,false,,RicVolcable2>RicVolcable1>RicVolcable1>RicVolcable1>RicVolcable2>RicVolcable1>RicVolcable1>RicVolcable1>RicVolcable1,2-S9>2-S9>2-S9>2-S9>2-S9>2-S9>2-S9>2-S9>2-S9,VOLCABLE,,false,false,CIRCUITO_VOLCABLE_1_2,Circuito a Volcable 1/2,media
13500be6-7505-412c-ac4d-f28c88249bc2,,,2026-06-22T04:01:40.845207-03:00,2026-06-22T04:01:40.845207-03:00,0,1,1,1,0,0,true,false,false,false,SLZSalidaC1Fte,SLZSalidaC1Fte,1-S7,SL_EGRESO,SL_EGRESO,false,false,REGISTRO_INCOMPLETO,Registro incompleto,baja
7a3a9c9c-a564-4866-a268-162ebcb4838f,,,2026-06-22T04:02:42.012555-03:00,2026-06-22T04:02:42.012555-03:00,0,1,1,1,0,0,true,false,false,false,SLZSalidaC1Fte,SLZSalidaC1Fte,1-S7,SL_EGRESO,SL_EGRESO,false,false,REGISTRO_INCOMPLETO,Registro incompleto,baja
c6e21279-469d-4a3b-ab67-61bb2a914711__cycle_1,,,2026-06-22T04:09:15.849546-03:00,2026-06-22T04:09:15.849546-03:00,0,1,1,1,0,,true,false,false,false,,SLZSalidaC1Fte,1-S7,SL_EGRESO,,false,false,REGISTRO_INCOMPLETO,Registro incompleto,baja
2421028f-b08a-446e-8af9-823d6548a00a__cycle_1,,,2026-06-22T04:10:00.848654-03:00,2026-06-22T04:10:00.848654-03:00,0,1,1,1,0,,true,false,false,false,,SLZSalidaC1Fte,1-S7,SL_EGRESO,,false,false,REGISTRO_INCOMPLETO,Registro incompleto,baja
5a97c5a3-ab52-47a5-b4a2-072ab9c4845a,,,2026-06-22T04:12:30.855758-03:00,2026-06-22T04:12:30.855758-03:00,0,1,1,1,0,0,true,false,false,false,SLZSalidaC1Fte,SLZSalidaC1Fte,1-S7,SL_EGRESO,SL_EGRESO,false,false,REGISTRO_INCOMPLETO,Registro incompleto,baja
5501093f-ab4a-437d-a208-151c27381735,,,2026-06-22T04:14:30.841574-03:00,2026-06-22T04:14:30.841574-03:00,0,1,1,1,0,0,true,false,false,false,SLZSalidaC1Fte,SLZSalidaC1Fte,1-S7,SL_EGRESO,SL_EGRESO,false,false,REGISTRO_INCOMPLETO,Registro incompleto,baja
d185be74-86ee-44c5-a5a9-3edea89b7ae1__cycle_1,,,2026-06-22T04:16:17.249852-03:00,2026-06-22T04:16:17.249852-03:00,0,1,1,1,0,,true,false,false,false,,SLZSalidaC1Fte,1-S7,SL_EGRESO,,false,false,REGISTRO_INCOMPLETO,Registro incompleto,baja
059e04cc-5e1d-40d8-bf2d-34535569a62e,,,2026-06-22T04:30:50.691731-03:00,2026-06-22T08:24:56.285539-03:00,234,6,6,6,0,0,true,false,false,false,RicCal05|RicEgrCamFrente|RicIngCamFrente|RicPreIngInFr|SLZIngCamFrente|SLZSalidaC1Fte,RicIngCamFrente>RicPreIngInFr>RicCal05>RicEgrCamFrente>SLZIngCamFrente>SLZSalidaC1Fte,2-S0>2-S1>2-S2>2-S3>1-S0>1-S7,INGRESO>PREINGRESO>CALADA>EGRESO>SL_INGRESO>SL_EGRESO,INGRESO>PREINGRESO>CALADA>EGRESO>SL_INGRESO>SL_EGRESO,true,false,CIRCUITO_SAN_LORENZO,Circuito Ricardone → San Lorenzo,alta
