journey_id,plate,site,detected_sequence,device_sequence,first_event_at,last_event_at,matched_circuit_code,executive_circuit_code,executive_circuit_label,technical_matched_circuit_code,expected_sequence,matrix_final_status,executive_status,executive_reason,valid_detail,matrix_reason,sequence_respected,coverage_percent,has_strong_point,enabled_for_classification,sequence_configured,matrix_missing_points,matrix_confidence,useful_events_count,sl_support_points,sl_support_strong_points,sl_support_corroboration,committee_group,committee_reason,operational_variation_type,analysis_scope,strong_point_source,show_in_committee,show_as_exact_circuit,candidate_circuits,missing_key_cameras,final_status_legacy,executive_bucket
bb723e52-fbaf-421b-b8c8-194713378cdf__cycle_1,,unknown,VOLCABLE,RicVolcable1>RicVolcable2>RicVolcable1>RicVolcable2>RicVolcable1,2026-06-22T03:28:36.307127-03:00,2026-06-22T08:23:09.894192-03:00,R6,R6,Recepción Volcable 2,CIRCUITO_VOLCABLE_1_2,INGRESO>PREINGRESO>CALADA>BALANZA_INGRESO>VOLCABLE>BALANZA_EGRESO>EGRESO,INCOMPLETO,INCOMPLETO,SECUENCIA_NO_CONCLUYENTE,,SECUENCIA_NO_CONCLUYENTE,false,67,true,true,true,INGRESO|PREINGRESO|CALADA|BALANZA_INGRESO|BALANZA_EGRESO|EGRESO,14.3,5,0,0,no,ANOMALIAS,JOURNEY_INCOMPLETO,,RICARDONE,RICARDONE,yes,no,R6,,incompleto_revision,INCOMPLETO
be107fa1-783c-4624-aee1-7352ac36b03c,,unknown,INGRESO>PREINGRESO>CALADA>EGRESO>SL_INGRESO>SL_EGRESO,RicIngCamFrente>RicPreIngInFr>RicCal05>RicEgrCamFrente>SLZIngCamFrente>SLZSalidaC1Fte,2026-06-22T03:47:05.653034-03:00,2026-06-22T07:24:21.207346-03:00,R7,R7,Ricardone → San Lorenzo,CIRCUITO_R7_MIXTO,INGRESO>PREINGRESO>CALADA>EGRESO>SL_INGRESO>SL_BALANZA_INGRESO>SL_CALADA>SL_ENLACE>SL_DESCARGA>SL_BALANZA_SALIDA>SL_EGRESO,INCOMPLETO,VALIDO,SECUENCIA_OPERATIVA_RECONSTRUIDA,,SECUENCIA_NO_CONCLUYENTE,false,80,true,true,true,SL_BALANZA_INGRESO|SL_CALADA|SL_ENLACE|SL_DESCARGA|SL_BALANZA_SALIDA,54.5,6,2,2,yes,COMPLETOS,SECUENCIA_OPERATIVA_RECONSTRUIDA,,MIXTO,SAN_LORENZO,yes,no,R7,,incompleto_revision,COMPLETO
ae8a7756-bbff-45b6-ba44-62a05553969c,,unknown,INGRESO>PREINGRESO>EGRESO,RicIngCamFrente>RicPreIngInFr>RicEgrCamFrente,2026-06-22T03:49:20.725729-03:00,2026-06-22T05:44:27.12293-03:00,R7,R7,Ricardone → San Lorenzo,CIRCUITO_SAN_LORENZO,INGRESO>PREINGRESO>CALADA>EGRESO,DEDUCIDO,VALIDO,RUTA_RIC_SAN_LORENZO_DEDUCIDA,DEDUCIDO,SECUENCIA_PARCIAL_CON_HUECOS,false,80,true,true,true,CALADA,75,3,0,0,no,COMPLETOS,RUTA_RIC_SAN_LORENZO_DEDUCIDA,,MIXTO,RICARDONE,yes,no,R7,,incompleto_revision,ANOMALO
16a33a85-61fd-42e9-846b-d567c5c50a50__cycle_1,,unknown,VOLCABLE,RicVolcable2>RicVolcable1>RicVolcable1>RicVolcable1>RicVolcable2>RicVolcable1>RicVolcable1>RicVolcable1>RicVolcable1,2026-06-22T04:00:08.154215-03:00,2026-06-22T12:22:44.877851-03:00,R6,R6,Recepción Volcable 2,CIRCUITO_VOLCABLE_1_2,INGRESO>PREINGRESO>CALADA>BALANZA_INGRESO>VOLCABLE>BALANZA_EGRESO>EGRESO,INCOMPLETO,INCOMPLETO,SECUENCIA_NO_CONCLUYENTE,,SECUENCIA_NO_CONCLUYENTE,false,67,true,true,true,INGRESO|PREINGRESO|CALADA|BALANZA_INGRESO|BALANZA_EGRESO|EGRESO,14.3,9,0,0,no,ANOMALIAS,JOURNEY_INCOMPLETO,,RICARDONE,RICARDONE,yes,no,R6,,incompleto_revision,INCOMPLETO
059e04cc-5e1d-40d8-bf2d-34535569a62e,,unknown,INGRESO>PREINGRESO>CALADA>EGRESO>SL_INGRESO>SL_EGRESO,RicIngCamFrente>RicPreIngInFr>RicCal05>RicEgrCamFrente>SLZIngCamFrente>SLZSalidaC1Fte,2026-06-22T04:30:50.691731-03:00,2026-06-22T08:24:56.285539-03:00,R7,R7,Ricardone → San Lorenzo,CIRCUITO_R7_MIXTO,INGRESO>PREINGRESO>CALADA>EGRESO>SL_INGRESO>SL_BALANZA_INGRESO>SL_CALADA>SL_ENLACE>SL_DESCARGA>SL_BALANZA_SALIDA>SL_EGRESO,INCOMPLETO,VALIDO,SECUENCIA_OPERATIVA_RECONSTRUIDA,,SECUENCIA_NO_CONCLUYENTE,false,80,true,true,true,SL_BALANZA_INGRESO|SL_CALADA|SL_ENLACE|SL_DESCARGA|SL_BALANZA_SALIDA,54.5,6,2,2,yes,COMPLETOS,SECUENCIA_OPERATIVA_RECONSTRUIDA,,MIXTO,SAN_LORENZO,yes,no,R7,,incompleto_revision,ANOMALO
4b18e6ec-269d-4e0f-af37-7bbe3c94a235__cycle_1,,unknown,INGRESO>PREINGRESO>CALADA>EGRESO>SL_INGRESO>SL_EGRESO,RicIngCamFrente>RicPreIngInFr>RicCal05>RicEgrCamFrente>SLZIngCamFrente>SLZSalidaC1Fte,2026-06-22T04:43:20.666555-03:00,2026-06-22T07:59:41.18464-03:00,R7,R7,Ricardone → San Lorenzo,CIRCUITO_R7_MIXTO,INGRESO>PREINGRESO>CALADA>EGRESO>SL_INGRESO>SL_BALANZA_INGRESO>SL_CALADA>SL_ENLACE>SL_DESCARGA>SL_BALANZA_SALIDA>SL_EGRESO,INCOMPLETO,VALIDO,SECUENCIA_OPERATIVA_RECONSTRUIDA,,SECUENCIA_NO_CONCLUYENTE,false,80,true,true,true,SL_BALANZA_INGRESO|SL_CALADA|SL_ENLACE|SL_DESCARGA|SL_BALANZA_SALIDA,54.5,6,2,2,yes,COMPLETOS,SECUENCIA_OPERATIVA_RECONSTRUIDA,,MIXTO,SAN_LORENZO,yes,no,R7,,incompleto_revision,COMPLETO
42871225-5eb1-47f3-9fc3-7181afd7c154,,unknown,CALADA>EGRESO,RicCal05>RicCal05>RicCal05>RicCal05>RicCal05>RicCal05>RicCal05>RicCal05>RicEgrCamFrente,2026-06-22T04:52:55.228699-03:00,2026-06-22T05:02:02.109373-03:00,SIN_PUNTO,SIN_PUNTO,Sin punto instrumentado (sólidos),DESPACHO_SIN_PUNTO_INSTRUMENTADO,INGRESO>PREINGRESO>CALADA>BALANZA_INGRESO>BALANZA_EGRESO>EGRESO,INCOMPLETO,NO_DIFERENCIABLE,NO_DIFERENCIABLE_SIN_PUNTO_FUERTE,,SECUENCIA_NO_CONCLUYENTE,false,0,false,false,false,INGRESO|PREINGRESO|BALANZA_INGRESO|BALANZA_EGRESO,33.3,9,0,0,no,ANOMALIAS,NO_DIFERENCIABLE_SIN_PUNTO_FUERTE,,UNKNOWN,,yes,no,SIN_PUNTO,,incompleto_revision,INCOMPLETO
ece33f1b-a40b-440f-89c7-c1b2c9ec7c59,,unknown,PREINGRESO>CALADA>SL_INGRESO>SL_EGRESO,RicPreIngInFr>RicCal06>SLZIngCamFrente>SLZSalidaC1Fte,2026-06-22T04:53:45.580563-03:00,2026-06-22T07:55:01.188278-03:00,R7,R7,Ricardone → San Lorenzo,CIRCUITO_R7_MIXTO,INGRESO>PREINGRESO>CALADA>EGRESO>SL_INGRESO>SL_BALANZA_INGRESO>SL_CALADA>SL_ENLACE>SL_DESCARGA>SL_BALANZA_SALIDA>SL_EGRESO,INCOMPLETO,VALIDO,CIERRE_POR_INGRESO_SLZ,,SECUENCIA_NO_CONCLUYENTE,false,80,true,true,true,INGRESO|EGRESO|SL_BALANZA_INGRESO|SL_CALADA|SL_ENLACE|SL_DESCARGA|SL_BALANZA_SALIDA,36.4,4,2,2,yes,COMPLETOS,RUTA_RIC_SAN_LORENZO_COMPLETA,,MIXTO,SAN_LORENZO,yes,no,R7,,incompleto_revision,DEDUCIDO
09abdc94-51f0-46cd-9182-ab400da59575,,unknown,CALADA>EGRESO>SL_INGRESO>SL_EGRESO,RicCal06>RicEgrCamFrente>SLZIngCamFrente>SLZSalidaC1Fte,2026-06-22T05:02:48.947263-03:00,2026-06-22T06:02:06.089376-03:00,SIN_PUNTO,SIN_PUNTO,Sin punto instrumentado (sólidos),DESPACHO_SIN_PUNTO_INSTRUMENTADO,INGRESO>PREINGRESO>CALADA>BALANZA_INGRESO>BALANZA_EGRESO>EGRESO,INCOMPLETO,NO_DIFERENCIABLE,NO_DIFERENCIABLE_SIN_PUNTO_FUERTE,,SECUENCIA_NO_CONCLUYENTE,false,0,true,false,false,INGRESO|PREINGRESO|BALANZA_INGRESO|BALANZA_EGRESO,33.3,4,2,2,yes,ANOMALIAS,NO_DIFERENCIABLE_SIN_PUNTO_FUERTE,,UNKNOWN,SAN_LORENZO,yes,no,SIN_PUNTO,,incompleto_revision,INCOMPLETO
83d7a9bc-cc1b-4842-8550-4af5c85dca67,,unknown,CALADA>EGRESO,RicCal05>RicEgrCamFrente,2026-06-22T05:04:24.965624-03:00,2026-06-22T05:12:27.113676-03:00,SIN_PUNTO,SIN_PUNTO,Sin punto instrumentado (sólidos),DESPACHO_SIN_PUNTO_INSTRUMENTADO,INGRESO>PREINGRESO>CALADA>BALANZA_INGRESO>BALANZA_EGRESO>EGRESO,INCOMPLETO,NO_DIFERENCIABLE,NO_DIFERENCIABLE_SIN_PUNTO_FUERTE,,EVENTOS_INSUFICIENTES,false,0,false,false,false,INGRESO|PREINGRESO|BALANZA_INGRESO|BALANZA_EGRESO,33.3,2,0,0,no,ANOMALIAS,NO_DIFERENCIABLE_SIN_PUNTO_FUERTE,,UNKNOWN,,yes,no,SIN_PUNTO,,incompleto_revision,INCOMPLETO
6f591011-f692-4335-88e6-ba6d191a5614,,unknown,CALADA>EGRESO,RicCal06>RicEgrCamFrente,2026-06-22T05:05:38.82759-03:00,2026-06-22T05:20:27.131254-03:00,SIN_PUNTO,SIN_PUNTO,Sin punto instrumentado (sólidos),DESPACHO_SIN_PUNTO_INSTRUMENTADO,INGRESO>PREINGRESO>CALADA>BALANZA_INGRESO>BALANZA_EGRESO>EGRESO,INCOMPLETO,NO_DIFERENCIABLE,NO_DIFERENCIABLE_SIN_PUNTO_FUERTE,,EVENTOS_INSUFICIENTES,false,0,false,false,false,INGRESO|PREINGRESO|BALANZA_INGRESO|BALANZA_EGRESO,33.3,2,0,0,no,ANOMALIAS,NO_DIFERENCIABLE_SIN_PUNTO_FUERTE,,UNKNOWN,,yes,no,SIN_PUNTO,,incompleto_revision,INCOMPLETO
c16ab023-cd81-40e2-b454-411faefa4a5c__cycle_1,,unknown,INGRESO>PREINGRESO>CALADA>EGRESO>SL_INGRESO>SL_EGRESO,RicIngCamFrente>RicPreIngInFr>RicCal05>RicEgrCamFrente>SLZIngCamFrente>SLZSalidaC1Fte,2026-06-22T05:06:00.688505-03:00,2026-06-22T08:28:56.282142-03:00,R7,R7,Ricardone → San Lorenzo,CIRCUITO_R7_MIXTO,INGRESO>PREINGRESO>CALADA>EGRESO>SL_INGRESO>SL_BALANZA_INGRESO>SL_CALADA>SL_ENLACE>SL_DESCARGA>SL_BALANZA_SALIDA>SL_EGRESO,INCOMPLETO,VALIDO,SECUENCIA_OPERATIVA_RECONSTRUIDA,,SECUENCIA_NO_CONCLUYENTE,false,80,true,true,true,SL_BALANZA_INGRESO|SL_CALADA|SL_ENLACE|SL_DESCARGA|SL_BALANZA_SALIDA,54.5,6,2,2,yes,COMPLETOS,SECUENCIA_OPERATIVA_RECONSTRUIDA,,MIXTO,SAN_LORENZO,yes,no,R7,,incompleto_revision,COMPLETO
4b223535-fb02-4779-9ca1-342b3cb47574__cycle_1,,unknown,CALADA>EGRESO>SL_INGRESO>SL_EGRESO,RicCal05>RicEgrCamFrente>SLZIngCamFrente>SLZSalidaC1Fte>SLZSalidaC1Fte,2026-06-22T05:07:44.894192-03:00,2026-06-22T06:11:36.083006-03:00,SIN_PUNTO,SIN_PUNTO,Sin punto instrumentado (sólidos),DESPACHO_SIN_PUNTO_INSTRUMENTADO,INGRESO>PREINGRESO>CALADA>BALANZA_INGRESO>BALANZA_EGRESO>EGRESO,INCOMPLETO,NO_DIFERENCIABLE,NO_DIFERENCIABLE_SIN_PUNTO_FUERTE,,SECUENCIA_NO_CONCLUYENTE,false,0,true,false,false,INGRESO|PREINGRESO|BALANZA_INGRESO|BALANZA_EGRESO,33.3,5,2,3,yes,ANOMALIAS,NO_DIFERENCIABLE_SIN_PUNTO_FUERTE,,UNKNOWN,SAN_LORENZO,yes,no,SIN_PUNTO,,incompleto_revision,INCOMPLETO
