product_normalized,platform_normalized,resolved_circuit_family,total_excel_operations,with_truckflow_evidence,ready_for_scatter,ready_for_full_route_kpi,no_truckflow_evidence,avg_truckflow_duration_min
SOJA,VOLCABLE_PTO_2,SAN_LORENZO_VOLCABLE,1229,0,0,0,1229,0
SOJA,VOLCABLE_PTO_1,SAN_LORENZO_VOLCABLE,328,0,0,0,328,0
SOJA,VOLCABLE_PTO_3,SAN_LORENZO_VOLCABLE,860,0,0,0,860,0
SOJA,VOLCABLE_PTO_5,SAN_LORENZO_VOLCABLE,1022,0,0,0,1022,0
CHIP DE PINO,PLAYA_LEÑA_Y_CHIP,,30,0,0,0,30,0
GIRASOL,VOLCABLE_1,VOLCABLE,213,0,213,0,213,0
MAIZ,CELDA_171_-_CENTRO,CELDA16,260,0,0,0,260,0
CHIP DE EUCALIPTUS,PLAYA_LEÑA_Y_CHIP,,35,0,0,0,35,0
DDG BURLANDA SECA DE MAIZ SIN SOLUBLES,DEPOSITO_BURLANDAS,,23,0,0,0,23,0
PRODUCTOS VARIOS,VARIOS,,53,0,0,0,53,0
ACEITE SOJA NEUTRO,,LIQUIDO,3,0,0,0,3,0
TIERRA DESC FILTROS,,,29,0,0,0,29,0
CHIP EN ORIGEN,PLAYA_LEÑA_Y_CHIP,,18,0,0,0,18,0
AGUA POTABLE,ACEITE_OSL,LIQUIDO,6,0,0,0,6,0
PRODUCTOS VARIOS,SECCION_4,,1,0,0,0,1,0
BORRA DE ACSOJA REFINADO,,,12,0,0,0,12,0
PRODUCTOS VARIOS,,,44,0,0,0,44,0
RESIDUOS ASIMILABLES A DOMICILIARIOS,SIN_ESPECIFICAR,,6,0,0,0,6,0
BURLANDA HUMEDA,DEPOSITO_BURLANDAS,,17,0,0,0,17,0
THIN STILLAGE DE MAIZ,,,8,0,0,0,8,0
ALCOHOL ETILICO ANHIDRO P/ BIOCOMB ORIG CEREAL,T1002,,43,0,0,0,43,0
RESIDUOS ORG,,,25,0,0,0,25,0
