external_operation_id,plate_normalized,product_normalized,platform_normalized,external_ingreso_at,external_salida_at,matched_journey_uids,truckflow_first_seen_at,truckflow_last_seen_at,truckflow_circuit_codes,truckflow_executive_statuses,resolved_circuit_family,match_quality,route_quality,analysis_ready_for_scatter,no_truckflow_reason,diagnostic_detail
CTG_10233124672,FJZ785,SOJA,VOLCABLE_PTO_2,2026-06-25T14:03:00,2026-06-26T00:01:00,,,,,,SAN_LORENZO_VOLCABLE,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,false,NO_TRUCKFLOW_EXACT_PLATE_MATCH,plate_not_in_any_journey
CTG_10133101726,AH235VR,SOJA,VOLCABLE_PTO_2,2026-06-25T14:07:00,2026-06-26T00:03:00,,,,,,SAN_LORENZO_VOLCABLE,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,false,NO_TRUCKFLOW_EXACT_PLATE_MATCH,plate_not_in_any_journey
CTG_10133119806,HJP191,SOJA,VOLCABLE_PTO_1,2026-06-25T14:17:00,2026-06-26T00:05:00,,,,,,SAN_LORENZO_VOLCABLE,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,false,NO_TRUCKFLOW_EXACT_PLATE_MATCH,plate_not_in_any_journey
CTG_10133106232,JFQ498,SOJA,VOLCABLE_PTO_3,2026-06-25T14:15:00,2026-06-26T00:06:00,,,,,,SAN_LORENZO_VOLCABLE,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,false,NO_TRUCKFLOW_EXACT_PLATE_MATCH,plate_not_in_any_journey
CTG_10233105728,AA144GT,SOJA,VOLCABLE_PTO_3,2026-06-25T14:16:00,2026-06-26T00:08:00,,,,,,SAN_LORENZO_VOLCABLE,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,false,NO_TRUCKFLOW_EXACT_PLATE_MATCH,plate_not_in_any_journey
CTG_10233097921,AA744EA,SOJA,VOLCABLE_PTO_1,2026-06-25T14:34:00,2026-06-26T00:14:00,,,,,,SAN_LORENZO_VOLCABLE,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,false,NO_TRUCKFLOW_EXACT_PLATE_MATCH,plate_not_in_any_journey
CTG_10233123488,BAZ896,SOJA,VOLCABLE_PTO_3,2026-06-25T14:23:00,2026-06-26T00:16:00,,,,,,SAN_LORENZO_VOLCABLE,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,false,NO_TRUCKFLOW_EXACT_PLATE_MATCH,plate_not_in_any_journey
CTG_10133105546,HTN766,SOJA,VOLCABLE_PTO_5,2026-06-25T13:52:00,2026-06-26T00:17:00,,,,,,SAN_LORENZO_VOLCABLE,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,false,NO_TRUCKFLOW_EXACT_PLATE_MATCH,plate_not_in_any_journey
CTG_10133085862,GSQ770,SOJA,VOLCABLE_PTO_2,2026-06-25T14:14:00,2026-06-26T00:18:00,,,,,,SAN_LORENZO_VOLCABLE,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,false,NO_TRUCKFLOW_EXACT_PLATE_MATCH,plate_not_in_any_journey
CTG_10233115197,KCO878,SOJA,VOLCABLE_PTO_3,2026-06-25T10:50:00,2026-06-26T00:22:00,,,,,,SAN_LORENZO_VOLCABLE,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,false,NO_TRUCKFLOW_EXACT_PLATE_MATCH,plate_not_in_any_journey
CTG_10133103589,AD910XD,SOJA,VOLCABLE_PTO_1,2026-06-25T14:05:00,2026-06-26T00:23:00,,,,,,SAN_LORENZO_VOLCABLE,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,false,NO_TRUCKFLOW_EXACT_PLATE_MATCH,plate_not_in_any_journey
CTG_10133093435,AC369WE,SOJA,VOLCABLE_PTO_5,2026-06-25T13:33:00,2026-06-26T00:27:00,,,,,,SAN_LORENZO_VOLCABLE,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,false,NO_TRUCKFLOW_EXACT_PLATE_MATCH,plate_not_in_any_journey
CTG_10233115379,AF674YH,SOJA,VOLCABLE_PTO_2,2026-06-25T11:08:00,2026-06-26T00:28:00,,,,,,SAN_LORENZO_VOLCABLE,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,false,NO_TRUCKFLOW_EXACT_PLATE_MATCH,plate_not_in_any_journey
CTG_10233117318,GXN483,SOJA,VOLCABLE_PTO_3,2026-06-25T11:35:00,2026-06-26T00:30:00,,,,,,SAN_LORENZO_VOLCABLE,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,false,NO_TRUCKFLOW_EXACT_PLATE_MATCH,plate_not_in_any_journey
CTG_10233108365,FBQ587,SOJA,VOLCABLE_PTO_1,2026-06-25T14:24:00,2026-06-26T00:31:00,,,,,,SAN_LORENZO_VOLCABLE,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,false,NO_TRUCKFLOW_EXACT_PLATE_MATCH,plate_not_in_any_journey
CTG_10133097985,AF206BP,SOJA,VOLCABLE_PTO_2,2026-06-25T13:50:00,2026-06-26T00:32:00,,,,,,SAN_LORENZO_VOLCABLE,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,false,NO_TRUCKFLOW_EXACT_PLATE_MATCH,plate_not_in_any_journey
COMPROB_000200430699,AH539QA,CHIP DE PINO,PLAYA_LEÑA_Y_CHIP,2026-06-25T17:32:00,2026-06-26T00:32:00,,,,,,,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,false,NO_TRUCKFLOW_EXACT_PLATE_MATCH,plate_not_in_any_journey
CTG_10133093607,NFS501,SOJA,VOLCABLE_PTO_3,2026-06-25T14:26:00,2026-06-26T00:33:00,,,,,,SAN_LORENZO_VOLCABLE,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,false,NO_TRUCKFLOW_EXACT_PLATE_MATCH,plate_not_in_any_journey
CTG_10233114610,MID428,SOJA,VOLCABLE_PTO_2,2026-06-25T11:14:00,2026-06-26T00:35:00,,,,,,SAN_LORENZO_VOLCABLE,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,false,NO_TRUCKFLOW_EXACT_PLATE_MATCH,plate_not_in_any_journey
CTG_10233111741,GVS199,SOJA,VOLCABLE_PTO_5,2026-06-25T14:18:00,2026-06-26T00:37:00,,,,,,SAN_LORENZO_VOLCABLE,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,false,NO_TRUCKFLOW_EXACT_PLATE_MATCH,plate_not_in_any_journey
CTG_10133105520,AF461KM,SOJA,VOLCABLE_PTO_1,2026-06-25T10:29:00,2026-06-26T00:38:00,,,,,,SAN_LORENZO_VOLCABLE,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,false,NO_TRUCKFLOW_EXACT_PLATE_MATCH,plate_not_in_any_journey
CTG_10133105576,TNJ810,SOJA,VOLCABLE_PTO_5,2026-06-25T14:19:00,2026-06-26T00:40:00,,,,,,SAN_LORENZO_VOLCABLE,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,false,NO_TRUCKFLOW_EXACT_PLATE_MATCH,plate_not_in_any_journey
CTG_10233097845,GGK832,SOJA,VOLCABLE_PTO_1,2026-06-25T11:42:00,2026-06-26T00:41:00,,,,,,SAN_LORENZO_VOLCABLE,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,false,NO_TRUCKFLOW_EXACT_PLATE_MATCH,plate_not_in_any_journey
CTG_10233097969,DYS129,SOJA,VOLCABLE_PTO_2,2026-06-25T11:50:00,2026-06-26T00:43:00,,,,,,SAN_LORENZO_VOLCABLE,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,false,NO_TRUCKFLOW_EXACT_PLATE_MATCH,plate_not_in_any_journey
CTG_10233114545,FFF699,SOJA,VOLCABLE_PTO_3,2026-06-25T12:14:00,2026-06-26T00:44:00,,,,,,SAN_LORENZO_VOLCABLE,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,false,NO_TRUCKFLOW_EXACT_PLATE_MATCH,plate_not_in_any_journey
