external_operation_id,source_file,source_date,plate_normalized,product_normalized,producto_original,platform_normalized,plataforma_original,planta_normalized,movement_type,mov,movement_type_detail,external_ingreso_at,external_calado_at,external_salida_at,contrato,comprob,cp_remito,ctg,cupo,kgs_neto,matched_journey_uids,matched_journey_count,truckflow_first_seen_at,truckflow_last_seen_at,truckflow_duration_min,truckflow_circuit_codes,truckflow_circuit_labels,truckflow_executive_statuses,truckflow_valid_details,truckflow_observed_sequence_combined,truckflow_coverage_percent_avg,truckflow_has_strong_point_any,resolved_product,resolved_platform,resolved_circuit_family,resolved_executive_circuit_code,resolved_operational_point,resolved_plant_hint,resolution_source,match_quality,route_quality,analysis_ready_for_scatter,analysis_ready_for_full_route_kpi,analysis_warning,evidence_count,no_truckflow_reason,diagnostic_detail,possible_duplicate_assignment,external_sl_balanza_entrada_at,external_sl_balanza_salida_at,tiempos_entre_pasos_match,tiempos_entre_pasos_source_file,sl_balanza_fuente,observaciones,observacion_calidad,ingreso_id
CTG_10233124672,MovimientosPorContrato_20260626.xlsx,2026-06-26,FJZ785,SOJA,SOJA,VOLCABLE_PTO_2,VOLCABLE PTO 2,TERMINAL_EMBARQUE,INGRESO,I,I,2026-06-25T14:03:00,2026-06-25T21:48:00,2026-06-26T00:01:00,2000652,000404032459,0000100005052,10233124672,VIC770433250626,29640,,0,,,0,,,,,,0,false,SOJA,VOLCABLE_PTO_2,SAN_LORENZO_VOLCABLE,R7,VOLCABLE_PTO_2,TERMINAL_EMBARQUE,EXCEL_PLATFORM_PRODUCT,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,false,false,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,0,NO_TRUCKFLOW_EXACT_PLATE_MATCH,plate_not_in_any_journey,false,2026-06-25T23:39:00,,INGRESO_ID,TiemposEntrePasos_20260625.xlsx,,"FAZON 2026, FAZON 2026",,14439170
CTG_10133101726,MovimientosPorContrato_20260626.xlsx,2026-06-26,AH235VR,SOJA,SOJA,VOLCABLE_PTO_2,VOLCABLE PTO 2,TERMINAL_EMBARQUE,INGRESO,I,I,2026-06-25T14:07:00,2026-06-25T21:57:00,2026-06-26T00:03:00,2000662,000404032460,0000000004159,10133101726,VIC146449250626,26680,,0,,,0,,,,,,0,false,SOJA,VOLCABLE_PTO_2,SAN_LORENZO_VOLCABLE,R7,VOLCABLE_PTO_2,TERMINAL_EMBARQUE,EXCEL_PLATFORM_PRODUCT,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,false,false,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,0,NO_TRUCKFLOW_EXACT_PLATE_MATCH,plate_not_in_any_journey,false,2026-06-25T23:43:00,,INGRESO_ID,TiemposEntrePasos_20260625.xlsx,,"FAZON PTO 2026, FAZON PTO 2026",,14439174
CTG_10133119806,MovimientosPorContrato_20260626.xlsx,2026-06-26,HJP191,SOJA,SOJA,VOLCABLE_PTO_1,VOLCABLE PTO 1,TERMINAL_EMBARQUE,INGRESO,I,I,2026-06-25T14:17:00,2026-06-25T22:03:00,2026-06-26T00:05:00,2000655,000404032461,0000000000662,10133119806,VIC567190250626,29020,,0,,,0,,,,,,0,false,SOJA,VOLCABLE_PTO_1,SAN_LORENZO_VOLCABLE,R7,VOLCABLE_PTO_1,TERMINAL_EMBARQUE,EXCEL_PLATFORM_PRODUCT,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,false,false,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,0,NO_TRUCKFLOW_EXACT_PLATE_MATCH,plate_not_in_any_journey,false,2026-06-25T23:44:00,,INGRESO_ID,TiemposEntrePasos_20260625.xlsx,,"FAZON 2026, FAZON 2026",,14439182
CTG_10133106232,MovimientosPorContrato_20260626.xlsx,2026-06-26,JFQ498,SOJA,SOJA,VOLCABLE_PTO_3,VOLCABLE PTO 3,TERMINAL_EMBARQUE,INGRESO,I,I,2026-06-25T14:15:00,2026-06-25T22:00:00,2026-06-26T00:06:00,2000652,000404032462,0000000000910,10133106232,VIC817202250626,31700,,0,,,0,,,,,,0,false,SOJA,VOLCABLE_PTO_3,SAN_LORENZO_VOLCABLE,R7,VOLCABLE_PTO_3,TERMINAL_EMBARQUE,EXCEL_PLATFORM_PRODUCT,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,false,false,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,0,NO_TRUCKFLOW_EXACT_PLATE_MATCH,plate_not_in_any_journey,false,2026-06-25T23:42:00,,INGRESO_ID,TiemposEntrePasos_20260625.xlsx,,"FAZON 2026, FAZON 2026",,14439180
CTG_10233105728,MovimientosPorContrato_20260626.xlsx,2026-06-26,AA144GT,SOJA,SOJA,VOLCABLE_PTO_3,VOLCABLE PTO 3,TERMINAL_EMBARQUE,INGRESO,I,I,2026-06-25T14:16:00,2026-06-25T22:05:00,2026-06-26T00:08:00,2000655,000404032463,0000100004712,10233105728,VIC871966250626,34760,,0,,,0,,,,,,0,false,SOJA,VOLCABLE_PTO_3,SAN_LORENZO_VOLCABLE,R7,VOLCABLE_PTO_3,TERMINAL_EMBARQUE,EXCEL_PLATFORM_PRODUCT,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,false,false,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,0,NO_TRUCKFLOW_EXACT_PLATE_MATCH,plate_not_in_any_journey,false,2026-06-25T23:46:00,,INGRESO_ID,TiemposEntrePasos_20260625.xlsx,,"FAZON 2026, FAZON 2026",,14439181
CTG_10233097921,MovimientosPorContrato_20260626.xlsx,2026-06-26,AA744EA,SOJA,SOJA,VOLCABLE_PTO_1,VOLCABLE PTO 1,TERMINAL_EMBARQUE,INGRESO,I,I,2026-06-25T14:34:00,2026-06-25T22:20:00,2026-06-26T00:14:00,2000662,000404032464,0010000537947,10233097921,VIC629213250626,28900,,0,,,0,,,,,,0,false,SOJA,VOLCABLE_PTO_1,SAN_LORENZO_VOLCABLE,R7,VOLCABLE_PTO_1,TERMINAL_EMBARQUE,EXCEL_PLATFORM_PRODUCT,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,false,false,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,0,NO_TRUCKFLOW_EXACT_PLATE_MATCH,plate_not_in_any_journey,false,2026-06-25T23:48:00,,INGRESO_ID,TiemposEntrePasos_20260625.xlsx,,"FAZON PTO 2026, FAZON PTO 2026",,14439195
CTG_10233123488,MovimientosPorContrato_20260626.xlsx,2026-06-26,BAZ896,SOJA,SOJA,VOLCABLE_PTO_3,VOLCABLE PTO 3,TERMINAL_EMBARQUE,INGRESO,I,I,2026-06-25T14:23:00,2026-06-25T22:14:00,2026-06-26T00:16:00,2000655,000404032465,0000000002718,10233123488,VIC852298250626,30340,,0,,,0,,,,,,0,false,SOJA,VOLCABLE_PTO_3,SAN_LORENZO_VOLCABLE,R7,VOLCABLE_PTO_3,TERMINAL_EMBARQUE,EXCEL_PLATFORM_PRODUCT,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,false,false,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,0,NO_TRUCKFLOW_EXACT_PLATE_MATCH,plate_not_in_any_journey,false,2026-06-25T23:47:00,,INGRESO_ID,TiemposEntrePasos_20260625.xlsx,,"FAZON 2026, FAZON 2026",,14439190
CTG_10133105546,MovimientosPorContrato_20260626.xlsx,2026-06-26,HTN766,SOJA,SOJA,VOLCABLE_PTO_5,VOLCABLE PTO 5,TERMINAL_EMBARQUE,INGRESO,I,I,2026-06-25T13:52:00,2026-06-25T21:36:00,2026-06-26T00:17:00,2000655,000404032466,0001000004887,10133105546,VIC983099250626,30380,,0,,,0,,,,,,0,false,SOJA,VOLCABLE_PTO_5,SAN_LORENZO_VOLCABLE,R7,VOLCABLE_PTO_5,TERMINAL_EMBARQUE,EXCEL_PLATFORM_PRODUCT,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,false,false,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,0,NO_TRUCKFLOW_EXACT_PLATE_MATCH,plate_not_in_any_journey,false,2026-06-25T22:55:00,,INGRESO_ID,TiemposEntrePasos_20260625.xlsx,,"FAZON 2026, FAZON 2026",,14439163
CTG_10133085862,MovimientosPorContrato_20260626.xlsx,2026-06-26,GSQ770,SOJA,SOJA,VOLCABLE_PTO_2,VOLCABLE PTO 2,TERMINAL_EMBARQUE,INGRESO,I,I,2026-06-25T14:14:00,2026-06-25T22:01:00,2026-06-26T00:18:00,2000652,000404032467,0000100020925,10133085862,VIC708894250626,36280,,0,,,0,,,,,,0,false,SOJA,VOLCABLE_PTO_2,SAN_LORENZO_VOLCABLE,R7,VOLCABLE_PTO_2,TERMINAL_EMBARQUE,EXCEL_PLATFORM_PRODUCT,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,false,false,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,0,NO_TRUCKFLOW_EXACT_PLATE_MATCH,plate_not_in_any_journey,false,2026-06-25T23:45:00,,INGRESO_ID,TiemposEntrePasos_20260625.xlsx,,"FAZON 2026, FAZON 2026",,14439178
CTG_10233115197,MovimientosPorContrato_20260626.xlsx,2026-06-26,KCO878,SOJA,SOJA,VOLCABLE_PTO_3,VOLCABLE PTO 3,TERMINAL_EMBARQUE,INGRESO,I,I,2026-06-25T10:50:00,2026-06-25T19:52:00,2026-06-26T00:22:00,2000651,000404032468,0000100001583,10233115197,VIC940020250626,30400,,0,,,0,,,,,,0,false,SOJA,VOLCABLE_PTO_3,SAN_LORENZO_VOLCABLE,R7,VOLCABLE_PTO_3,TERMINAL_EMBARQUE,EXCEL_PLATFORM_PRODUCT,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,false,false,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,0,NO_TRUCKFLOW_EXACT_PLATE_MATCH,plate_not_in_any_journey,false,2026-06-25T23:50:00,,INGRESO_ID,TiemposEntrePasos_20260625.xlsx,,"FAZON 2026, FAZON 2026",,14439075
