external_operation_id,source_file,source_date,planta_original,planta_normalized,mov_original,mov,movement_type,movement_type_detail,patente_original,plate_normalized,contrato,cliente_contrato,ingreso_id,comprob,cp_remito,ctg,cupo,entregado_por_a,localidad_proc_dest,fecha_ing_original,hora_ing_original,fecha_calado_original,hora_calado_original,fecha_sal_original,hora_sal_original,external_ingreso_at,external_calado_at,external_salida_at,cod_prod,producto_original,product_normalized,plataforma_original,platform_normalized,plataforma_manual,kgs_bruto,kgs_tara,kgs_neto,kgs_neto_neto,humedad,observaciones,observacion_calidad,normalization_warnings,external_sl_balanza_entrada_at,external_sl_balanza_salida_at,tiempos_entre_pasos_source_file,tiempos_entre_pasos_match
CTG_10233124672,MovimientosPorContrato_20260626.xlsx,2026-06-26,TERMINAL DE EMBARQUE,TERMINAL_EMBARQUE,I,I,INGRESO,I,FJZ785,FJZ785,2000652,LDC ARGENTINA S.A.-30526712729-221642,14439170,000404032459,0000100005052,10233124672,VIC770433250626,TOMAS HNOS.Y CIA.S.A.-30537721274-222823,TIMBUES JOSE MARIA - SANTA FE - CP 22041,25/06/2026,14:03,25/06/2026,21:48,26/06/2026,00:01,2026-06-25T14:03:00,2026-06-25T21:48:00,2026-06-26T00:01:00,0301,SOJA,SOJA,VOLCABLE PTO 2,VOLCABLE_PTO_2,,43420,13780,29640,29640,13.4,"FAZON 2026, FAZON 2026",,,2026-06-25T23:39:00,,TiemposEntrePasos_20260625.xlsx,INGRESO_ID
CTG_10133101726,MovimientosPorContrato_20260626.xlsx,2026-06-26,TERMINAL DE EMBARQUE,TERMINAL_EMBARQUE,I,I,INGRESO,I,AH235VR,AH235VR,2000662,CARGILL S.A.C.I.-30506792165-220165,14439174,000404032460,0000000004159,10133101726,VIC146449250626,ROAGRO NEGOCIOS S.A-30710674570-247499,CLUCELLAS - SANTA FE - CP 24073,25/06/2026,14:07,25/06/2026,21:57,26/06/2026,00:03,2026-06-25T14:07:00,2026-06-25T21:57:00,2026-06-26T00:03:00,0301,SOJA,SOJA,VOLCABLE PTO 2,VOLCABLE_PTO_2,,42720,16040,26680,26680,12.7,"FAZON PTO 2026, FAZON PTO 2026",,,2026-06-25T23:43:00,,TiemposEntrePasos_20260625.xlsx,INGRESO_ID
CTG_10133119806,MovimientosPorContrato_20260626.xlsx,2026-06-26,TERMINAL DE EMBARQUE,TERMINAL_EMBARQUE,I,I,INGRESO,I,HJP191,HJP191,2000655,COMMODITIES S.A.-30640872566-222089,14439182,000404032461,0000000000662,10133119806,VIC567190250626,GEAR SAAICFEI-30509529937-222275,ROJAS (BAS) - BUENOS AIRES - CP 27050,25/06/2026,14:17,25/06/2026,22:03,26/06/2026,00:05,2026-06-25T14:17:00,2026-06-25T22:03:00,2026-06-26T00:05:00,0301,SOJA,SOJA,VOLCABLE PTO 1,VOLCABLE_PTO_1,,45120,16100,29020,29020,11.7,"FAZON 2026, FAZON 2026",,,2026-06-25T23:44:00,,TiemposEntrePasos_20260625.xlsx,INGRESO_ID
CTG_10133106232,MovimientosPorContrato_20260626.xlsx,2026-06-26,TERMINAL DE EMBARQUE,TERMINAL_EMBARQUE,I,I,INGRESO,I,JFQ498,JFQ498,2000652,LDC ARGENTINA S.A.-30526712729-221642,14439180,000404032462,0000000000910,10133106232,VIC817202250626,A.C.A. EXPORTACION-30500120882-220709,GENERAL CAPDEVILLA - CHACO - CP 37321,25/06/2026,14:15,25/06/2026,22:00,26/06/2026,00:06,2026-06-25T14:15:00,2026-06-25T22:00:00,2026-06-26T00:06:00,0301,SOJA,SOJA,VOLCABLE PTO 3,VOLCABLE_PTO_3,,45220,13520,31700,31700,13.3,"FAZON 2026, FAZON 2026",,,2026-06-25T23:42:00,,TiemposEntrePasos_20260625.xlsx,INGRESO_ID
CTG_10233105728,MovimientosPorContrato_20260626.xlsx,2026-06-26,TERMINAL DE EMBARQUE,TERMINAL_EMBARQUE,I,I,INGRESO,I,AA144GT,AA144GT,2000655,COMMODITIES S.A.-30640872566-222089,14439181,000404032463,0000100004712,10233105728,VIC871966250626,ARGENTRADING SA-30711629048-251220,LA PUERTA - CORDOBA - CP 52811,25/06/2026,14:16,25/06/2026,22:05,26/06/2026,00:08,2026-06-25T14:16:00,2026-06-25T22:05:00,2026-06-26T00:08:00,0301,SOJA,SOJA,VOLCABLE PTO 3,VOLCABLE_PTO_3,,51880,17120,34760,34760,12.8,"FAZON 2026, FAZON 2026",,,2026-06-25T23:46:00,,TiemposEntrePasos_20260625.xlsx,INGRESO_ID
CTG_10233097921,MovimientosPorContrato_20260626.xlsx,2026-06-26,TERMINAL DE EMBARQUE,TERMINAL_EMBARQUE,I,I,INGRESO,I,AA744EA,AA744EA,2000662,CARGILL S.A.C.I.-30506792165-220165,14439195,000404032464,0010000537947,10233097921,VIC629213250626,A.C.A. EXPORTACION-30500120882-220709,WHEELWRIGHT (SFE) - SANTA FE - CP 27220,25/06/2026,14:34,25/06/2026,22:20,26/06/2026,00:14,2026-06-25T14:34:00,2026-06-25T22:20:00,2026-06-26T00:14:00,0301,SOJA,SOJA,VOLCABLE PTO 1,VOLCABLE_PTO_1,,44900,16000,28900,28900,12,"FAZON PTO 2026, FAZON PTO 2026",,,2026-06-25T23:48:00,,TiemposEntrePasos_20260625.xlsx,INGRESO_ID
CTG_10233123488,MovimientosPorContrato_20260626.xlsx,2026-06-26,TERMINAL DE EMBARQUE,TERMINAL_EMBARQUE,I,I,INGRESO,I,BAZ896,BAZ896,2000655,COMMODITIES S.A.-30640872566-222089,14439190,000404032465,0000000002718,10233123488,VIC852298250626,OSCAR ROBERTO DI SCIASCIO S.R.L.-30673999308-226500,ARMINDA - SANTA FE - CP 21191,25/06/2026,14:23,25/06/2026,22:14,26/06/2026,00:16,2026-06-25T14:23:00,2026-06-25T22:14:00,2026-06-26T00:16:00,0301,SOJA,SOJA,VOLCABLE PTO 3,VOLCABLE_PTO_3,,44780,14440,30340,30340,13.1,"FAZON 2026, FAZON 2026",,,2026-06-25T23:47:00,,TiemposEntrePasos_20260625.xlsx,INGRESO_ID
CTG_10133105546,MovimientosPorContrato_20260626.xlsx,2026-06-26,TERMINAL DE EMBARQUE,TERMINAL_EMBARQUE,I,I,INGRESO,I,HTN766,HTN766,2000655,COMMODITIES S.A.-30640872566-222089,14439163,000404032466,0001000004887,10133105546,VIC983099250626,SCILINGO HNOS S.A.-30714158887-250519,LOS JURIES - SANTIAGO DEL ESTERO - CP 37631,25/06/2026,13:52,25/06/2026,21:36,26/06/2026,00:17,2026-06-25T13:52:00,2026-06-25T21:36:00,2026-06-26T00:17:00,0301,SOJA,SOJA,VOLCABLE PTO 5,VOLCABLE_PTO_5,,44320,13940,30380,29955,14,"FAZON 2026, FAZON 2026",,,2026-06-25T22:55:00,,TiemposEntrePasos_20260625.xlsx,INGRESO_ID
CTG_10133085862,MovimientosPorContrato_20260626.xlsx,2026-06-26,TERMINAL DE EMBARQUE,TERMINAL_EMBARQUE,I,I,INGRESO,I,GSQ770,GSQ770,2000652,LDC ARGENTINA S.A.-30526712729-221642,14439178,000404032467,0000100020925,10133085862,VIC708894250626,A.C.A. EXPORTACION-30500120882-220709,POZO DEL TOBA (SGO) - SANTIAGO DEL ESTERO - CP 37411,25/06/2026,14:14,25/06/2026,22:01,26/06/2026,00:18,2026-06-25T14:14:00,2026-06-25T22:01:00,2026-06-26T00:18:00,0301,SOJA,SOJA,VOLCABLE PTO 2,VOLCABLE_PTO_2,,52440,16160,36280,36280,11.2,"FAZON 2026, FAZON 2026",,,2026-06-25T23:45:00,,TiemposEntrePasos_20260625.xlsx,INGRESO_ID
CTG_10233115197,MovimientosPorContrato_20260626.xlsx,2026-06-26,TERMINAL DE EMBARQUE,TERMINAL_EMBARQUE,I,I,INGRESO,I,KCO878,KCO878,2000651,UNION AGRICOLA DE AVELLANEDA COOP.LTDA.-30501912405-220345,14439075,000404032468,0000100001583,10233115197,VIC940020250626,SCILINGO HNOS S.A.-30714158887-250519,CARMEN DEL SAUCE - SANTA FE - CP 21092,25/06/2026,10:50,25/06/2026,19:52,26/06/2026,00:22,2026-06-25T10:50:00,2026-06-25T19:52:00,2026-06-26T00:22:00,0301,SOJA,SOJA,VOLCABLE PTO 3,VOLCABLE_PTO_3,,44320,13920,30400,30157,12.1,"FAZON 2026, FAZON 2026",,,2026-06-25T23:50:00,,TiemposEntrePasos_20260625.xlsx,INGRESO_ID
