external_operation_id,plate_normalized,excel_planta,source_date,circuit,excel_platform,audit_site,required_camera,riccalliq_captured,s10_captured,s10_devices_hit,s10_roles,unified_slot_gap,expected_sl_role,truckflow_match_quality,excel_in_truckflow_window,matched_journey_uids,analysis_ready_for_scatter,camera_best_instant
COMPROB_000400418855,BTS626,TERMINAL_EMBARQUE,2026-06-26,SL1,ACEITE_OSL,san_lorenzo_s10,S10_descarga,false,false,,,neither,descarga,NO_TRUCKFLOW_EVIDENCE,false,,false,
COMPROB_000400418859,MKA348,TERMINAL_EMBARQUE,2026-06-26,SL1,ACEITE_OSL,san_lorenzo_s10,S10_descarga,false,false,,,raw_outside_window_only,descarga,NO_TRUCKFLOW_EVIDENCE,false,,false,
COMPROB_000400418861,FDX990,TERMINAL_EMBARQUE,2026-06-26,SL1,ACEITE_OSL,san_lorenzo_s10,S10_descarga,false,false,,,raw_no_pipeline,descarga,NO_TRUCKFLOW_EVIDENCE,false,,false,
COMPROB_000400418864,OFG785,TERMINAL_EMBARQUE,2026-06-26,SL1,ACEITE_OSL,san_lorenzo_s10,S10_descarga,false,false,,,raw_outside_window_only,descarga,NO_TRUCKFLOW_EVIDENCE,false,,false,
COMPROB_000400418865,AGR963,TERMINAL_EMBARQUE,2026-06-26,SL1,ACEITE_OSL,san_lorenzo_s10,S10_descarga,false,false,,,neither,descarga,NO_TRUCKFLOW_EVIDENCE,false,,false,
COMPROB_000400418866,AD887XZ,TERMINAL_EMBARQUE,2026-06-26,SL1,ACEITE_OSL,san_lorenzo_s10,S10_descarga,false,false,,,raw_no_pipeline,descarga,NO_TRUCKFLOW_EVIDENCE,false,,false,
COMPROB_000400418868,UUH077,TERMINAL_EMBARQUE,2026-06-26,SL1,ACEITE_OSL,san_lorenzo_s10,S10_descarga,false,false,,,raw_no_pipeline,descarga,NO_TRUCKFLOW_EVIDENCE,false,,false,
COMPROB_000400418871,KWO040,TERMINAL_EMBARQUE,2026-06-26,SL1,ACEITE_OSL,san_lorenzo_s10,S10_descarga,false,false,,,raw_no_pipeline,descarga,NO_TRUCKFLOW_EVIDENCE,false,,false,
COMPROB_000400418872,CDF727,TERMINAL_EMBARQUE,2026-06-26,SL1,ACEITE_OSL,san_lorenzo_s10,S10_descarga,false,false,,,raw_no_pipeline,descarga,NO_TRUCKFLOW_EVIDENCE,false,,false,
COMPROB_000400418874,LKJ248,TERMINAL_EMBARQUE,2026-06-26,SL1,ACEITE_OSL,san_lorenzo_s10,S10_descarga,false,false,,,neither,descarga,NO_TRUCKFLOW_EVIDENCE,false,,false,
CTG_30033138713,EXR046,TERMINAL_EMBARQUE,2026-06-26,SL2,ACEITE_PTO,san_lorenzo_s10,S10_cualquiera,true,false,,,neither,cualquiera,NO_TRUCKFLOW_EVIDENCE,false,,false,
CTG_30033140921,SPI351,TERMINAL_EMBARQUE,2026-06-26,SL2,ACEITE_PTO,san_lorenzo_s10,S10_cualquiera,true,false,,,neither,cualquiera,NO_TRUCKFLOW_EVIDENCE,false,,false,
