external_operation_id,plate_normalized,external_ingreso_at,external_salida_at,product_normalized,platform_normalized,planta_normalized,movement_type,source_file,reason
CTG_10233124672,FJZ785,2026-06-25T14:03:00,2026-06-26T00:01:00,SOJA,VOLCABLE_PTO_2,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133101726,AH235VR,2026-06-25T14:07:00,2026-06-26T00:03:00,SOJA,VOLCABLE_PTO_2,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133119806,HJP191,2026-06-25T14:17:00,2026-06-26T00:05:00,SOJA,VOLCABLE_PTO_1,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133106232,JFQ498,2026-06-25T14:15:00,2026-06-26T00:06:00,SOJA,VOLCABLE_PTO_3,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233105728,AA144GT,2026-06-25T14:16:00,2026-06-26T00:08:00,SOJA,VOLCABLE_PTO_3,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233097921,AA744EA,2026-06-25T14:34:00,2026-06-26T00:14:00,SOJA,VOLCABLE_PTO_1,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233123488,BAZ896,2026-06-25T14:23:00,2026-06-26T00:16:00,SOJA,VOLCABLE_PTO_3,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133105546,HTN766,2026-06-25T13:52:00,2026-06-26T00:17:00,SOJA,VOLCABLE_PTO_5,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133085862,GSQ770,2026-06-25T14:14:00,2026-06-26T00:18:00,SOJA,VOLCABLE_PTO_2,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233115197,KCO878,2026-06-25T10:50:00,2026-06-26T00:22:00,SOJA,VOLCABLE_PTO_3,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133103589,AD910XD,2026-06-25T14:05:00,2026-06-26T00:23:00,SOJA,VOLCABLE_PTO_1,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133093435,AC369WE,2026-06-25T13:33:00,2026-06-26T00:27:00,SOJA,VOLCABLE_PTO_5,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233115379,AF674YH,2026-06-25T11:08:00,2026-06-26T00:28:00,SOJA,VOLCABLE_PTO_2,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233117318,GXN483,2026-06-25T11:35:00,2026-06-26T00:30:00,SOJA,VOLCABLE_PTO_3,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233108365,FBQ587,2026-06-25T14:24:00,2026-06-26T00:31:00,SOJA,VOLCABLE_PTO_1,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133097985,AF206BP,2026-06-25T13:50:00,2026-06-26T00:32:00,SOJA,VOLCABLE_PTO_2,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
COMPROB_000200430699,AH539QA,2026-06-25T17:32:00,2026-06-26T00:32:00,CHIP DE PINO,PLAYA_LEÑA_Y_CHIP,AVELLANEDA,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133093607,NFS501,2026-06-25T14:26:00,2026-06-26T00:33:00,SOJA,VOLCABLE_PTO_3,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233114610,MID428,2026-06-25T11:14:00,2026-06-26T00:35:00,SOJA,VOLCABLE_PTO_2,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233111741,GVS199,2026-06-25T14:18:00,2026-06-26T00:37:00,SOJA,VOLCABLE_PTO_5,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133105520,AF461KM,2026-06-25T10:29:00,2026-06-26T00:38:00,SOJA,VOLCABLE_PTO_1,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133105576,TNJ810,2026-06-25T14:19:00,2026-06-26T00:40:00,SOJA,VOLCABLE_PTO_5,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233097845,GGK832,2026-06-25T11:42:00,2026-06-26T00:41:00,SOJA,VOLCABLE_PTO_1,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233097969,DYS129,2026-06-25T11:50:00,2026-06-26T00:43:00,SOJA,VOLCABLE_PTO_2,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233114545,FFF699,2026-06-25T12:14:00,2026-06-26T00:44:00,SOJA,VOLCABLE_PTO_3,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233110803,SQS547,2026-06-25T14:21:00,2026-06-26T00:46:00,SOJA,VOLCABLE_PTO_5,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133093278,AD644LA,2026-06-25T12:16:00,2026-06-26T00:58:00,SOJA,VOLCABLE_PTO_5,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233119348,FEM709,2026-06-25T14:56:00,2026-06-26T01:02:00,SOJA,VOLCABLE_PTO_5,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133103388,CEP307,2026-06-25T14:48:00,2026-06-26T01:12:00,SOJA,VOLCABLE_PTO_3,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233119207,AB900YE,2026-06-25T14:55:00,2026-06-26T01:14:00,SOJA,VOLCABLE_PTO_5,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233113142,AF386OW,2026-06-25T14:41:00,2026-06-26T01:17:00,SOJA,VOLCABLE_PTO_2,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133115005,AB041DT,2026-06-25T14:53:00,2026-06-26T01:18:00,SOJA,VOLCABLE_PTO_3,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233111207,JAX039,2026-06-25T14:37:00,2026-06-26T01:20:00,SOJA,VOLCABLE_PTO_1,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233123060,ROP870,2026-06-25T14:54:00,2026-06-26T01:21:00,SOJA,VOLCABLE_PTO_2,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233126631,AF948GL,2026-06-25T14:44:00,2026-06-26T01:23:00,SOJA,VOLCABLE_PTO_1,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133120193,OPJ402,2026-06-25T15:23:00,2026-06-26T01:25:00,SOJA,VOLCABLE_PTO_3,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133106661,OTJ010,2026-06-25T13:42:00,2026-06-26T01:27:00,SOJA,VOLCABLE_PTO_1,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233119254,DVC925,2026-06-25T15:07:00,2026-06-26T01:28:00,SOJA,VOLCABLE_PTO_2,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
COMPROB_000200430700,AH210AI,2026-06-26T00:38:00,2026-06-26T01:29:00,CHIP DE PINO,PLAYA_LEÑA_Y_CHIP,AVELLANEDA,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233123625,FGI619,2026-06-25T14:57:00,2026-06-26T01:30:00,SOJA,VOLCABLE_PTO_5,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233120202,AD874WH,2026-06-25T16:00:00,2026-06-26T01:31:00,SOJA,VOLCABLE_PTO_3,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133115967,MUS277,2026-06-25T15:27:00,2026-06-26T01:33:00,SOJA,VOLCABLE_PTO_1,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233113516,AH389NA,2026-06-25T15:28:00,2026-06-26T01:34:00,SOJA,VOLCABLE_PTO_2,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133113760,EOL893,2026-06-25T15:22:00,2026-06-26T01:36:00,SOJA,VOLCABLE_PTO_5,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233120972,AH298ZU,2026-06-25T15:59:00,2026-06-26T01:40:00,SOJA,VOLCABLE_PTO_1,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133116557,EFU878,2026-06-25T16:01:00,2026-06-26T01:41:00,SOJA,VOLCABLE_PTO_5,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233103746,AC116HH,2026-06-25T15:42:00,2026-06-26T01:44:00,SOJA,VOLCABLE_PTO_2,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133101533,AC268HA,2026-06-25T15:29:00,2026-06-26T01:49:00,SOJA,VOLCABLE_PTO_3,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133109477,OFJ805,2026-06-25T16:03:00,2026-06-26T01:50:00,SOJA,VOLCABLE_PTO_3,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233116545,GWP673,2026-06-25T16:08:00,2026-06-26T01:53:00,SOJA,VOLCABLE_PTO_1,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133105951,AH923RF,2026-06-25T16:09:00,2026-06-26T01:54:00,SOJA,VOLCABLE_PTO_2,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133116064,AC618UY,2026-06-25T16:22:00,2026-06-26T01:55:00,SOJA,VOLCABLE_PTO_2,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133109782,GGZ947,2026-06-25T16:05:00,2026-06-26T01:57:00,SOJA,VOLCABLE_PTO_5,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133115878,AC707CO,2026-06-25T16:23:00,2026-06-26T01:58:00,SOJA,VOLCABLE_PTO_5,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133111365,AB606BT,2026-06-25T16:22:00,2026-06-26T01:59:00,SOJA,VOLCABLE_PTO_1,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133114555,FJF767,2026-06-25T16:28:00,2026-06-26T02:04:00,SOJA,VOLCABLE_PTO_2,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233110507,AB483FX,2026-06-25T16:27:00,2026-06-26T02:05:00,SOJA,VOLCABLE_PTO_5,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133103495,FIL347,2026-06-25T16:06:00,2026-06-26T02:06:00,SOJA,VOLCABLE_PTO_3,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233110699,GKQ357,2026-06-25T16:26:00,2026-06-26T02:08:00,SOJA,VOLCABLE_PTO_1,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
