journey_id,patente,producto,circuito,tramo_operativo,sector,timestamp_inicio,timestamp_fin,duracion_minutos,es_stock_inicial,motivo_stock_inicial,fecha_inicio,hora_inicio,fecha_fin,hora_fin,estado_ejecutivo,planta
CTG_10133138163,EKD012,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T12:56:00,2026-06-26T14:03:00,67,false,,2026-06-26,12:56,2026-06-26,14:03,,RICARDONE
CTG_10133139735,AG639OD,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T14:20:00,2026-06-26T15:47:00,87,false,,2026-06-26,14:20,2026-06-26,15:47,,RICARDONE
CTG_10133121562,RRR376,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T19:08:00,2026-06-26T21:01:00,113,false,,2026-06-26,19:08,2026-06-26,21:01,,RICARDONE
CTG_10133140703,MMZ197,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T17:08:00,2026-06-26T19:20:00,132,false,,2026-06-26,17:08,2026-06-26,19:20,,RICARDONE
CTG_10233163018,DUC670,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T17:12:00,2026-06-26T20:09:00,177,false,,2026-06-26,17:12,2026-06-26,20:09,,RICARDONE
CTG_10133139727,IZX624,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T22:03:00,2026-06-27T01:20:00,197,false,,2026-06-26,22:03,2026-06-27,01:20,,RICARDONE
CTG_10133151962,FMU968,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T19:09:00,2026-06-26T22:30:00,201,false,,2026-06-26,19:09,2026-06-26,22:30,,RICARDONE
CTG_10133140359,AG842WB,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T20:03:00,2026-06-26T23:46:00,223,false,,2026-06-26,20:03,2026-06-26,23:46,,RICARDONE
CTG_10233106529,AC552SN,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T00:22:00,2026-06-26T04:10:00,228,false,,2026-06-26,00:22,2026-06-26,04:10,,RICARDONE
CTG_10133140706,AB096UN,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T20:35:00,2026-06-27T00:33:00,238,false,,2026-06-26,20:35,2026-06-27,00:33,,RICARDONE
