external_operation_id,journey_uid,plate_normalized,product_normalized,platform_normalized,resolved_circuit_family,resolved_operational_point,segment_order_global,segment_order_journey,segment_name,segment_from,segment_to,segment_start_time,segment_end_time,segment_duration_min,segment_plant,segment_leg,truckflow_circuit_code,resolved_executive_circuit_code,truckflow_executive_status,truckflow_valid_detail,match_quality,route_quality,analysis_ready_for_scatter,analysis_warning,external_ingreso_at,external_salida_at,external_calado_at
CTG_10233106529,,AC552SN,GIRASOL,VOLCABLE_1,VOLCABLE,VOLCABLE_1,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-26T00:22:00,2026-06-26T04:10:00,228,RIC,RIC,R5,R5,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-26T00:22:00,2026-06-26T04:10:00,2026-06-26T03:03:00
CTG_10233107827,,BKT313,GIRASOL,VOLCABLE_1,VOLCABLE,VOLCABLE_1,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-26T00:23:00,2026-06-26T04:43:00,260,RIC,RIC,R5,R5,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-26T00:23:00,2026-06-26T04:43:00,2026-06-26T03:05:00
CTG_10233134813,,MUV737,GIRASOL,VOLCABLE_1,VOLCABLE,VOLCABLE_1,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-26T01:11:00,2026-06-26T05:23:00,252,RIC,RIC,R5,R5,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-26T01:11:00,2026-06-26T05:23:00,2026-06-26T03:07:00
CTG_10133138163,,EKD012,GIRASOL,VOLCABLE_1,VOLCABLE,VOLCABLE_1,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-26T12:56:00,2026-06-26T14:03:00,67,RIC,RIC,R5,R5,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-26T12:56:00,2026-06-26T14:03:00,2026-06-26T13:34:00
CTG_10133139735,,AG639OD,GIRASOL,VOLCABLE_1,VOLCABLE,VOLCABLE_1,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-26T14:20:00,2026-06-26T15:47:00,87,RIC,RIC,R5,R5,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-26T14:20:00,2026-06-26T15:47:00,2026-06-26T15:16:00
CTG_10133140703,,MMZ197,GIRASOL,VOLCABLE_1,VOLCABLE,VOLCABLE_1,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-26T17:08:00,2026-06-26T19:20:00,132,RIC,RIC,R5,R5,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-26T17:08:00,2026-06-26T19:20:00,2026-06-26T17:50:00
CTG_10233163018,,DUC670,GIRASOL,VOLCABLE_1,VOLCABLE,VOLCABLE_1,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-26T17:12:00,2026-06-26T20:09:00,177,RIC,RIC,R5,R5,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-26T17:12:00,2026-06-26T20:09:00,2026-06-26T17:52:00
CTG_10133121562,,RRR376,GIRASOL,VOLCABLE_1,VOLCABLE,VOLCABLE_1,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-26T19:08:00,2026-06-26T21:01:00,113,RIC,RIC,R5,R5,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-26T19:08:00,2026-06-26T21:01:00,2026-06-26T19:52:00
CTG_10133151962,,FMU968,GIRASOL,VOLCABLE_1,VOLCABLE,VOLCABLE_1,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-26T19:09:00,2026-06-26T22:30:00,201,RIC,RIC,R5,R5,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-26T19:09:00,2026-06-26T22:30:00,2026-06-26T19:55:00
CTG_10133140359,,AG842WB,GIRASOL,VOLCABLE_1,VOLCABLE,VOLCABLE_1,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-26T20:03:00,2026-06-26T23:46:00,223,RIC,RIC,R5,R5,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-26T20:03:00,2026-06-26T23:46:00,2026-06-26T22:39:00
