journey_id,patente,producto,circuito,tramo_operativo,sector,planta,segment_from,segment_to,timestamp_inicio,timestamp_fin,fecha_tramo,hora_inicio,franja_horaria,color_franja,duracion_minutos,estado_ejecutivo,es_ultimo_cuarto,p75_tramo,p90_tramo,horario_fuente,horario_fuente_inicio,horario_fuente_fin
CTG_10133138163,EKD012,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-26T12:56:00,2026-06-26T14:03:00,2026-06-26,12:56,08_14,#f97316,67,,false,288.3,337.9,truckflow,,
CTG_10133139735,AG639OD,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-26T14:20:00,2026-06-26T15:47:00,2026-06-26,14:20,14_20,#16a34a,87,,false,288.3,337.9,truckflow,,
CTG_10133121562,RRR376,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-26T19:08:00,2026-06-26T21:01:00,2026-06-26,19:08,14_20,#16a34a,113,,false,288.3,337.9,truckflow,,
CTG_10133140703,MMZ197,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-26T17:08:00,2026-06-26T19:20:00,2026-06-26,17:08,14_20,#16a34a,132,,false,288.3,337.9,truckflow,,
CTG_10233163018,DUC670,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-26T17:12:00,2026-06-26T20:09:00,2026-06-26,17:12,14_20,#16a34a,177,,false,288.3,337.9,truckflow,,
CTG_10133139727,IZX624,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-26T22:03:00,2026-06-27T01:20:00,2026-06-26,22:03,20_02,#dc2626,197,,false,288.3,337.9,truckflow,,
CTG_10133151962,FMU968,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-26T19:09:00,2026-06-26T22:30:00,2026-06-26,19:09,14_20,#16a34a,201,,false,288.3,337.9,truckflow,,
CTG_10133140359,AG842WB,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-26T20:03:00,2026-06-26T23:46:00,2026-06-26,20:03,20_02,#dc2626,223,,false,288.3,337.9,truckflow,,
CTG_10233106529,AC552SN,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-26T00:22:00,2026-06-26T04:10:00,2026-06-26,00:22,20_02,#dc2626,228,,false,288.3,337.9,truckflow,,
CTG_10133140706,AB096UN,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-26T20:35:00,2026-06-27T00:33:00,2026-06-26,20:35,20_02,#dc2626,238,,false,288.3,337.9,truckflow,,
