executive_circuit_code,from_logical,to_logical,transition_label,n,mean_min,min_min,min_plate,max_min,max_plate,std_min,median_min,p90_min
R7,INGRESO,PREINGRESO,ingreso → preingreso,2137,4.87,1.00,,94.76,,5.91,2.67,11.09
R8,INGRESO,PREINGRESO,ingreso → preingreso,220,5.38,1.17,,208.18,,14.80,2.66,9.78
R5,INGRESO,PREINGRESO,ingreso → preingreso,54,4.68,1.33,,29.91,,5.53,2.79,9.72
R6,INGRESO,PREINGRESO,ingreso → preingreso,11,4.70,1.67,,12.58,,3.82,2.75,9.50
R9,INGRESO,PREINGRESO,ingreso → preingreso,1,33.66,33.66,,33.66,,0.00,33.66,33.66
RS_REC,INGRESO,PREINGRESO,ingreso → preingreso,3,2.33,1.33,,3.33,,1.00,2.33,3.13
R1,INGRESO,PREINGRESO,ingreso → preingreso,28,3.74,1.25,,20.67,,4.01,2.51,6.47
R7,PREINGRESO,CALADA,preingreso → calada,2015,123.96,1.47,,354.88,,81.51,103.45,242.64
R8,PREINGRESO,CALADA,preingreso → calada,4,85.74,1.21,,240.24,,112.89,50.75,198.04
R5,PREINGRESO,CALADA,preingreso → calada,51,81.85,15.13,,252.19,,56.05,66.04,166.21
R6,PREINGRESO,CALADA,preingreso → calada,11,71.19,9.07,,178.12,,52.42,65.62,151.84
RS_REC,PREINGRESO,CALADA,preingreso → calada,3,90.74,30.94,,129.86,,52.61,111.44,126.17
R1,PREINGRESO,CALADA,preingreso → calada,31,135.76,8.90,,283.00,,86.97,159.92,235.14
R8,CALADA,LIQUIDO,calada → líquido,4,26.67,2.53,,75.35,,33.03,14.39,57.98
R5,CALADA,BALANZA_INGRESO,calada → balanza ingreso,71,15.04,5.55,,303.28,,37.12,8.43,13.40
R6,CALADA,BALANZA_INGRESO,calada → balanza ingreso,20,9.04,6.02,,19.41,,3.51,7.88,11.19
RS_REC,CALADA,BALANZA_INGRESO,calada → balanza ingreso,4,9.12,5.86,,15.44,,4.32,7.59,13.28
R1,CALADA,BALANZA_INGRESO,calada → balanza ingreso,45,73.52,4.48,,345.23,,108.38,9.88,269.63
R7,CALADA,EGRESO,calada → egreso,2069,29.15,1.47,,302.38,,50.74,10.84,107.62
R8,LIQUIDO,BALANZA_INGRESO,líquido → balanza ingreso,112,7.71,2.82,,66.51,,7.53,5.47,13.57
R9,BALANZA_INGRESO,CELDA16_CARGA,balanza ingreso → celda16 carga,2,144.97,28.16,,261.77,,165.19,144.97,238.41
R7,SL_INGRESO,SL_BALANZA_INGRESO,san lorenzo ingreso → balanza de entrada,653,109.84,3.01,,357.51,,84.16,103.14,240.79
R7,SL_BALANZA_INGRESO,SL_EGRESO,balanza de entrada → egreso,718,62.50,4.00,,178.80,,33.77,54.75,111.74
R7,EGRESO,SL_INGRESO,egreso → san lorenzo ingreso,1150,12.76,5.32,,319.68,,17.61,10.32,14.65
