executive_circuit_code,journey_id,plate,from_logical,to_logical,transition_label,duration_min
R7,be107fa1-783c-4624-aee1-7352ac36b03c,,INGRESO,PREINGRESO,ingreso → preingreso,1.92
R7,be107fa1-783c-4624-aee1-7352ac36b03c,,PREINGRESO,CALADA,preingreso → calada,102.56
R7,be107fa1-783c-4624-aee1-7352ac36b03c,,CALADA,EGRESO,calada → egreso,7.71
R7,be107fa1-783c-4624-aee1-7352ac36b03c,,EGRESO,SL_INGRESO,egreso → san lorenzo ingreso,7.40
R7,be107fa1-783c-4624-aee1-7352ac36b03c,,SL_INGRESO,SL_EGRESO,san lorenzo ingreso → egreso san lorenzo,97.67
R7,ae8a7756-bbff-45b6-ba44-62a05553969c,,INGRESO,PREINGRESO,ingreso → preingreso,4.83
R7,ae8a7756-bbff-45b6-ba44-62a05553969c,,PREINGRESO,EGRESO,preingreso → egreso,110.27
R7,059e04cc-5e1d-40d8-bf2d-34535569a62e,,INGRESO,PREINGRESO,ingreso → preingreso,1.59
R7,059e04cc-5e1d-40d8-bf2d-34535569a62e,,PREINGRESO,CALADA,preingreso → calada,61.63
R7,059e04cc-5e1d-40d8-bf2d-34535569a62e,,CALADA,EGRESO,calada → egreso,11.97
R7,059e04cc-5e1d-40d8-bf2d-34535569a62e,,EGRESO,SL_INGRESO,egreso → san lorenzo ingreso,9.73
R7,059e04cc-5e1d-40d8-bf2d-34535569a62e,,SL_INGRESO,SL_EGRESO,san lorenzo ingreso → egreso san lorenzo,149.17
R7,4b18e6ec-269d-4e0f-af37-7bbe3c94a235__cycle_1,,INGRESO,PREINGRESO,ingreso → preingreso,1.58
R7,4b18e6ec-269d-4e0f-af37-7bbe3c94a235__cycle_1,,PREINGRESO,CALADA,preingreso → calada,51.97
R7,4b18e6ec-269d-4e0f-af37-7bbe3c94a235__cycle_1,,CALADA,EGRESO,calada → egreso,13.05
R7,4b18e6ec-269d-4e0f-af37-7bbe3c94a235__cycle_1,,EGRESO,SL_INGRESO,egreso → san lorenzo ingreso,10.07
R7,4b18e6ec-269d-4e0f-af37-7bbe3c94a235__cycle_1,,SL_INGRESO,SL_EGRESO,san lorenzo ingreso → egreso san lorenzo,119.67
R7,ece33f1b-a40b-440f-89c7-c1b2c9ec7c59,,PREINGRESO,CALADA,preingreso → calada,45.54
R7,ece33f1b-a40b-440f-89c7-c1b2c9ec7c59,,CALADA,SL_INGRESO,calada → san lorenzo ingreso,17.55
R7,ece33f1b-a40b-440f-89c7-c1b2c9ec7c59,,SL_INGRESO,SL_EGRESO,san lorenzo ingreso → egreso san lorenzo,118.17
R7,c16ab023-cd81-40e2-b454-411faefa4a5c__cycle_1,,INGRESO,PREINGRESO,ingreso → preingreso,2.25
R7,c16ab023-cd81-40e2-b454-411faefa4a5c__cycle_1,,PREINGRESO,CALADA,preingreso → calada,33.06
R7,c16ab023-cd81-40e2-b454-411faefa4a5c__cycle_1,,CALADA,EGRESO,calada → egreso,8.17
R7,c16ab023-cd81-40e2-b454-411faefa4a5c__cycle_1,,EGRESO,SL_INGRESO,egreso → san lorenzo ingreso,9.86
R7,c16ab023-cd81-40e2-b454-411faefa4a5c__cycle_1,,SL_INGRESO,SL_EGRESO,san lorenzo ingreso → egreso san lorenzo,149.59
R7,b91b2ded-f7d5-4259-afc9-03433c2e29e1__cycle_1,,INGRESO,PREINGRESO,ingreso → preingreso,1.75
R7,b91b2ded-f7d5-4259-afc9-03433c2e29e1__cycle_1,,PREINGRESO,CALADA,preingreso → calada,27.79
R7,b91b2ded-f7d5-4259-afc9-03433c2e29e1__cycle_1,,CALADA,EGRESO,calada → egreso,17.90
R7,b91b2ded-f7d5-4259-afc9-03433c2e29e1__cycle_1,,EGRESO,SL_INGRESO,egreso → san lorenzo ingreso,8.82
R7,b91b2ded-f7d5-4259-afc9-03433c2e29e1__cycle_1,,SL_INGRESO,SL_EGRESO,san lorenzo ingreso → egreso san lorenzo,126.34
