journey_uid,plate_normalized,circuit_code,circuit_label,segment_order,segment_name,segment_from,segment_to,segment_start_time,segment_end_time,segment_duration_min,segment_plant,segment_leg,executive_status,valid_detail
be107fa1-783c-4624-aee1-7352ac36b03c,,R7,Ricardone → San Lorenzo,1,ingreso → preingreso,INGRESO,PREINGRESO,2026-06-22T03:47:05.653034-03:00,2026-06-22T03:49:00.654738-03:00,1.92,MIXTO,,VALIDO,
be107fa1-783c-4624-aee1-7352ac36b03c,,R7,Ricardone → San Lorenzo,2,preingreso → calada,PREINGRESO,CALADA,2026-06-22T03:49:00.654738-03:00,2026-06-22T05:31:34.224192-03:00,102.56,MIXTO,,VALIDO,
be107fa1-783c-4624-aee1-7352ac36b03c,,R7,Ricardone → San Lorenzo,3,calada → egreso,CALADA,EGRESO,2026-06-22T05:31:34.224192-03:00,2026-06-22T05:39:17.099477-03:00,7.71,MIXTO,,VALIDO,
be107fa1-783c-4624-aee1-7352ac36b03c,,R7,Ricardone → San Lorenzo,4,egreso → san lorenzo ingreso,EGRESO,SL_INGRESO,2026-06-22T05:39:17.099477-03:00,2026-06-22T05:46:41.026505-03:00,7.4,MIXTO,,VALIDO,
be107fa1-783c-4624-aee1-7352ac36b03c,,R7,Ricardone → San Lorenzo,5,san lorenzo ingreso → egreso san lorenzo,SL_INGRESO,SL_EGRESO,2026-06-22T05:46:41.026505-03:00,2026-06-22T07:24:21.207346-03:00,97.67,MIXTO,SL,VALIDO,
be107fa1-783c-4624-aee1-7352ac36b03c,,R7,Ricardone → San Lorenzo,6,egreso → san lorenzo ingreso,EGRESO,SL_INGRESO,2026-06-22T05:39:17.099477-03:00,2026-06-22T05:46:41.026505-03:00,7.4,MIXTO,,VALIDO,
ae8a7756-bbff-45b6-ba44-62a05553969c,,R7,Ricardone → San Lorenzo,1,ingreso → preingreso,INGRESO,PREINGRESO,2026-06-22T03:49:20.725729-03:00,2026-06-22T03:54:10.707278-03:00,4.83,MIXTO,,VALIDO,DEDUCIDO
ae8a7756-bbff-45b6-ba44-62a05553969c,,R7,Ricardone → San Lorenzo,2,preingreso → egreso,PREINGRESO,EGRESO,2026-06-22T03:54:10.707278-03:00,2026-06-22T05:44:27.12293-03:00,110.27,MIXTO,,VALIDO,DEDUCIDO
059e04cc-5e1d-40d8-bf2d-34535569a62e,,R7,Ricardone → San Lorenzo,1,ingreso → preingreso,INGRESO,PREINGRESO,2026-06-22T04:30:50.691731-03:00,2026-06-22T04:32:26.343401-03:00,1.59,MIXTO,,VALIDO,
059e04cc-5e1d-40d8-bf2d-34535569a62e,,R7,Ricardone → San Lorenzo,2,preingreso → calada,PREINGRESO,CALADA,2026-06-22T04:32:26.343401-03:00,2026-06-22T05:34:04.148147-03:00,61.63,MIXTO,,VALIDO,
059e04cc-5e1d-40d8-bf2d-34535569a62e,,R7,Ricardone → San Lorenzo,3,calada → egreso,CALADA,EGRESO,2026-06-22T05:34:04.148147-03:00,2026-06-22T05:46:02.131567-03:00,11.97,MIXTO,,VALIDO,
059e04cc-5e1d-40d8-bf2d-34535569a62e,,R7,Ricardone → San Lorenzo,4,egreso → san lorenzo ingreso,EGRESO,SL_INGRESO,2026-06-22T05:46:02.131567-03:00,2026-06-22T05:55:46.01541-03:00,9.73,MIXTO,,VALIDO,
059e04cc-5e1d-40d8-bf2d-34535569a62e,,R7,Ricardone → San Lorenzo,5,san lorenzo ingreso → egreso san lorenzo,SL_INGRESO,SL_EGRESO,2026-06-22T05:55:46.01541-03:00,2026-06-22T08:24:56.285539-03:00,149.17,MIXTO,SL,VALIDO,
059e04cc-5e1d-40d8-bf2d-34535569a62e,,R7,Ricardone → San Lorenzo,6,egreso → san lorenzo ingreso,EGRESO,SL_INGRESO,2026-06-22T05:46:02.131567-03:00,2026-06-22T05:55:46.01541-03:00,9.73,MIXTO,,VALIDO,
4b18e6ec-269d-4e0f-af37-7bbe3c94a235__cycle_1,,R7,Ricardone → San Lorenzo,1,ingreso → preingreso,INGRESO,PREINGRESO,2026-06-22T04:43:20.666555-03:00,2026-06-22T04:44:55.658657-03:00,1.58,MIXTO,,VALIDO,
4b18e6ec-269d-4e0f-af37-7bbe3c94a235__cycle_1,,R7,Ricardone → San Lorenzo,2,preingreso → calada,PREINGRESO,CALADA,2026-06-22T04:44:55.658657-03:00,2026-06-22T05:36:54.064706-03:00,51.97,MIXTO,,VALIDO,
4b18e6ec-269d-4e0f-af37-7bbe3c94a235__cycle_1,,R7,Ricardone → San Lorenzo,3,calada → egreso,CALADA,EGRESO,2026-06-22T05:36:54.064706-03:00,2026-06-22T05:49:57.102479-03:00,13.05,MIXTO,,VALIDO,
4b18e6ec-269d-4e0f-af37-7bbe3c94a235__cycle_1,,R7,Ricardone → San Lorenzo,4,egreso → san lorenzo ingreso,EGRESO,SL_INGRESO,2026-06-22T05:49:57.102479-03:00,2026-06-22T06:00:01.136708-03:00,10.07,MIXTO,,VALIDO,
